POS Awesome,POS ግሩም
Deposit,ተቀማጭ ገንዘብ
Description,መግለጫ
Detailed Supplier Breakdown,ዝርዝር የአቅራቢዎች ዝርዝር መግለጫ
Detecting formats:,ቅርጸቶችን በማግኘት ላይ፡
Device Memory:,የመሣሪያ ማህደረ ትውስታ፡
Difference,ልዩነት
Difference (In Company Currency),ልዩነት (በኩባንያው ምንዛሪ)
Disable offline mode first to recheck live connectivity.,የቀጥታ ግንኙነትን ለመፈተሽ መጀመሪያ ከመስመር ውጭ ሁነታን ያሰናክሉ።
Disconnect,ግንኙነት አቋርጥ
discount,ቅናሽ
Discount %,ቅናሽ %
Discount / Void / Return Report,ቅናሽ / ባዶነት / የመመለሻ ሪፖርት
Discount Amount,የቅናሽ መጠን
Discount limited by POS Profile,ቅናሽ በPOS መገለጫ የተገደበ
Discounted Invoices,ቅናሽ ደረሰኞች
Discounts,ቅናሾች
Dismiss,አሰናብት
Download Certificate,የምስክር ወረቀት አውርድ
Draft,ረቂቅ
Draft invoice deleted,ረቂቅ ደረሰኝ ተሰርዟል።
Draft source,ረቂቅ ምንጭ
Drafts,ረቂቆች
Due {0},የሚያበቃው {0}
Due Date,የማለቂያ ቀን
Duplicate,ማባዛት።
Edit customer,ደንበኛን ያርትዑ
Edit discount amount,የቅናሽ መጠንን ያርትዑ
Edit discount percentage,የቅናሽ መቶኛን ያርትዑ
Edit Gift Application,የስጦታ መተግበሪያን ያርትዑ
Edit item name,የንጥል ስም ያርትዑ
Edit quantity,ብዛትን ያርትዑ
Edit rate,መጠንን ያርትዑ
Edit unit of measure,የመለኪያ ክፍልን ያርትዑ
Edited,ተስተካክሏል።
Employee,ሰራተኛ
Enable background sync,የበስተጀርባ ማመሳሰልን አንቃ
Enable Customer Display in POS Profile first.,መጀመሪያ የደንበኛ ማሳያ በPOS መገለጫ ውስጥ አንቃ።
Enter a PIN.,ፒን አስገባ።
Enter a valid grams value,የሚሰራ ግራም እሴት ያስገቡ
Enter new price list rate,አዲስ የዋጋ ዝርዝር ተመን ያስገቡ
Enter Quantity,ብዛት ያስገቡ
Enter the cashier PIN to continue.,ለመቀጠል ገንዘብ ተቀባይ ፒን ያስገቡ።
Enter the current PIN first.,መጀመሪያ የአሁኑን ፒን ያስገቡ።
"Enter the current PIN, then choose a new one.",የአሁኑን ፒን ያስገቡ እና ከዚያ አዲስ ይምረጡ።
Enter valid grams for scale barcode,ለሚዛን ባርኮድ የሚሰራ ግራም ያስገቡ
Entries,ግቤቶች
Error accessing camera:,ካሜራ መድረስ ላይ ስህተት፡-
Error calculating prices,ዋጋዎችን በማስላት ላይ ስህተት
Error fetching customer balance,የደንበኛ ቀሪ ሒሳብ ማምጣት ላይ ስህተት
Error in change calculations!,በለውጥ ስሌት ላይ ስህተት!
Error Loading Data,ውሂብን መጫን ላይ ስህተት
Error loading invoice details,የክፍያ መጠየቂያ ዝርዝሮችን መጫን ላይ ስህተት
Error processing invoice,የክፍያ መጠየቂያ ሂደት ላይ ስህተት
Error processing payment,ክፍያን በማስኬድ ላይ ስህተት
Error searching invoices,ደረሰኞችን መፈለግ ላይ ስህተት
Error submitting invoice:,ደረሰኝ ማስገባት ላይ ስህተት፡-
Error submitting invoice: {0},ደረሰኝ ማስገባት ላይ ስህተት፡ {0}
Error submitting invoice: No response from server,ደረሰኝ ማስገባት ላይ ስህተት፡ ከአገልጋይ ምንም ምላሽ የለም።
Error updating currency,ምንዛሬን ማዘመን ላይ ስህተት
Error updating item details,የንጥል ዝርዝሮችን ማዘመን ላይ ስህተት
Est. Purchase,እ.ኤ.አ. ግዢ
Est. Value,እ.ኤ.አ. ዋጋ
Event-loop lag measures how busy your browser is. Lower is better.,የክስተት-ሉፕ መዘግየት አሳሽዎ ምን ያህል ስራ እንደበዛበት ይለካል። ዝቅ ማለት ይሻላል።
Every,እያንዳንዱ
Exchange Rate,የምንዛሬ ተመን
Expand item details,የንጥል ዝርዝሮችን ዘርጋ
Expected Amount (In Company Currency),የሚጠበቀው መጠን (በኩባንያው ምንዛሪ)
Expected Cash,የሚጠበቀው ጥሬ ገንዘብ
Expected cash on hand grouped by currency,የሚጠበቀው ገንዘብ በእጅ ላይ በገንዘብ ተመድቦ
Expected vs Actual,የሚጠበቀው እና ትክክለኛው
Expense,ወጪ
Expense Account (Optional Override),የወጪ ሂሳብ (አማራጭ መሻር)
Expense account is required.,የወጪ ሂሳብ ያስፈልጋል።
Expenses and deposits posted during this shift,በዚህ ፈረቃ ወቅት የተለጠፈ ወጪ እና ተቀማጭ ገንዘብ
Expired,ጊዜው አልፎበታል።
Failed to auto reconcile payments.,ክፍያዎችን በራስ-ሰር ማስታረቅ አልተሳካም።
Failed to cancel cash movement,የገንዘብ እንቅስቃሴን መሰረዝ አልተሳካም።
Failed to clear cache,መሸጎጫውን ማጽዳት አልተሳካም።
Failed to create item,ንጥል መፍጠር አልተሳካም።
Failed to create supplier,አቅራቢ መፍጠር አልተሳካም።
Failed to delete cash movement,የገንዘብ እንቅስቃሴን መሰረዝ አልተሳካም።
Failed to generate scale barcode. Using item barcode only.,የመጠን ባርኮድ ማመንጨት አልተሳካም። የንጥል ባርኮድ ብቻ መጠቀም።
Failed to load cash movement context.,የገንዘብ እንቅስቃሴ አውድ መጫን አልተሳካም።
Failed to load dashboard data.,ዳሽቦርድ ውሂብን መጫን አልተሳካም።
Failed to reload invoice from server,ደረሰኝ ከአገልጋይ ዳግም መጫን አልተሳካም።
Failed to submit cash movement,የገንዘብ እንቅስቃሴን ማስገባት አልተሳካም።
Failed to sync offline cash movements,ከመስመር ውጭ የገንዘብ እንቅስቃሴዎችን ማመሳሰል አልተሳካም።
Fast cashier actions for active shifts.,ፈጣን ገንዘብ ተቀባይ እርምጃዎች ለንቁ ፈረቃዎች።
Fast Moving Items,በፍጥነት የሚንቀሳቀሱ ዕቃዎች
Fees,ክፍያዎች
Fetch the latest offline prerequisite updates,የቅርብ ጊዜውን ከመስመር ውጭ ቅድመ ሁኔታ ዝመናዎችን ያግኙ
Find a sales order quickly and load it into the current sale.,የሽያጭ ማዘዣ በፍጥነት ይፈልጉ እና አሁን ባለው ሽያጭ ላይ ይጫኑት።
Fixing payment amounts for return invoice...,ለተመላሽ ደረሰኝ የክፍያ መጠኖችን በማስተካከል ላይ...
Flash Off,ብልጭታ ጠፍቷል
Flash On,ብልጭታ በርቷል።
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.",ለ'ምርት ቅርቅብ' እቃዎች፣ መጋዘን፣ ተከታታይ ቁጥር እና ባች ቁጥር ከ'ማሸጊያ ዝርዝር' ሰንጠረዥ ግምት ውስጥ ይገባል። መጋዘን እና ባች አይ ለሁሉም የማሸጊያ እቃዎች ለማንኛውም 'የምርት ቅርቅብ' ንጥል ነገር ተመሳሳይ ከሆኑ እሴቶቹ በዋናው የንጥል ሠንጠረዥ ውስጥ ሊገቡ ይችላሉ፤ እሴቶች ወደ 'የማሸጊያ ዝርዝር' ሰንጠረዥ ይገለበጣሉ።
Free,ነፃ
Free Qty,ነፃ Qty
Frequency,ድግግሞሽ
from,ከ
From Date,ከቀን
Fulfillment Details,የማሟያ ዝርዝሮች
Full Name,ሙሉ ስም
Gain,ማግኘት
Generate a fresh prepaid card and start it with an opening balance.,አዲስ የቅድመ ክፍያ ካርድ ይፍጠሩ እና በመክፈቻ ቀሪ ሂሳብ ይጀምሩት።
Generate and install the certificate to allow fully silent printing without trust prompts.,ያለ እምነት ጥያቄዎች ሙሉ በሙሉ ጸጥታ እንዲታተም የምስክር ወረቀቱን ያመንጩ እና ይጫኑት።
Generate Certificate,የምስክር ወረቀት ይፍጠሩ
Generated scale barcode: {0},የመነጨ ልኬት ባር ኮድ፡ {0}
Get Payments,ክፍያዎችን ያግኙ
Gift Card,የስጦታ ካርድ
Gift card amount must be greater than zero.,የስጦታ ካርድ መጠን ከዜሮ በላይ መሆን አለበት።
Gift Card Code,የስጦታ ካርድ ኮድ
Gift card code is required for redemption,ለመቤዠት የስጦታ ካርድ ኮድ ያስፈልጋል
Gift card code is required.,የስጦታ ካርድ ኮድ ያስፈልጋል።
Gift card issued successfully.,የስጦታ ካርድ በተሳካ ሁኔታ ተሰጥቷል።
Gift card loaded successfully.,የስጦታ ካርድ በተሳካ ሁኔታ ተጭኗል።
Gift Card Management,የስጦታ ካርድ አስተዳደር
Gift card payment,የስጦታ ካርድ ክፍያ
Gift card redemption requires an online connection,የስጦታ ካርድ ማስመለስ የመስመር ላይ ግንኙነት ያስፈልገዋል
Gift card topped up successfully.,የስጦታ ካርድ በተሳካ ሁኔታ ተሞልቷል።
Gift Cards,የስጦታ ካርዶች
Go to Frappe Desk,ወደ Frappe ዴስክ ይሂዱ
Grand Total,ግራንድ ጠቅላላ
Gross Margin,ጠቅላላ ህዳግ
Gross Profit,ጠቅላላ ትርፍ
Gross Sales,ጠቅላላ ሽያጭ
Group not found,ቡድን አልተገኘም።
"Grouped controls for terminal, UI, and session settings.",ለተርሚናል፣ ዩአይ እና የክፍለ-ጊዜ ቅንጅቶች የተቧደኑ መቆጣጠሪያዎች።
Grouped totals for each payment method and currency,ለእያንዳንዱ የመክፈያ ዘዴ እና ምንዛሪ የተሰበሰቡ ድምር
Hide,ደብቅ
Hide Gift Card,የስጦታ ካርድ ደብቅ
Hide Non Essential Fields,አስፈላጊ ያልሆኑ መስኮችን ደብቅ
Hide quantity decimals,ብዛት አስርዮሽ ደብቅ
Hide search tools,የፍለጋ መሳሪያዎችን ደብቅ
Hide zero rated items,ዜሮ ደረጃ የተሰጣቸውን እቃዎች ደብቅ
High,ከፍተኛ
History,ታሪክ
Hourly (Today),በየሰዓቱ (ዛሬ)
How this section works,ይህ ክፍል እንዴት እንደሚሰራ
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.",የቆየ ውሂብ ከቀረ፣ መቼቶች > ከመስመር ውጭ እና አመሳስል ይክፈቱ እና በመስመር ላይ እያሉ እንደገና ከመስመር ውጭ ውሂብን እንደገና መገንባትን ያሂዱ።
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.",ማስጠንቀቂያው ከቀጠለ፣ መቼቶች > ከመስመር ውጭ እና ማመሳሰልን ይክፈቱ፣ ከዚያ ከመስመር ውጭ ውሂብን ያድሱ ወይም ከመስመር ውጭ ውሂብን እንደገና ይገንቡ።
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,የምስክር ወረቀቱን ወደ QZ Tray ያስመጡ እና በእያንዳንዱ የPOS ማሽን ላይ QZ Tray እንደገና ያስጀምሩ።
In,ውስጥ
In stock: {0},በክምችት ላይ፡ {0}
Include Batch / Serial,ባች/ተከታታይ ያካትቱ
Include Price,ዋጋን ያካትቱ
Increase quantity,መጠን ጨምር
IndexedDB,IndexedDB
Initial Amount,የመነሻ መጠን
Initialize your shift with opening balances,ፈረቃዎን በመክፈቻ ቀሪ ሒሳቦች ያስጀምሩት።
Initializing application...,መተግበሪያን በማስጀመር ላይ...
"Inspect cache, sync, and prerequisite status",መሸጎጫ፣ ማመሳሰል እና ቅድመ ሁኔታ ሁኔታን መርምር
Installed Applications,የተጫኑ መተግበሪያዎች
Insufficient stock:\n{0},በቂ ያልሆነ ክምችት፡\n{0}
Invalid rate,ልክ ያልሆነ መጠን
Inventory Status Report,የእቃ ዝርዝር ሁኔታ ሪፖርት
Invoice,ደረሰኝ
Invoice {0} is Submitted,ደረሰኝ {0} ገብቷል።
Invoice {0} processed successfully,ደረሰኝ {0} በተሳካ ሁኔታ ተከናውኗል
Invoice {0} submission failed,ደረሰኝ {0} ማስገባት አልተሳካም።
Invoice {0} was already submitted,ደረሰኝ {0} አስቀድሞ ገብቷል።
Invoice Adjustments,የክፍያ መጠየቂያ ማስተካከያዎች
Invoice Change,የክፍያ መጠየቂያ ለውጥ
Invoice Details,የክፍያ መጠየቂያ ዝርዝሮች
Invoice is still in draft after background submission.,ከጀርባ ከገባ በኋላ ደረሰኝ አሁንም በረቂቅ ላይ ነው።
Invoice Items,የክፍያ መጠየቂያ እቃዎች
Invoice Management,የክፍያ መጠየቂያ አስተዳደር
Invoice Mgmt,ደረሰኝ Mgmt
Invoice saved offline,ደረሰኝ ከመስመር ውጭ ተቀምጧል
Invoice submission failed,የክፍያ መጠየቂያ ማስገባት አልተሳካም።
Invoice Submitted,ደረሰኝ ገብቷል።
"Invoice value settled by loyalty points, not cash collection",የክፍያ መጠየቂያ ዋጋ በታማኝነት ነጥቦች እንጂ በጥሬ ገንዘብ መሰብሰብ አይደለም።
Invoices,ደረሰኞች
Invoices already past due date,ደረሰኞች አስቀድሞ የማለቂያ ቀን አልፈዋል
Invoices saved as POS Invoices,ደረሰኞች እንደ POS ደረሰኞች ተቀምጠዋል
Invoices still carrying balances,ደረሰኞች አሁንም ቀሪ ሒሳቦችን ይይዛሉ
Issue Mode,የችግር ሁነታ
Issue New Card,አዲስ ካርድ ማውጣት
Issue Workflow,የስራ ፍሰት ችግር
"Issue, top up, and check",ያውጡ፣ ይሙሉ እና ያረጋግጡ
Item,ንጥል
Item / Product Sales Report,ንጥል / የምርት ሽያጭ ሪፖርት
Item {0} added to invoice,ንጥል {0} ወደ ደረሰኝ ታክሏል።
Item '{0}' has no barcode,ንጥል «{0}» ባር ኮድ የለውም
Item Code,የንጥል ኮድ
Item created successfully,ንጥል ነገር በተሳካ ሁኔታ ተፈጥሯል።
Item is out of stock,እቃው አልቋል
Item Name,የንጥል ስም
Item not found,ንጥል አልተገኘም።
Item order updated,የንጥል ቅደም ተከተል ተዘምኗል
Item Selector Settings,ንጥል መራጭ ቅንብሮች
Items,እቃዎች
Items added in POS will appear here automatically.,በPOS ውስጥ የታከሉ ዕቃዎች በራስ-ሰር እዚህ ይታያሉ።
Items added to invoice,እቃዎች ወደ ደረሰኝ ታክለዋል።
Items per page,እቃዎች በገጽ
Items Sold,የተሸጡ እቃዎች
Items/Invoice,እቃዎች / ደረሰኝ
Item-wise Profitability,የንጥል-ጥበብ ትርፋማነት
Journal Entry,ጆርናል ማስገቢያ
json,json
Just now,ልክ አሁን
Keep offline prerequisites healthy and recover stale data safely.,ከመስመር ውጭ ቅድመ-ሁኔታዎችን ጤናማ ያቆዩ እና የቆየ ውሂብን ደህንነቱ በተጠበቀ ሁኔታ መልሰው ያግኙ።
Labels,መለያዎች
"Language, theme, terminal tools, and session controls.",ቋንቋ፣ ጭብጥ፣ ተርሚናል መሳሪያዎች እና የክፍለ-ጊዜ መቆጣጠሪያዎች።
Last,የመጨረሻ
Last 14 Days (Paid vs Pending),ያለፉት 14 ቀናት (የተከፈለ እና በመጠባበቅ ላይ)
Last 14 Days Activity,ያለፉት 14 ቀናት እንቅስቃሴ
Last 14 Days Gross Profit,ያለፉት 14 ቀናት ጠቅላላ ትርፍ
Last 14 Days Purchases,ያለፉት 14 ቀናት ግዢዎች
Last 14 Days Tax/Charges,ያለፉት 14 ቀናት ግብሮች/ክፍያዎች
Last sync:,የመጨረሻው ማመሳሰል፡
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},የመጨረሻው አመሳስል፡ {0} | እሺ፡ {1} | አልተሳካም፡ {2} | ተዘሏል፡ {3}
Latest entries for current shift,ለአሁኑ ፈረቃ የቅርብ ጊዜ ግቤቶች
Lead Time,መሪ ጊዜ
Limited,የተወሰነ
lines,መስመሮች
List,ዝርዝር
Live Snapshot,የቀጥታ ቅጽበታዊ ገጽ እይታ
Load a POS profile and cashier first.,መጀመሪያ የPOS መገለጫ እና ገንዘብ ተቀባይ ጫን።
Load More Invoices,ተጨማሪ ደረሰኞችን ጫን
Load previously saved invoices,ቀደም ሲል የተቀመጡ ደረሰኞችን ጫን
Load Sale,የጭነት ሽያጭ
Load Sales Invoice,የሽያጭ ደረሰኝ ጫን
Loading app data...,የመተግበሪያ ውሂብን በመጫን ላይ...
Loading customer database...,የደንበኛ ዳታቤዝ በመጫን ላይ...
Loading customers...,ደንበኞችን በመጫን ላይ...
Loading database stats...,የውሂብ ጎታ ስታቲስቲክስን በመጫን ላይ...
Loading details...,ዝርዝሮችን በመጫን ላይ...
Loading invoice history...,የክፍያ መጠየቂያ ታሪክን በመጫን ላይ...
Loading items...,ንጥሎችን በመጫን ላይ...
Loading product catalog...,የምርት ካታሎግ በመጫን ላይ...
Loading return invoices...,የመመለሻ ደረሰኞችን በመጫን ላይ...
Loading server CPU/memory usage...,የአገልጋይ ሲፒዩ/የማህደረ ትውስታ አጠቃቀምን በመጫን ላይ...
Loading suppliers...,አቅራቢዎችን በመጫን ላይ...
Loading unpaid invoices...,ያልተከፈሉ ደረሰኞችን በመጫን ላይ...
Loading view...,እይታን በመጫን ላይ...
Loading...,በመጫን ላይ...
Local storage is unavailable. Switching to online-only mode.,የአካባቢ ማከማቻ የለም። ወደ የመስመር ላይ-ብቻ ሁነታ በመቀየር ላይ።
localStorage,የአካባቢ ማከማቻ
Location Performance,የአካባቢ አፈጻጸም
Locations,ቦታዎች
Lock Screen,የመቆለፊያ ማያ ገጽ
Lookup Workflow,የስራ ፍሰት ፍለጋ
Loss,ኪሳራ
Low,ዝቅተኛ
Low Stock,ዝቅተኛ አክሲዮን
Low Stock Alerts,ዝቅተኛ የአክሲዮን ማንቂያዎች
Low Stock Items,ዝቅተኛ የአክሲዮን እቃዎች
Low Stock Threshold,ዝቅተኛ የአክሲዮን ገደብ
Low Stock Total,ዝቅተኛ የአክሲዮን ጠቅላላ
Lowest Margin,ዝቅተኛው ህዳግ
Low-frequency maintenance and system details.,ዝቅተኛ-ድግግሞሽ ጥገና እና የስርዓት ዝርዝሮች.
Loyalty Redeemed,ታማኝነት ተቤዠ
Loyalty Redemption,ታማኝነት መቤዠት።
Make New Payment,አዲስ ክፍያ ያከናውኑ
Manage all,ሁሉንም አስተዳድር
Manage and synchronize your offline transactions,ከመስመር ውጭ ግብይቶችዎን ያስተዳድሩ እና ያመሳስሉ።
Manage Cashier PIN,ገንዘብ ተቀባይ ፒን ያስተዳድሩ
"Manage offline tools, terminal controls, and maintenance from one workspace.",ከመስመር ውጭ መሳሪያዎችን፣ የተርሚናል መቆጣጠሪያዎችን እና ከአንድ የስራ ቦታ ጥገናን ያቀናብሩ።
manual,መመሪያ
"Manual codes, barcode scans, and QR scans work in the same field",በእጅ ኮዶች፣ ባርኮድ ስካን እና የQR ቅኝቶች በተመሳሳይ መስክ ይሰራሉ
Manual offline mode is enabled,በእጅ ከመስመር ውጭ ሁነታ ነቅቷል።
Margin,ህዳግ
Maximum available quantity is {0}. Quantity adjusted to match stock.,ከፍተኛው የሚገኘው መጠን {0} ነው። መጠኑ ከአክሲዮን ጋር እንዲመሳሰል ተስተካክሏል።
Maximum discount amount for this offer item is {0}.,የዚህ ቅናሽ ንጥል ከፍተኛው የቅናሽ መጠን {0} ነው።
Maximum discount percentage for this offer item is {0}%.,የዚህ ቅናሽ ንጥል ከፍተኛው ቅናሽ መቶኛ {0}% ነው።
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,ከፍተኛው የዋጋ ቅናሽ መጠን {0} ነው። ብዛት በተፈቀደው ገደብ ተስተካክሏል።
Medium,መካከለኛ
Method-wise Collections,ዘዴ-ጥበብ ስብስቦች
Minimum allowed rate for this offer item is {0}.,ለዚህ ቅናሽ ንጥል የሚፈቀደው ዝቅተኛው ተመን {0} ነው።
Minimum Qty,ዝቅተኛው ብዛት
Mobile No,የሞባይል ቁጥር
Mode,ሁነታ
Mode of Payment,የመክፈያ ዘዴ
Month,ወር
Month ?,ወር?
Monthly Profit,ወርሃዊ ትርፍ
Monthly Sales,ወርሃዊ ሽያጭ
Monthly Sales Summary,ወርሃዊ የሽያጭ ማጠቃለያ
Month-wise,ወር-ጥበብ
Most Active Cashiers,በጣም ንቁ ገንዘብ ተቀባዮች
Movement Type,የእንቅስቃሴ አይነት
Movements,እንቅስቃሴዎች
Multi Currency,ባለብዙ ምንዛሪ
N/A,ኤን/ኤ
Name,ስም
Negative Stock,አሉታዊ አክሲዮን።
Negative Stock Items,አሉታዊ የአክሲዮን እቃዎች
Negative values not allowed,አሉታዊ እሴቶች አይፈቀዱም።
Net,የተጣራ
Net Qty,የተጣራ Qty
Net Sales,የተጣራ ሽያጭ
Net Value,የተጣራ እሴት
Never,በጭራሽ
New changes are ready to load,አዲስ ለውጦች ለመጫን ዝግጁ ናቸው።
New Item,አዲስ ነገር
New Offer Available,አዲስ ቅናሽ አለ።
New PIN,አዲስ ፒን
New rate,አዲስ ተመን
Next unit of measure,የሚቀጥለው መለኪያ
No attribute data found.,ምንም የባህሪ ውሂብ አልተገኘም።
No Barcode,ባር ኮድ የለም
No barcode found for UOM '{0}',ለ UOM '{0}' ምንም ባር ኮድ አልተገኘም
No branch/location data found.,ምንም የቅርንጫፍ/የአካባቢ ውሂብ አልተገኘም።
No brand data found.,ምንም የምርት ስም ውሂብ አልተገኘም።
No cached gift card balance is available offline.,ምንም የተሸጎጠ የስጦታ ካርድ ቀሪ ሒሳብ ከመስመር ውጭ አይገኝም።
No camera found on this device. Please ensure your device has a working camera.,በዚህ መሳሪያ ላይ ምንም ካሜራ አልተገኘም። እባክዎ መሳሪያዎ የሚሰራ ካሜራ እንዳለው ያረጋግጡ።
No capability warnings recorded yet.,እስካሁን ምንም የችሎታ ማስጠንቀቂያዎች አልተመዘገቡም።
No cash expected for this shift.,ለዚህ ፈረቃ ምንም ገንዘብ አይጠበቅም።
No cash mode configured,ምንም የገንዘብ ሁነታ አልተዋቀረም።
No cash movement type is allowed for this POS Profile.,ለዚህ የPOS መገለጫ ምንም አይነት የገንዘብ እንቅስቃሴ አይፈቀድም።
No cashier PIN is set yet. Create one now.,እስካሁን ምንም ገንዘብ ተቀባይ ፒን አልተዘጋጀም። አሁን ፍጠር።
No cashier profiles are available for this POS profile yet.,ለዚህ የPOS መገለጫ እስካሁን ምንም ገንዘብ ተቀባይ መገለጫዎች የሉም።
No cashier-wise discount/void/return activity.,ገንዘብ ተቀባይ-ጥበበኛ ቅናሽ/ባዶ/የተመላሽ እንቅስቃሴ የለም።
No category data found.,ምንም የምድብ ውሂብ አልተገኘም።
No category profitability data found.,ምንም የምድብ ትርፋማነት መረጃ አልተገኘም።
No change returned recorded for this shift.,ለዚህ ፈረቃ ምንም የተመዘገበ ለውጥ የለም።
No change-allocation invoices match the current filters.,ምንም ለውጥ-ምደባ ደረሰኞች ከአሁኑ ማጣሪያዎች ጋር አይዛመዱም።
No charge head breakdown found.,ምንም ክፍያ የጭንቅላት ብልሽት አልተገኘም።
No Company Selected,ምንም ኩባንያ አልተመረጠም።
No customer sales data found.,ምንም የደንበኛ ሽያጭ ውሂብ አልተገኘም።
No day-wise discount/void/return trend.,ምንም ቀን-ጥበብ ያለው ቅናሽ/ባዶ/መመለስ አዝማሚያ የለም።
No day-wise payment data found.,ምንም የቀን-ጥበብ ክፍያ ውሂብ አልተገኘም።
No day-wise profitability trend found.,ምንም የቀን-ጥበብ የትርፋማነት አዝማሚያ አልተገኘም።
No day-wise purchase data found.,ምንም የቀን-ጥበብ ግዢ ውሂብ አልተገኘም።
No day-wise sales trend found.,ምንም የቀን-ጥበብ የሽያጭ አዝማሚያ አልተገኘም።
No day-wise tax/charges trend found.,የቀን ቀረጥ/የክፍያ አዝማሚያ አልተገኘም።
No dead stock items.,የሞቱ ዕቃዎች የሉም።
No due date,የማለቂያ ቀን የለም።
