POS Awesome,POS Super
Fetch Items Directly from Server,Elemente direkt vom Server abrufen
Menu,Menü
Actions,Aktionen
Close Shift,Schicht schließen
End current session,Aktuelle Sitzung beenden
Print Last Invoice,Letzte Rechnung drucken
Reprint previous transaction,Vorherige Transaktion erneut drucken
Sync Offline Invoices,Offline-Rechnungen synchronisieren
Upload pending transactions,Laden Sie ausstehende Transaktionen hoch
Go Online,Gehen Sie online
Go Offline,Gehen Sie offline
Disable offline mode,Deaktivieren Sie den Offline-Modus
Work without server connection,Arbeiten Sie ohne Serververbindung
Clear Cache,Cache leeren
Remove local data and refresh,Lokale Daten entfernen und aktualisieren
About,Über
App information,App-Informationen
Language,Sprache
Change interface language,Ändern Sie die Sprache der Benutzeroberfläche
Light Mode,Lichtmodus
Dark Mode,Dunkler Modus
Switch theme appearance,Erscheinungsbild des Themes ändern
Logout,Abmelden
Sign out of session,Melden Sie sich von der Sitzung ab
Select Language,Wählen Sie Sprache aus
Choose your preferred language for the POS interface,Wählen Sie Ihre bevorzugte Sprache für die POS-Oberfläche
Language will be changed to,Die Sprache wird geändert in
Cancel,Abbrechen
Change Language,Sprache ändern
Close,Schließen
Cannot change language - same language selected,Die Sprache kann nicht geändert werden – dieselbe Sprache ausgewählt
Language changed successfully! Reloading...,Sprache erfolgreich geändert! Neu laden...
Failed to change language,Die Sprache konnte nicht geändert werden
Unknown error,Unbekannter Fehler
- Total Unallocated,- Insgesamt nicht zugewiesen
* Required,* Erforderlich
{0} (Qty: {1}),{0} (Menge: {1})
{0} actions,{0} Aktionen
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} hat nur {1} auf Lager. Sie haben {2} angefordert. Menge anpassen oder auffüllen.
{0} offline invoice{1} pending,{0}Offline-Rechnung{1} ausstehend
{0} offline invoice{1} saved as draft,{0}Offline-Rechnung{1} als Entwurf gespeichert
{0} offline invoice{1} synced,{0}Offline-Rechnung{1} synchronisiert
{0}: {1} {2},{0}: {1} {2}
{0}d ago,Vor {0}Tagen
{0}h ago,Vor {0}h
{0}m ago,Vor {0}m
A POS supervisor is required for this action.,Für diese Aktion ist ein POS-Supervisor erforderlich.
Access,Zugang
Account,Konto
Account is overdrawn,Konto ist überzogen
Acknowledge the error to resume scanning,"Bestätigen Sie den Fehler, um den Scanvorgang fortzusetzen"
Acknowledge the error to resume scanning.,"Bestätigen Sie den Fehler, um den Scanvorgang fortzusetzen."
Across,Quer
Action,Aktion
Active sale,Aktiver Verkauf
add,hinzufügen
Add items from the selector to start building this sale.,"Fügen Sie Artikel aus der Auswahl hinzu, um mit dem Aufbau dieses Verkaufs zu beginnen."
Add more value to an existing gift card,Fügen Sie einer bestehenden Geschenkkarte mehr Wert hinzu
Add New Address,Neue Adresse hinzufügen
Add new customer,Neuen Kunden hinzufügen
Add on New Line,Neue Zeile hinzufügen
Add Payment,Zahlung hinzufügen
Add payment to invoice,Zahlung zur Rechnung hinzufügen
Add/Edit Coupon Conditions,Gutscheinbedingungen hinzufügen/bearbeiten
Additional Discount,Zusätzlicher Rabatt
Additional Discount %,Zusätzlicher Rabatt %
Address Line 1,Adresszeile 1
Address not found,Adresse nicht gefunden
Adjust the quantity or enable negative stock to continue.,"Passen Sie die Menge an oder aktivieren Sie den negativen Bestand, um fortzufahren."
Adjustment,Anpassung
After returns,Nach Rückkehr
Against,Gegen
Against Name,Gegen den Namen
Age Bracket,Altersgruppe
All,Alle
All Caught Up!,Alles eingeholt!
All invoices are synchronized,Alle Rechnungen werden synchronisiert
All pending invoices are up to date,Alle ausstehenden Rechnungen sind auf dem neuesten Stand
All Profiles,Alle Profile
All Synchronized,Alles synchronisiert
All visible invoices are fully settled.,Alle sichtbaren Rechnungen sind vollständig beglichen.
All Warehouses,Alle Lager
Allowed UOM is {0},Zulässige Maßeinheit ist {0}
Always fetch items from server (ignore local cache),Elemente immer vom Server abrufen (lokalen Cache ignorieren)
Amount,Betrag
Amount already received,Betrag bereits erhalten
Amount exceeds profile cash movement max amount.,Der Betrag übersteigt den Maximalbetrag der Bargeldbewegung im Profil.
Amount must be greater than zero.,Der Betrag muss größer als Null sein.
Amount received from customer,Vom Kunden erhaltener Betrag
Appearance and user-level preferences for the current session.,Darstellung und Präferenzen auf Benutzerebene für die aktuelle Sitzung.
Applied,Angewendet
Apply,Bewerben
Apply Gift Card,Geschenkkarte anwenden
Apply Offer,Angebot anwenden
Apply On,Bewerben Sie sich am
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,"Wenden Sie auf dieser Rechnung nur den Betrag an, den Sie einlösen möchten. Der Restbetrag verbleibt auf der Karte."
Apply Redemption,Erlösung anwenden
Applying,Bewerben
Apps,Apps
Are you sure you want to close? All entered data will be lost.,Möchten Sie wirklich schließen? Alle eingegebenen Daten gehen verloren.
Attributes (Size/Color),Attribute (Größe/Farbe)
Auto Allocate Payment Amount,Zahlungsbetrag automatisch zuweisen
Auto Reconcile,Automatischer Abgleich
Auto reconciliation completed after payment submit.,Der automatische Abgleich wurde nach dem Absenden der Zahlung abgeschlossen.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Automatischer Abgleich abgeschlossen. Zugewiesen: {0}{1}. Verbleibend ausstehend: {0}{2}.
Available Actions,Verfügbare Aktionen
Available QTY,Verfügbare Menge
Available:,Verfügbar:
Average Basket,Durchschnittlicher Korb
Average Bill,Durchschnittliche Rechnung
Average Ticket,Durchschnittliches Ticket
Avg Bill,Durchschn. Rechnung
Avg Invoice,Durchschnittliche Rechnung
Avg Invoice Profit,Durchschnittlicher Rechnungsgewinn
Avg Invoice Value,Durchschnittlicher Rechnungswert
Avg Purchase Frequency,Durchschnittliche Kaufhäufigkeit
Awesome,Großartig
Awesome Dashboard,Tolles Dashboard
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard ist für das ausgewählte POS-Profil deaktiviert.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard ist für den ausgewählten Bereich nicht verfügbar.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard ist nur für POS-Supervisoren sichtbar.
Back,Zurück
Back Office Cash Account,Backoffice-Geldkonto
Back Office Cash Account (Optional Override),Backoffice-Geldkonto (optionale Überschreibung)
Back office cash account is required.,Ein Back-Office-Geldkonto ist erforderlich.
Back to {0},Zurück zu {0}
Background processing did not finish in time.,Die Hintergrundverarbeitung wurde nicht rechtzeitig abgeschlossen.
Background processing failed for Invoice {0}: {1},Hintergrundverarbeitung für Rechnung {0} fehlgeschlagen: {1}
Background Submission Failed,Hintergrundübermittlung fehlgeschlagen
Background sync interval (seconds),Hintergrundsynchronisierungsintervall (Sekunden)
Balance,Gleichgewicht
Balance will be updated when connection is restored,"Der Kontostand wird aktualisiert, sobald die Verbindung wiederhergestellt ist"
Balances still pending,Es stehen noch Restbeträge aus
Barcode,Barcode
Barcode / QR Ready,Barcode-/QR-fähig
Barcode Label Printing,Drucken von Barcode-Etiketten
Base Paid:,Grundbezahlung:
Base Recv:,Basisempfang:
Base:,Basis:
Basic Information,Grundlegende Informationen
Batch,Charge
Batch Information,Chargeninformationen
Before any return workflow,Vor jedem Rückgabe-Workflow
Before returns,Vor der Rückkehr
Best Day,Bester Tag
Best Seller,Bestseller
Book expense or deposit from active shift.,Buchen Sie Ausgaben oder Anzahlungen aus der aktiven Schicht.
Branch / Location-wise Report,Filial-/standortbezogener Bericht
Brand-wise,Markenmäßig
Breakdown,Zusammenbruch
Browse,Durchsuchen
Build Time:,Bauzeit:
Built with Frappe,Gebaut mit Frappe
Bundle,Bündel
Buying Price,Kaufpreis
Cache cleared successfully,Cache erfolgreich geleert
Cache Usage,Cache-Nutzung
cache used,Cache verwendet
Calculating...,Berechnen...
Camera Access Required,Kamerazugriff erforderlich
Camera access was aborted. Please try again.,Der Kamerazugriff wurde abgebrochen. Bitte versuchen Sie es erneut.
Camera constraints not supported by your device. Trying fallback settings...,Kameraeinschränkungen werden von Ihrem Gerät nicht unterstützt. Fallback-Einstellungen werden ausprobiert...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Die Kamera ist beschäftigt oder wird von einer anderen App/einem anderen Tab blockiert. Schließen Sie andere Kamera-Apps und versuchen Sie es erneut.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Kameraberechtigung verweigert. Bitte erlauben Sie den Kamerazugriff in Ihren Browsereinstellungen und aktualisieren Sie die Seite.
Camera scanner is locked until the current error is acknowledged,"Der Kamerascanner ist gesperrt, bis der aktuelle Fehler quittiert wird"
Camera started but the video stream did not load in time. Please try again.,"Die Kamera wurde gestartet, aber der Videostream wurde nicht rechtzeitig geladen. Bitte versuchen Sie es erneut."
Cancel cash movement {0}?,Bargeldbewegung {0} stornieren?
Cancel Payment,Zahlung stornieren
Cancel Sale,Verkauf abbrechen
Cancel Sale ?,Verkauf abbrechen?
Cancelled,Abgesagt
Cannot add an item with zero or negative quantity.,Es kann kein Artikel mit einer Null- oder negativen Menge hinzugefügt werden.
Cannot clear cache while offline,Der Cache kann offline nicht geleert werden
Cannot redeem customer credit more than invoice total,Das Kundenguthaben kann nicht über den Rechnungsbetrag hinaus eingelöst werden
Cannot redeem gift cards more than invoice total,Geschenkkarten können nicht über den Rechnungsbetrag hinaus eingelöst werden
Cannot Save Offline Invoice:,Offline-Rechnung kann nicht gespeichert werden:
Cannot Save Offline Payment:,Offline-Zahlung kann nicht gespeichert werden:
Card,Karte
Card / Online,Karte / Online
Card health after the last live lookup,Kartenzustand nach der letzten Live-Suche
Cards,Karten
Cart,Warenkorb
Cash,Bargeld
Cash back to customers,Cashback an Kunden
Cash Collections,Bargeldsammlungen
Cash Deposit is disabled for this POS Profile.,Die Bareinzahlung ist für dieses POS-Profil deaktiviert.
Cash Drawer Snapshot,Schnappschuss der Kassenschublade
Cash In Hand,Bargeld in der Hand
Cash Movement,Bargeldbewegung
Cash movement cancelled,Bargeldbewegung abgebrochen
Cash movement deduction applied,Es wurde ein Barbewegungsabzug angewendet
Cash movement deleted,Bargeldbewegung gelöscht
Cash movement is disabled for this POS Profile.,Der Bargeldverkehr ist für dieses POS-Profil deaktiviert.
Cash Movement is disabled in current POS Profile.,Die Bargeldbewegung ist im aktuellen POS-Profil deaktiviert.
Cash movement saved offline,Bargeldbewegung offline gespeichert
Cash movement submitted,Bargeldbewegung übermittelt
Cash Movements,Bargeldbewegungen
Cash payment cannot be less than invoice total when partial payment is not allowed,"Die Barzahlung darf nicht unter dem Rechnungsbetrag liegen, wenn eine Teilzahlung nicht zulässig ist"
Cash returned after payment,Nach der Zahlung wird Bargeld zurückerstattet
Cashier,Kassierer
Cashier Access,Zugang zur Kasse
Cashier identity and appearance preferences.,Identitäts- und Aussehenspräferenzen des Kassierers.
Cashier PIN,Kassierer-PIN
Cashier PIN saved successfully.,Kassierer-PIN erfolgreich gespeichert.
Cashiers,Kassierer
Cashier-wise,Kassierertechnisch
Categories,Kategorien
Category,Kategorie
Category / Brand / Variant Report,Kategorie-/Marken-/Variantenbericht
Category-wise,Kategoriemäßig
Category-wise Margin,Kategoriebezogene Marge
Certificate,Zertifikat
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Das Zertifikat fehlt oder ist nicht vertrauenswürdig. QZ zeigt möglicherweise Bestätigungsdialoge an.
Certificate is trusted. Silent QZ printing is active.,Das Zertifikat ist vertrauenswürdig. Der stille QZ-Druck ist aktiv.
Change,Veränderung
Change allocation repaired,Änderungszuordnung repariert
Change Price,Preis ändern
Change Return,Rückgabe ändern
Change Returned,Wechselgeld zurückgegeben
Change terminal cashier,Terminalkassierer wechseln
Charge Heads,Ladeköpfe
Charges,Gebühren
Charges not found,Gebühren nicht gefunden
Check Balance,Überprüfen Sie den Kontostand
Check balance for any card. Supervisors can issue and top up cards here.,Überprüfen Sie den Kontostand für jede Karte. Vorgesetzte können hier Karten ausstellen und aufladen.
Check balance only,Nur den Kontostand prüfen
Check for new commits,Suchen Sie nach neuen Commits
Check for Updates,Suchen Sie nach Updates
Check live balance before applying redemption,"Überprüfen Sie das Live-Guthaben, bevor Sie die Einlösung beantragen"
Check live balance before redemption,Überprüfen Sie das Live-Guthaben vor der Einlösung
Checking...,Überprüfen...
Cheque/Reference Date,Scheck-/Referenzdatum
Cheque/Reference No,Scheck/Referenznr
Choose the cashier currently operating this terminal.,"Wählen Sie den Kassierer aus, der dieses Terminal derzeit bedient."
City,Stadt
Clear,Klar
Clear All,Alles löschen
Clear all barcode items,Löschen Sie alle Barcode-Elemente
Clear all purchase order items,Löschen Sie alle Bestellpositionen
Clear Search,Suche löschen
Clearing local cache...,Lokaler Cache wird geleert...
Click to refresh,Klicken Sie zum Aktualisieren
Client CPU Lag:,Client-CPU-Verzögerung:
Client Memory Usage:,Client-Speichernutzung:
Client Metrics,Kundenmetriken
Close about dialog,Schließen Sie den Dialog
Close cashier switcher,Kassenschalter schließen
Close closing shift dialog,Schließt den Schichtdialog
Close column selector,Spaltenauswahl schließen
Close Dialog,Dialog schließen
Close drafts dialog,Entwurfsdialog schließen
Close invoice details dialog,Schließen Sie den Dialog „Rechnungsdetails“.
Close invoice management,Schließen Sie die Rechnungsverwaltung ab
Close offline invoices dialog,Offline-Rechnungsdialog schließen
Close packing list dialog,Packlistendialog schließen
Close returns dialog,Retourendialog schließen
Close sales orders dialog,Schließen Sie den Dialog „Kundenaufträge“.
Close Scanner,Schließen Sie den Scanner
Close scanner dialog,Schließen Sie den Scannerdialog
Close Settings,Schließen Sie die Einstellungen
Closing Amount,Schlussbetrag
Closing POS Shift,POS-Schicht wird geschlossen
Closing Snapshot Available,Abschluss-Snapshot verfügbar
Code,Code
Code scanned successfully,Code erfolgreich gescannt
COGS,ZÄHNE
Collapse item details,Artikeldetails ausblenden
Collected,Gesammelt
Cols,Spalten
Columns,Spalten
commits,begeht
Completed and active sales in this range,Abgeschlossene und aktive Verkäufe in diesem Bereich
Completed returns will appear here.,Abgeschlossene Rücksendungen werden hier angezeigt.
Confirm,Bestätigen
Confirm Close,Bestätigen Sie „Schließen“.
Confirm Mobile Number,Bestätigen Sie die Mobiltelefonnummer
Confirm PIN,PIN bestätigen
Connect,Verbinden
Connect printer and manage certificate,Drucker anschließen und Zertifikat verwalten
Connecting to QZ Tray...,Anschließen an das QZ-Fach...
Connection problem while submitting invoice,Verbindungsproblem beim Senden der Rechnung
Connections:,Verbindungen:
Connectivity and cached prerequisite status were rechecked.,Konnektivität und zwischengespeicherter Voraussetzungsstatus wurden erneut überprüft.
Continue Editing,Bearbeiten Sie weiter
Could not fetch latest balance from server,Der aktuelle Kontostand konnte nicht vom Server abgerufen werden
Count,Zählen
Country,Land
Coupon,Gutschein
Coupons,Gutscheine
Cover,Abdeckung
CPU Cores:,CPU-Kerne:
Create,Erstellen
Create and load a new prepaid card,Erstellen und laden Sie eine neue Prepaid-Karte
Create and preload a new gift card,Erstellen Sie eine neue Geschenkkarte und laden Sie sie vorab auf
Create Bill,Rechnung erstellen
Create Customer,Kunde anlegen
Create New Item,Neues Element erstellen
Create or change your PIN,Erstellen oder ändern Sie Ihre PIN
Create PIN,PIN erstellen
Create POS Opening Shift,Erstellen Sie eine POS-Eröffnungsschicht
Create Purchase Order,Bestellung erstellen
Create Return,Retoure erstellen
Create return from invoice,Retoure aus Rechnung erstellen
Create Supplier,Lieferant anlegen
Credit and Output,Kredit und Leistung
Credit Note,Gutschrift
Credit Outstanding,Ausstehender Kredit
Credit sales remaining to be collected,Es müssen noch Kreditverkäufe eingezogen werden
Critical,Kritisch
Currency,Währung
Current,Aktuell
Current Event Loop Lag:,Verzögerung der aktuellen Ereignisschleife:
Current Month,Aktueller Monat
Current PIN,Aktuelle PIN
Current Profile,Aktuelles Profil
Current redeemable value on the gift card,Aktueller einlösbarer Wert der Geschenkkarte
Current User,Aktueller Benutzer
Custom,Benutzerdefiniert
Custom Due Days,Benutzerdefinierte Fälligkeitstage
Custom items per page,Benutzerdefinierte Elemente pro Seite
Customer,Kunde
Customer already selected,Kunde bereits ausgewählt
Customer Balance,Kundensaldo
Customer balance unavailable offline,Kundenguthaben offline nicht verfügbar
Customer created successfully.,Kunde erfolgreich erstellt.
Customer creation failed.,Die Kundenerstellung ist fehlgeschlagen.
Customer Details,Kundendaten
Customer display channel is missing,Der Kundenanzeigekanal fehlt
Customer display was blocked. Please allow pop-ups for this site.,Die Kundenanzeige wurde blockiert. Bitte erlauben Sie Pop-ups für diese Website.
Customer group is required,Kundengruppe ist erforderlich
Customer is required to add payment,Der Kunde muss die Zahlung hinzufügen
Customer Name is required,Kundenname ist erforderlich
Customer not selected,Kunde nicht ausgewählt
Customer Report,Kundenbericht
Customer saved offline,Kunde offline gespeichert
Customer Screen,Kundenbildschirm
Customer territory is required,Kundengebiet ist erforderlich
Customer updated successfully.,Der Kunde wurde erfolgreich aktualisiert.
Customer-facing tools and printer setup.,Kundenorientierte Tools und Druckereinrichtung.
Customers,Kunden
Customers not found,Kunden nicht gefunden
Daily cashier actions without scrolling.,Tägliche Kassiereraktionen ohne Scrollen.
Daily Sales,Tägliche Verkäufe
Daily Sales Summary,Tägliche Verkaufsübersicht
Data loaded in form. Review and submit.,Im Formular geladene Daten. Überprüfen und einreichen.
Database Health,Datenbankzustand
Database health affects overall system speed and reliability.,Der Zustand der Datenbank wirkt sich auf die Gesamtgeschwindigkeit und -zuverlässigkeit des Systems aus.
Database Info,Datenbankinformationen
Date,Datum
Day ?,Tag?
days,Tage
Day-wise (MTD),Tagesweise (MTD)
Day-wise Movement,Tagesweise Bewegung
Dead Stock,Toter Bestand
Dead Stock Items,Ausverkaufte Artikel
Decrease quantity,Menge verringern
Default,Standard
Default:,Standard:
Delete,Löschen
Delete cancelled cash movement {0}?,Stornierte Bargeldbewegung {0} löschen?
Delete Draft,Entwurf löschen
Delete draft invoice,Rechnungsentwurf löschen
Delete draft invoice {0}?,Rechnungsentwurf {0} löschen?
Delete Invoice,Rechnung löschen
Delete offline invoice,Offline-Rechnung löschen
Delivered,Geliefert
Delivery Charges,Versandkosten
Delivery Information,Lieferinformationen
Delivery Note {0} created,Lieferschein {0} erstellt
Delivery note created,Lieferschein erstellt
Deployed Bundle:,Bereitgestelltes Paket:
Deposit,Anzahlung
Description,Beschreibung
Detailed Supplier Breakdown,Detaillierte Lieferantenaufschlüsselung
Detecting formats:,Formate erkennen:
Device Memory:,Gerätespeicher:
Difference,Unterschied
Difference (In Company Currency),Differenz (in Firmenwährung)
Disable offline mode first to recheck live connectivity.,"Deaktivieren Sie zunächst den Offline-Modus, um die Live-Konnektivität erneut zu überprüfen."
Disconnect,Trennen
discount,Rabatt
Discount %,Rabatt %
Discount / Void / Return Report,Rabatt-/Stornierungs-/Rückgabebericht
Discount Amount,Rabattbetrag
Discount limited by POS Profile,Rabatt durch POS-Profil begrenzt
Discounted Invoices,Rabattierte Rechnungen
Discounts,Rabatte
Dismiss,Entlassen
Download Certificate,Zertifikat herunterladen
Draft,Entwurf
Draft invoice deleted,Rechnungsentwurf gelöscht
Draft source,Entwurfsquelle
Drafts,Entwürfe
Due {0},Fällig {0}
Due Date,Fälligkeitsdatum
Duplicate,Duplizieren
Edit customer,Kunde bearbeiten
Edit discount amount,Rabattbetrag bearbeiten
Edit discount percentage,Rabattprozentsatz bearbeiten
Edit Gift Application,Geschenkantrag bearbeiten
Edit item name,Artikelnamen bearbeiten
Edit quantity,Menge bearbeiten
Edit rate,Tarif bearbeiten
Edit unit of measure,Maßeinheit bearbeiten
Edited,Bearbeitet
Employee,Mitarbeiter
Enable background sync,Aktivieren Sie die Hintergrundsynchronisierung
Enable Customer Display in POS Profile first.,Aktivieren Sie zunächst die Kundenanzeige im POS-Profil.
Enter a PIN.,Geben Sie eine PIN ein.
Enter a valid grams value,Geben Sie einen gültigen Grammwert ein
Enter new price list rate,Geben Sie den neuen Preislistenpreis ein
Enter Quantity,Geben Sie die Menge ein
Enter the cashier PIN to continue.,"Geben Sie die Kassierer-PIN ein, um fortzufahren."
Enter the current PIN first.,Geben Sie zunächst die aktuelle PIN ein.
"Enter the current PIN, then choose a new one.",Geben Sie die aktuelle PIN ein und wählen Sie dann eine neue.
Enter valid grams for scale barcode,Geben Sie gültige Grammwerte für den Waagen-Barcode ein
Entries,Einträge
Error accessing camera:,Fehler beim Zugriff auf die Kamera:
Error calculating prices,Fehler bei der Preisberechnung
Error fetching customer balance,Fehler beim Abrufen des Kundenguthabens
Error in change calculations!,Fehler in der Änderungsberechnung!
Error Loading Data,Fehler beim Laden der Daten
Error loading invoice details,Fehler beim Laden der Rechnungsdetails
Error processing invoice,Fehler bei der Rechnungsverarbeitung
Error processing payment,Fehler bei der Zahlungsabwicklung
Error searching invoices,Fehler beim Suchen der Rechnungen
Error submitting invoice:,Fehler beim Senden der Rechnung:
Error submitting invoice: {0},Fehler beim Senden der Rechnung: {0}
Error submitting invoice: No response from server,Fehler beim Senden der Rechnung: Keine Antwort vom Server
Error updating currency,Fehler beim Aktualisieren der Währung
Error updating item details,Fehler beim Aktualisieren der Artikeldetails
Est. Purchase,Schätzung: Kauf
Est. Value,Schätzung: Wert
Event-loop lag measures how busy your browser is. Lower is better.,"Die Ereignisschleifenverzögerung misst, wie beschäftigt Ihr Browser ist. Niedriger ist besser."
Every,Jeder
Exchange Rate,Wechselkurs
Expand item details,Erweitern Sie die Artikeldetails
Expected Amount (In Company Currency),Erwarteter Betrag (in Firmenwährung)
Expected Cash,Erwartetes Bargeld
Expected cash on hand grouped by currency,"Erwarteter Kassenbestand, gruppiert nach Währung"
Expected vs Actual,Erwartet vs. tatsächlich
Expense,Kosten
Expense Account (Optional Override),Spesenkonto (optionale Überschreibung)
Expense account is required.,Eine Spesenabrechnung ist erforderlich.
Expenses and deposits posted during this shift,Während dieser Schicht gebuchte Ausgaben und Einzahlungen
Expired,Abgelaufen
Failed to auto reconcile payments.,Fehler beim automatischen Abgleich der Zahlungen.
Failed to cancel cash movement,Die Bargeldbewegung konnte nicht abgebrochen werden
Failed to clear cache,Cache konnte nicht geleert werden
Failed to create item,Element konnte nicht erstellt werden
Failed to create supplier,Lieferant konnte nicht erstellt werden
Failed to delete cash movement,Die Bargeldbewegung konnte nicht gelöscht werden
Failed to generate scale barcode. Using item barcode only.,Der Barcode der Waage konnte nicht generiert werden. Nur Artikel-Barcode verwenden.
Failed to load cash movement context.,Der Kontext für die Bargeldbewegung konnte nicht geladen werden.
Failed to load dashboard data.,Das Laden der Dashboard-Daten ist fehlgeschlagen.
Failed to reload invoice from server,Die Rechnung konnte nicht vom Server neu geladen werden
Failed to submit cash movement,Die Bargeldbewegung konnte nicht übermittelt werden
Failed to sync offline cash movements,Offline-Bargeldbewegungen konnten nicht synchronisiert werden
Fast cashier actions for active shifts.,Schnelle Kassiereraktionen für aktive Schichten.
Fast Moving Items,Schnelllebige Artikel
Fees,Gebühren
Fetch the latest offline prerequisite updates,Rufen Sie die neuesten Offline-Voraussetzungsupdates ab
Find a sales order quickly and load it into the current sale.,Finden Sie schnell einen Kundenauftrag und laden Sie ihn in den aktuellen Verkauf.
Fixing payment amounts for return invoice...,Zahlungsbeträge für Rücksenderechnung festlegen...
Flash Off,Blitz aus
Flash On,Blitz an
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Für „Produktpaket“-Artikel werden Lager, Seriennummer und Chargennummer aus der Tabelle „Packliste“ berücksichtigt. Wenn Lager und Chargennummer für alle Verpackungsartikel für einen „Produktbündel“-Artikel gleich sind, können diese Werte in die Hauptartikeltabelle eingegeben werden; Die Werte werden in die Tabelle „Packliste“ kopiert."
Free,Kostenlos
Free Qty,Kostenlose Menge
Frequency,Häufigkeit
from,von
From Date,Von Datum
Fulfillment Details,Einzelheiten zur Erfüllung
Full Name,Vollständiger Name
Gain,Gewinn
Generate a fresh prepaid card and start it with an opening balance.,Erstellen Sie eine neue Prepaid-Karte und starten Sie sie mit einem Anfangssaldo.
Generate and install the certificate to allow fully silent printing without trust prompts.,"Generieren und installieren Sie das Zertifikat, um ein völlig stilles Drucken ohne Vertrauensaufforderungen zu ermöglichen."
