POS Awesome,POS Φοβερό
Fetch Items Directly from Server,Λήψη αντικειμένων απευθείας από τον διακομιστή
Menu,Μενού
Actions,Δράσεις
Close Shift,Κλείσιμο Shift
End current session,Τερματισμός τρέχουσας συνεδρίας
Print Last Invoice,Εκτύπωση τελευταίου τιμολογίου
Reprint previous transaction,Επανεκτύπωση προηγούμενης συναλλαγής
Sync Offline Invoices,Συγχρονισμός τιμολογίων εκτός σύνδεσης
Upload pending transactions,Μεταφόρτωση εκκρεμών συναλλαγών
Go Online,Μεταβείτε στο Διαδίκτυο
Go Offline,Μεταβείτε εκτός σύνδεσης
Disable offline mode,Απενεργοποιήστε τη λειτουργία εκτός σύνδεσης
Work without server connection,Εργασία χωρίς σύνδεση διακομιστή
Clear Cache,Εκκαθάριση προσωρινής μνήμης
Remove local data and refresh,Καταργήστε τοπικά δεδομένα και ανανεώστε
About,Περίπου
App information,Πληροφορίες εφαρμογής
Language,Γλώσσα
Change interface language,Αλλαγή γλώσσας διεπαφής
Light Mode,Λειτουργία φωτός
Dark Mode,Σκοτεινή λειτουργία
Switch theme appearance,Εναλλαγή εμφάνισης θέματος
Logout,Αποσύνδεση
Sign out of session,Αποσύνδεση από τη συνεδρία
Select Language,Επιλέξτε Γλώσσα
Choose your preferred language for the POS interface,Επιλέξτε τη γλώσσα που προτιμάτε για τη διεπαφή POS
Language will be changed to,Η γλώσσα θα αλλάξει σε
Cancel,Ακύρωση
Change Language,Αλλαγή γλώσσας
Close,Κλείσιμο
Cannot change language - same language selected,Δεν είναι δυνατή η αλλαγή γλώσσας - επιλέχθηκε η ίδια γλώσσα
Language changed successfully! Reloading...,Η γλώσσα άλλαξε με επιτυχία! Επαναφόρτωση...
Failed to change language,Αποτυχία αλλαγής γλώσσας
Unknown error,Άγνωστο σφάλμα
- Total Unallocated,- Σύνολο μη κατανεμημένων
* Required,* Υποχρεωτικό
{0} (Qty: {1}),{0} (Ποσότητα: {1})
{0} actions,{0} ενέργειες
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,Το {0} έχει μόνο {1} σε απόθεμα. Ζητήσατε {2}. Προσαρμόστε την ποσότητα ή ανανεώστε το απόθεμα.
{0} offline invoice{1} pending,{0} τιμολόγιο εκτός σύνδεσης{1} σε εκκρεμότητα
{0} offline invoice{1} saved as draft,Το {0} τιμολόγιο εκτός σύνδεσης{1} αποθηκεύτηκε ως πρόχειρο
{0} offline invoice{1} synced,{0} τιμολόγιο εκτός σύνδεσης{1} συγχρονίστηκε
{0}: {1} {2},{0}: {1} {2}
{0}d ago,πριν από {0}ημ
{0}h ago,Πριν από {0} ώρες
{0}m ago,πριν από {0}μ
A POS supervisor is required for this action.,Απαιτείται επόπτης POS για αυτήν την ενέργεια.
Access,Πρόσβαση
Account,Λογαριασμός
Account is overdrawn,Ο λογαριασμός είναι υπερανάληψη
Acknowledge the error to resume scanning,Αναγνωρίστε το σφάλμα για να συνεχιστεί η σάρωση
Acknowledge the error to resume scanning.,Αναγνωρίστε το σφάλμα για να συνεχιστεί η σάρωση.
Across,Απέναντι
Action,Δράση
Active sale,Ενεργή πώληση
add,προσθέστε
Add items from the selector to start building this sale.,Προσθέστε στοιχεία από τον επιλογέα για να ξεκινήσετε τη δημιουργία αυτής της πώλησης.
Add more value to an existing gift card,Προσθέστε περισσότερη αξία σε μια υπάρχουσα δωροκάρτα
Add New Address,Προσθήκη νέας διεύθυνσης
Add new customer,Προσθήκη νέου πελάτη
Add on New Line,Προσθήκη στη νέα γραμμή
Add Payment,Προσθήκη πληρωμής
Add payment to invoice,Προσθήκη πληρωμής στο τιμολόγιο
Add/Edit Coupon Conditions,Προσθήκη/Επεξεργασία Προϋποθέσεων Κουπονιού
Additional Discount,Πρόσθετη Έκπτωση
Additional Discount %,Επιπλέον έκπτωση %
Address Line 1,Γραμμή διεύθυνσης 1
Address not found,Η διεύθυνση δεν βρέθηκε
Adjust the quantity or enable negative stock to continue.,Προσαρμόστε την ποσότητα ή ενεργοποιήστε το αρνητικό απόθεμα για να συνεχιστεί.
Adjustment,Προσαρμογή
After returns,Μετά τις επιστροφές
Against,Κατά
Against Name,Ενάντια στο όνομα
Age Bracket,Ηλικιακός βραχίονας
All,Όλα
All Caught Up!,Όλα Πιασμένα!
All invoices are synchronized,Όλα τα τιμολόγια είναι συγχρονισμένα
All pending invoices are up to date,Όλα τα εκκρεμή τιμολόγια είναι ενημερωμένα
All Profiles,Όλα τα Προφίλ
All Synchronized,Όλα συγχρονισμένα
All visible invoices are fully settled.,Όλα τα ορατά τιμολόγια έχουν εξοφληθεί πλήρως.
All Warehouses,Όλες οι Αποθήκες
Allowed UOM is {0},Το επιτρεπόμενο UOM είναι {0}
Always fetch items from server (ignore local cache),Πάντα ανάκτηση στοιχείων από τον διακομιστή (αγνοήστε την τοπική προσωρινή μνήμη)
Amount,Ποσό
Amount already received,Ποσό που έχει ήδη ληφθεί
Amount exceeds profile cash movement max amount.,Το ποσό υπερβαίνει το μέγιστο ποσό κίνησης μετρητών προφίλ.
Amount must be greater than zero.,Το ποσό πρέπει να είναι μεγαλύτερο από το μηδέν.
Amount received from customer,Ποσό που ελήφθη από τον πελάτη
Appearance and user-level preferences for the current session.,Εμφάνιση και προτιμήσεις σε επίπεδο χρήστη για την τρέχουσα περίοδο λειτουργίας.
Applied,Εφαρμόστηκε
Apply,Εφαρμογή
Apply Gift Card,Εφαρμογή δωροκάρτας
Apply Offer,Εφαρμογή Προσφοράς
Apply On,Εφαρμογή Ενεργοποίηση
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Εφαρμόστε μόνο το ποσό που θέλετε να εξαργυρώσετε σε αυτό το τιμολόγιο. Το υπόλοιπο παραμένει στην κάρτα.
Apply Redemption,Εφαρμόστε το Redemption
Applying,Εφαρμογή
Apps,Εφαρμογές
Are you sure you want to close? All entered data will be lost.,Είστε βέβαιοι ότι θέλετε να κλείσετε; Όλα τα καταχωρημένα δεδομένα θα χαθούν.
Attributes (Size/Color),Χαρακτηριστικά (Μέγεθος/Χρώμα)
Auto Allocate Payment Amount,Αυτόματη κατανομή ποσού πληρωμής
Auto Reconcile,Αυτόματη συμφωνία
Auto reconciliation completed after payment submit.,Η αυτόματη συμφωνία ολοκληρώθηκε μετά την υποβολή της πληρωμής.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Ολοκληρώθηκε η αυτόματη συμφωνία. Κατανεμήθηκε: {0}{1}. Παραμένει εκκρεμές: {0}{2}.
Available Actions,Διαθέσιμες ενέργειες
Available QTY,Διαθέσιμο ΠΟΣΟΤΗΤΑ
Available:,Διαθέσιμο:
Average Basket,Μέσο Καλάθι
Average Bill,Μέσος Λογαριασμός
Average Ticket,Μέσο εισιτήριο
Avg Bill,Μέσος λογαριασμός
Avg Invoice,Μέσο τιμολόγιο
Avg Invoice Profit,Μέσο κέρδος τιμολογίου
Avg Invoice Value,Μέση αξία τιμολογίου
Avg Purchase Frequency,Μέση Συχνότητα Αγοράς
Awesome,Φοβερό
Awesome Dashboard,Καταπληκτικό ταμπλό
Awesome Dashboard is disabled for the selected POS Profile.,Το Awesome Dashboard είναι απενεργοποιημένο για το επιλεγμένο προφίλ POS.
Awesome Dashboard is unavailable for the selected scope.,Το Awesome Dashboard δεν είναι διαθέσιμο για το επιλεγμένο εύρος.
Awesome Dashboard is visible only to POS supervisors.,Το Awesome Dashboard είναι ορατό μόνο στους επόπτες POS.
Back,Πίσω
Back Office Cash Account,Λογαριασμός μετρητών Back Office
Back Office Cash Account (Optional Override),Λογαριασμός μετρητών Back Office (Προαιρετική παράκαμψη)
Back office cash account is required.,Απαιτείται λογαριασμός μετρητών back office.
Back to {0},Επιστροφή στο {0}
Background processing did not finish in time.,Η επεξεργασία παρασκηνίου δεν ολοκληρώθηκε εγκαίρως.
Background processing failed for Invoice {0}: {1},Η επεξεργασία στο παρασκήνιο απέτυχε για το τιμολόγιο {0}: {1}
Background Submission Failed,Η υποβολή παρασκηνίου απέτυχε
Background sync interval (seconds),Διάστημα συγχρονισμού φόντου (δευτερόλεπτα)
Balance,Ισορροπία
Balance will be updated when connection is restored,Το υπόλοιπο θα ενημερωθεί όταν αποκατασταθεί η σύνδεση
Balances still pending,Τα υπόλοιπα σε εκκρεμότητα
Barcode,Barcode
Barcode / QR Ready,Barcode / QR Ready
Barcode Label Printing,Εκτύπωση ετικετών γραμμωτού κώδικα
Base Paid:,Βασική πληρωμή:
Base Recv:,Βάση Recv:
Base:,Βάση:
Basic Information,Βασικές Πληροφορίες
Batch,παρτίδα
Batch Information,Πληροφορίες παρτίδας
Before any return workflow,Πριν από οποιαδήποτε ροή εργασιών επιστροφής
Before returns,Πριν τις επιστροφές
Best Day,Καλύτερη μέρα
Best Seller,Best Seller
Book expense or deposit from active shift.,Δαπάνη κράτησης ή κατάθεση από ενεργή βάρδια.
Branch / Location-wise Report,Υποκατάστημα / Αναφορά τοποθεσίας
Brand-wise,μάρκας
Breakdown,Ανάλυση
Browse,Περιήγηση
Build Time:,Χρόνος κατασκευής:
Built with Frappe,Κατασκευασμένο με φραπέ
Bundle,Δέσμη
Buying Price,Τιμή αγοράς
Cache cleared successfully,Η προσωρινή μνήμη διαγράφηκε με επιτυχία
Cache Usage,Χρήση προσωρινής μνήμης
cache used,χρησιμοποιημένη κρυφή μνήμη
Calculating...,Υπολογισμός...
Camera Access Required,Απαιτείται πρόσβαση στην κάμερα
Camera access was aborted. Please try again.,Η πρόσβαση στην κάμερα ματαιώθηκε. Δοκιμάστε ξανά.
Camera constraints not supported by your device. Trying fallback settings...,Οι περιορισμοί κάμερας δεν υποστηρίζονται από τη συσκευή σας. Δοκιμάζοντας εναλλακτικές ρυθμίσεις...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Η κάμερα είναι απασχολημένη ή έχει αποκλειστεί από άλλη εφαρμογή/καρτέλα. Κλείστε άλλες εφαρμογές κάμερας και δοκιμάστε ξανά.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Η άδεια κάμερας απορρίφθηκε. Επιτρέψτε την πρόσβαση της κάμερας στις ρυθμίσεις του προγράμματος περιήγησής σας και ανανεώστε τη σελίδα.
Camera scanner is locked until the current error is acknowledged,Ο σαρωτής της κάμερας είναι κλειδωμένος μέχρι να επιβεβαιωθεί το τρέχον σφάλμα
Camera started but the video stream did not load in time. Please try again.,"Η κάμερα ξεκίνησε, αλλά η ροή βίντεο δεν φορτώθηκε έγκαιρα. Δοκιμάστε ξανά."
Cancel cash movement {0}?,Ακύρωση κίνησης μετρητών {0};
Cancel Payment,Ακύρωση πληρωμής
Cancel Sale,Ακύρωση πώλησης
Cancel Sale ?,Ακύρωση πώλησης;
Cancelled,Ακυρώθηκε
Cannot add an item with zero or negative quantity.,Δεν είναι δυνατή η προσθήκη αντικειμένου με μηδενική ή αρνητική ποσότητα.
Cannot clear cache while offline,Δεν είναι δυνατή η εκκαθάριση της προσωρινής μνήμης ενώ είστε εκτός σύνδεσης
Cannot redeem customer credit more than invoice total,Δεν είναι δυνατή η εξαργύρωση της πίστωσης πελατών μεγαλύτερη από το σύνολο του τιμολογίου
Cannot redeem gift cards more than invoice total,Δεν είναι δυνατή η εξαργύρωση δωροκαρτών περισσότερο από το σύνολο του τιμολογίου
Cannot Save Offline Invoice:,Δεν είναι δυνατή η αποθήκευση τιμολογίου εκτός σύνδεσης:
Cannot Save Offline Payment:,Δεν είναι δυνατή η αποθήκευση της πληρωμής εκτός σύνδεσης:
Card,Κάρτα
Card / Online,Κάρτα / Διαδικτυακά
Card health after the last live lookup,Υγεία κάρτας μετά την τελευταία ζωντανή αναζήτηση
Cards,Κάρτες
Cart,Καλάθι
Cash,Μετρητά
Cash back to customers,Επιστροφή μετρητών στους πελάτες
Cash Collections,Εισπράξεις μετρητών
Cash Deposit is disabled for this POS Profile.,Η κατάθεση μετρητών είναι απενεργοποιημένη για αυτό το προφίλ POS.
Cash Drawer Snapshot,Στιγμιότυπο συρταριού μετρητών
Cash In Hand,μετρητά στο χέρι
Cash Movement,Κίνηση μετρητών
Cash movement cancelled,Η κίνηση μετρητών ακυρώθηκε
Cash movement deduction applied,Εφαρμόστηκε έκπτωση κίνησης μετρητών
Cash movement deleted,Η κίνηση μετρητών διαγράφηκε
Cash movement is disabled for this POS Profile.,Η κίνηση μετρητών είναι απενεργοποιημένη για αυτό το προφίλ POS.
Cash Movement is disabled in current POS Profile.,Η κίνηση μετρητών είναι απενεργοποιημένη στο τρέχον προφίλ POS.
Cash movement saved offline,Η κίνηση μετρητών αποθηκεύτηκε εκτός σύνδεσης
Cash movement submitted,Υποβλήθηκε κίνηση μετρητών
Cash Movements,Κινήσεις μετρητών
Cash payment cannot be less than invoice total when partial payment is not allowed,Η πληρωμή με μετρητά δεν μπορεί να είναι μικρότερη από το σύνολο του τιμολογίου όταν δεν επιτρέπεται η μερική πληρωμή
Cash returned after payment,Επιστράφηκαν μετρητά μετά την πληρωμή
Cashier,Ταμίας
Cashier Access,Πρόσβαση ταμείου
Cashier identity and appearance preferences.,Προτιμήσεις ταυτότητας ταμείου και εμφάνισης.
Cashier PIN,PIN ταμείου
Cashier PIN saved successfully.,Το PIN του ταμείου αποθηκεύτηκε με επιτυχία.
Cashiers,Ταμίες
Cashier-wise,Ταμειακά
Categories,Κατηγορίες
Category,Κατηγορία
Category / Brand / Variant Report,Αναφορά κατηγορίας / επωνυμίας / παραλλαγής
Category-wise,Κατηγορικά
Category-wise Margin,Περιθώριο κατά κατηγορία
Certificate,Πιστοποιητικό
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Το πιστοποιητικό λείπει ή δεν είναι αξιόπιστο. Το QZ μπορεί να εμφανίζει παράθυρα διαλόγου επιβεβαίωσης.
Certificate is trusted. Silent QZ printing is active.,Το πιστοποιητικό είναι αξιόπιστο. Η αθόρυβη εκτύπωση QZ είναι ενεργή.
Change,Αλλαγή
Change allocation repaired,Επιδιορθώθηκε η κατανομή αλλαγής
Change Price,Αλλαγή Τιμής
Change Return,Αλλαγή Επιστροφής
Change Returned,Η αλλαγή επέστρεψε
Change terminal cashier,Αλλαγή ταμείου τερματικού
Charge Heads,Κεφαλές φόρτισης
Charges,Χρεώσεις
Charges not found,Οι χρεώσεις δεν βρέθηκαν
Check Balance,Ελέγξτε την ισορροπία
Check balance for any card. Supervisors can issue and top up cards here.,Ελέγξτε το υπόλοιπο για οποιαδήποτε κάρτα. Οι επόπτες μπορούν να εκδίδουν και να συμπληρώνουν κάρτες εδώ.
Check balance only,Ελέγξτε μόνο το υπόλοιπο
Check for new commits,Ελέγξτε για νέες δεσμεύσεις
Check for Updates,Ελέγξτε για Ενημερώσεις
Check live balance before applying redemption,Ελέγξτε το ζωντανό υπόλοιπο πριν από την εφαρμογή εξαργύρωσης
Check live balance before redemption,Ελέγξτε το ζωντανό υπόλοιπο πριν από την εξαργύρωση
Checking...,Έλεγχος...
Cheque/Reference Date,Επιταγή/Ημερομηνία αναφοράς
Cheque/Reference No,Επιταγή/Αριθμός αναφοράς
Choose the cashier currently operating this terminal.,Επιλέξτε το ταμείο που λειτουργεί αυτήν τη στιγμή αυτό το τερματικό.
City,Πόλη
Clear,Καθαρό
Clear All,Εκκαθάριση όλων
Clear all barcode items,Διαγράψτε όλα τα στοιχεία γραμμικού κώδικα
Clear all purchase order items,Διαγράψτε όλα τα στοιχεία παραγγελίας αγοράς
Clear Search,Εκκαθάριση αναζήτησης
Clearing local cache...,Εκκαθάριση τοπικής προσωρινής μνήμης...
Click to refresh,Κάντε κλικ για ανανέωση
Client CPU Lag:,Καθυστέρηση CPU πελάτη:
Client Memory Usage:,Χρήση μνήμης πελάτη:
Client Metrics,Μετρήσεις πελατών
Close about dialog,Κλείσιμο για το παράθυρο διαλόγου
Close cashier switcher,Κλείστε το ταμείο
Close closing shift dialog,Κλείσιμο διαλόγου κλεισίματος shift
Close column selector,Κλείσιμο επιλογέα στήλης
Close Dialog,Κλείσιμο διαλόγου
Close drafts dialog,Κλείσιμο διαλόγου πρόχειρων
Close invoice details dialog,Κλείσιμο διαλόγου λεπτομερειών τιμολογίου
Close invoice management,Κλείσιμο διαχείρισης τιμολογίων
Close offline invoices dialog,Κλείσιμο διαλόγου τιμολογίων εκτός σύνδεσης
Close packing list dialog,Κλείσιμο διαλόγου λίστας συσκευασίας
Close returns dialog,Κλείσιμο διαλόγου επιστροφών
Close sales orders dialog,Κλείσιμο διαλόγου παραγγελιών πωλήσεων
Close Scanner,Κλείστε τον σαρωτή
Close scanner dialog,Κλείσιμο διαλόγου σαρωτή
Close Settings,Κλείστε τις Ρυθμίσεις
Closing Amount,Ποσό κλεισίματος
Closing POS Shift,Κλείσιμο POS Shift
Closing Snapshot Available,Διαθέσιμο στιγμιότυπο κλεισίματος
Code,Κωδικός
Code scanned successfully,Ο κώδικας σαρώθηκε με επιτυχία
COGS,COGS
Collapse item details,Σύμπτυξη λεπτομερειών στοιχείου
Collected,Συλλέγονται
Cols,Cols
Columns,Στήλες
commits,δεσμεύεται
Completed and active sales in this range,Ολοκληρωμένες και ενεργές πωλήσεις σε αυτό το εύρος
Completed returns will appear here.,Οι ολοκληρωμένες επιστροφές θα εμφανιστούν εδώ.
Confirm,Επιβεβαίωση
Confirm Close,Επιβεβαίωση Κλείσιμο
Confirm Mobile Number,Επιβεβαιώστε τον αριθμό κινητού τηλεφώνου
Confirm PIN,Επιβεβαίωση PIN
Connect,Συνδεθείτε
Connect printer and manage certificate,Συνδέστε τον εκτυπωτή και διαχειριστείτε το πιστοποιητικό
Connecting to QZ Tray...,Σύνδεση σε δίσκο QZ...
Connection problem while submitting invoice,Πρόβλημα σύνδεσης κατά την υποβολή τιμολογίου
Connections:,Συνδέσεις:
Connectivity and cached prerequisite status were rechecked.,Ελέγχθηκε ξανά η κατάσταση συνδεσιμότητας και προσωρινής αποθήκευσης.
Continue Editing,Συνέχεια Επεξεργασίας
Could not fetch latest balance from server,Δεν ήταν δυνατή η ανάκτηση του πιο πρόσφατου υπολοίπου από τον διακομιστή
Count,Καταμέτρηση
Country,Χώρα
Coupon,Κουπόνι
Coupons,Κουπόνια
Cover,Εξώφυλλο
CPU Cores:,Πυρήνες CPU:
Create,Δημιουργία
Create and load a new prepaid card,Δημιουργήστε και φορτώστε μια νέα προπληρωμένη κάρτα
Create and preload a new gift card,Δημιουργήστε και προφορτώστε μια νέα δωροκάρτα
Create Bill,Δημιουργία λογαριασμού
Create Customer,Δημιουργία Πελάτη
Create New Item,Δημιουργία νέου αντικειμένου
Create or change your PIN,Δημιουργήστε ή αλλάξτε το PIN σας
Create PIN,Δημιουργία PIN
Create POS Opening Shift,Δημιουργία POS Opening Shift
Create Purchase Order,Δημιουργία Εντολής Αγοράς
Create Return,Δημιουργία Επιστροφής
Create return from invoice,Δημιουργία επιστροφής από τιμολόγιο
Create Supplier,Δημιουργία Προμηθευτή
Credit and Output,Πίστωση και Εκροή
Credit Note,Πιστωτικό Σημείωμα
Credit Outstanding,Εκκρεμή πίστωση
Credit sales remaining to be collected,Πιστωτικές πωλήσεις που απομένουν προς είσπραξη
Critical,Κριτική
Currency,Νόμισμα
Current,Τρέχον
Current Event Loop Lag:,Καθυστέρηση βρόχου τρέχοντος συμβάντος:
Current Month,Τρέχων Μήνας
Current PIN,Τρέχον PIN
Current Profile,Τρέχον προφίλ
Current redeemable value on the gift card,Τρέχουσα εξαργυρώσιμη αξία στη δωροκάρτα
Current User,Τρέχων Χρήστης
Custom,Προσαρμοσμένο
Custom Due Days,Προσαρμοσμένες ημέρες λήξης
Custom items per page,Προσαρμοσμένα στοιχεία ανά σελίδα
Customer,Πελάτης
Customer already selected,Ο πελάτης έχει ήδη επιλεγεί
Customer Balance,Υπόλοιπο πελατών
Customer balance unavailable offline,Το υπόλοιπο πελάτη δεν είναι διαθέσιμο εκτός σύνδεσης
Customer created successfully.,Ο πελάτης δημιουργήθηκε με επιτυχία.
Customer creation failed.,Η δημιουργία πελάτη απέτυχε.
Customer Details,Στοιχεία Πελάτη
Customer display channel is missing,Το κανάλι εμφάνισης πελατών λείπει
Customer display was blocked. Please allow pop-ups for this site.,Η εμφάνιση του πελάτη αποκλείστηκε. Επιτρέψτε τα αναδυόμενα παράθυρα για αυτόν τον ιστότοπο.
Customer group is required,Απαιτείται ομάδα πελατών
Customer is required to add payment,Ο πελάτης πρέπει να προσθέσει πληρωμή
Customer Name is required,Απαιτείται όνομα πελάτη
Customer not selected,Ο πελάτης δεν επιλέχθηκε
Customer Report,Αναφορά πελάτη
Customer saved offline,Ο πελάτης αποθηκεύτηκε εκτός σύνδεσης
Customer Screen,Οθόνη πελάτη
Customer territory is required,Απαιτείται περιοχή πελάτη
Customer updated successfully.,Ο πελάτης ενημερώθηκε με επιτυχία.
Customer-facing tools and printer setup.,Εργαλεία που απευθύνονται στον πελάτη και ρύθμιση εκτυπωτή.
Customers,Πελάτες
Customers not found,Δεν βρέθηκαν πελάτες
Daily cashier actions without scrolling.,Καθημερινές ενέργειες ταμείου χωρίς κύλιση.
Daily Sales,Καθημερινές Πωλήσεις
Daily Sales Summary,Ημερήσια σύνοψη πωλήσεων
Data loaded in form. Review and submit.,Τα δεδομένα φορτώνονται σε φόρμα. Ελέγξτε και υποβάλετε.
Database Health,Υγεία βάσης δεδομένων
Database health affects overall system speed and reliability.,Η υγεία της βάσης δεδομένων επηρεάζει τη συνολική ταχύτητα και αξιοπιστία του συστήματος.
Database Info,Πληροφορίες βάσης δεδομένων
Date,Ημερομηνία
Day ?,Ημέρα;
days,ημέρες
Day-wise (MTD),Ημερήσια (MTD)
Day-wise Movement,Καθημερινή Κίνηση
Dead Stock,Νεκρό απόθεμα
Dead Stock Items,Νεκρά στοκ είδη
Decrease quantity,Μειώστε την ποσότητα
Default,Προεπιλογή
Default:,Προεπιλογή:
Delete,Διαγραφή
Delete cancelled cash movement {0}?,Διαγραφή ακυρωμένης κίνησης μετρητών {0};
Delete Draft,Διαγραφή σχεδίου
Delete draft invoice,Διαγραφή πρόχειρου τιμολογίου
Delete draft invoice {0}?,Διαγραφή πρόχειρου τιμολογίου {0};
Delete Invoice,Διαγραφή τιμολογίου
Delete offline invoice,Διαγραφή τιμολογίου εκτός σύνδεσης
Delivered,Παραδόθηκε
Delivery Charges,Χρεώσεις παράδοσης
Delivery Information,Πληροφορίες Παράδοσης
Delivery Note {0} created,Το δελτίο παράδοσης {0} δημιουργήθηκε
Delivery note created,Δημιουργήθηκε δελτίο αποστολής
Deployed Bundle:,Αναπτυγμένο πακέτο:
Deposit,Κατάθεση
