POS Awesome,POS Mirinda
Fetch Items Directly from Server,Prenu Erojn Rekte de Servilo
Menu,Menuo
Actions,Agoj
Close Shift,Fermu Shift
End current session,Finu la nunan sesion
Print Last Invoice,Presi Lastan Fakturon
Reprint previous transaction,Represu antaŭan transakcion
Sync Offline Invoices,Sinkronigi Senkonektajn Fakturojn
Upload pending transactions,Alŝutu pritraktatajn transakciojn
Go Online,Iru Interrete
Go Offline,Iru eksterrete
Disable offline mode,Malebligu senkonektan reĝimon
Work without server connection,Laboru sen servila konekto
Clear Cache,Malplenigi Kaŝmemoron
Remove local data and refresh,Forigu lokajn datumojn kaj refreŝigu
About,Pri
App information,Informoj pri aplikaĵo
Language,Lingvo
Change interface language,Ŝanĝu interfaclingvon
Light Mode,Luma Reĝimo
Dark Mode,Malhela Reĝimo
Switch theme appearance,Ŝanĝu la aspekton de la temo
Logout,Elsaluti
Sign out of session,Eliru el la kunsido
Select Language,Elektu Lingvon
Choose your preferred language for the POS interface,Elektu vian preferatan lingvon por la POS-interfaco
Language will be changed to,Lingvo estos ŝanĝita al
Cancel,Nuligi
Change Language,Ŝanĝi Lingvon
Close,Fermu
Cannot change language - same language selected,Ne povas ŝanĝi lingvon - sama lingvo elektita
Language changed successfully! Reloading...,Lingvo ŝanĝiĝis sukcese! Reŝargante...
Failed to change language,Malsukcesis ŝanĝi lingvon
Unknown error,Nekonata eraro
- Total Unallocated,- Totala Neasignita
* Required,* Bezonata
{0} (Qty: {1}),{0} (Kvanto: {1})
{0} actions,{0} agoj
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} havas nur {1} en stoko. Vi petis {2}. Alĝustigu kvanton aŭ reprovizi.
{0} offline invoice{1} pending,{0} eksterreta fakturo{1} pritraktata
{0} offline invoice{1} saved as draft,{0} eksterreta fakturo{1} konservita kiel skizo
{0} offline invoice{1} synced,{0} eksterreta fakturo{1} sinkronigita
{0}: {1} {2},{0}: {1} {2}
{0}d ago,antaŭ {0}d
{0}h ago,antaŭ {0}h
{0}m ago,antaŭ {0}m
A POS supervisor is required for this action.,Por ĉi tiu ago necesas POS-kontrolisto.
Access,Aliro
Account,Konto
Account is overdrawn,Konto estas trostreĉita
Acknowledge the error to resume scanning,Agnosku la eraron por rekomenci skanadon
Acknowledge the error to resume scanning.,Agnosku la eraron por rekomenci skanadon.
Across,Transe
Action,Ago
Active sale,Aktiva vendo
add,aldoni
Add items from the selector to start building this sale.,Aldonu erojn de la elektilo por komenci konstrui ĉi tiun vendon.
Add more value to an existing gift card,Aldonu pli da valoro al ekzistanta donackarto
Add New Address,Aldonu Novan Adreson
Add new customer,Aldonu novan klienton
Add on New Line,Aldonu sur Nova Linio
Add Payment,Aldonu Pagon
Add payment to invoice,Aldonu pagon al fakturo
Add/Edit Coupon Conditions,Aldoni/Redakti Kuponajn Kondiĉojn
Additional Discount,Plia Rabato
Additional Discount %,Plia Rabato%
Address Line 1,Adreslinio 1
Address not found,Adreso ne trovita
Adjust the quantity or enable negative stock to continue.,Alĝustigu la kvanton aŭ ebligu la negativan stokon daŭri.
Adjustment,Alĝustigo
After returns,Post revenoj
Against,Kontraŭ
Against Name,Kontraŭ Nomo
Age Bracket,Aĝa Krampo
All,Ĉiuj
All Caught Up!,Ĉiuj Kaptitaj!
All invoices are synchronized,Ĉiuj fakturoj estas sinkronigitaj
All pending invoices are up to date,Ĉiuj pritraktataj fakturoj estas ĝisdatigitaj
All Profiles,Ĉiuj Profiloj
All Synchronized,Ĉiuj Sinkronigitaj
All visible invoices are fully settled.,Ĉiuj videblaj fakturoj estas plene pagitaj.
All Warehouses,Ĉiuj Stokejoj
Allowed UOM is {0},Permesita UOM estas {0}
Always fetch items from server (ignore local cache),Ĉiam alportu erojn de servilo (ignoru lokan kaŝmemoron)
Amount,Kvanto
Amount already received,Sumo jam ricevita
Amount exceeds profile cash movement max amount.,Kvanto superas profilon kontantmovado maksimuma kvanto.
Amount must be greater than zero.,Kvanto devas esti pli granda ol nulo.
Amount received from customer,Kvanto ricevita de kliento
Appearance and user-level preferences for the current session.,Aspekto kaj uzantnivelaj preferoj por la nuna sesio.
Applied,Aplikita
Apply,Apliki
Apply Gift Card,Apliki Donacan Karton
Apply Offer,Apliki Oferto
Apply On,Apliki On
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,"Apliku nur la kvanton, kiun vi volas elaĉeti sur ĉi tiu fakturo. La restanta saldo restas sur la karto."
Apply Redemption,Apliki Redemption
Applying,Aplikante
Apps,Aplikoj
Are you sure you want to close? All entered data will be lost.,"Ĉu vi certas, ke vi volas fermi? Ĉiuj enigitaj datumoj estos perditaj."
Attributes (Size/Color),Atributoj (Grandeco/Koloro)
Auto Allocate Payment Amount,Aŭtomate Asigni Pagan Kvanton
Auto Reconcile,Aŭtomata Repaciĝo
Auto reconciliation completed after payment submit.,Aŭtomata repaciĝo finiĝis post pago sendado.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Aŭtomata repaciĝo finiĝis. Asignita: {0}{1}. Restantaj elstaraj: {0}{2}.
Available Actions,Disponeblaj Agoj
Available QTY,Disponebla Kvanto
Available:,Disponebla:
Average Basket,Meza Korbo
Average Bill,Averaĝa Bill
Average Ticket,Meza Bileto
Avg Bill,Meze Bill
Avg Invoice,Meza Fakturo
Avg Invoice Profit,Meza Faktura Profito
Avg Invoice Value,Mezvaloro de fakturo
Avg Purchase Frequency,Meza Aĉeta Ofteco
Awesome,Mirinda
Awesome Dashboard,Mirinda Instrumentpanelo
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard estas malŝaltita por la elektita POS-Profilo.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard ne disponeblas por la elektita amplekso.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard estas videbla nur por POS-kontrolistoj.
Back,Reen
Back Office Cash Account,Malantaŭa Oficeja Konto
Back Office Cash Account (Optional Override),Konto de Malantaŭa Oficejo (Laŭvola Anstataŭigo)
Back office cash account is required.,Malantaŭa oficejo kontanta konto estas postulata.
Back to {0},Reen al {0}
Background processing did not finish in time.,Fona prilaborado ne finiĝis ĝustatempe.
Background processing failed for Invoice {0}: {1},Fona prilaborado malsukcesis por Fakturo {0}: {1}
Background Submission Failed,Fona Transdono Malsukcesis
Background sync interval (seconds),Fona sinkroniga intervalo (sekundoj)
Balance,Ekvilibro
Balance will be updated when connection is restored,Ekvilibro estos ĝisdatigita kiam konekto estas restarigita
Balances still pending,Bilancoj ankoraŭ pritraktataj
Barcode,Strekokodo
Barcode / QR Ready,Strekokodo / QR Preta
Barcode Label Printing,Strekkoda Etikedo Preso
Base Paid:,Bazo Pagita:
Base Recv:,Baza Revuo:
Base:,Bazo:
Basic Information,Bazaj Informoj
Batch,Aro
Batch Information,Lotaj Informoj
Before any return workflow,Antaŭ ajna revena laborfluo
Before returns,Antaŭ revenoj
Best Day,Plej bona Tago
Best Seller,Plej vendisto
Book expense or deposit from active shift.,Libro elspezo aŭ deponejo de aktiva deĵoro.
Branch / Location-wise Report,Branĉo / Lok-saĝa Raporto
Brand-wise,Mark-saĝe
Breakdown,Panaso
Browse,Foliumi
Build Time:,Konstrua Tempo:
Built with Frappe,Konstruite kun Frappe
Bundle,Pakaĵo
Buying Price,Aĉeta Prezo
Cache cleared successfully,Kaŝmemoro malpleniĝis sukcese
Cache Usage,Cache Uzado
cache used,kaŝmemoro uzata
Calculating...,Kalkulante...
Camera Access Required,Fotila Aliro Bezonata
Camera access was aborted. Please try again.,Fotila aliro estis ĉesigita. Bonvolu provi denove.
Camera constraints not supported by your device. Trying fallback settings...,Fotilaj limoj ne subtenataj de via aparato. Provante rezervajn agordojn...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Fotilo estas okupata aŭ blokita de alia programo/langeto. Fermu aliajn fotilajn apojn kaj provu denove.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Fotila permeso rifuzita. Bonvolu permesi fotilan aliron en via retumila agordo kaj refreŝigi la paĝon.
Camera scanner is locked until the current error is acknowledged,Fotila skanilo estas ŝlosita ĝis la nuna eraro estas agnoskita
Camera started but the video stream did not load in time. Please try again.,Fotilo komenciĝis sed la videofluo ne ŝargis ĝustatempe. Bonvolu provi denove.
Cancel cash movement {0}?,Ĉu nuligi kontantan movon {0}?
Cancel Payment,Nuligi Pagon
Cancel Sale,Nuligi Vendon
Cancel Sale ?,Ĉu Nuligi Vendon?
Cancelled,Nuligite
Cannot add an item with zero or negative quantity.,Ne povas aldoni eron kun nula aŭ negativa kvanto.
Cannot clear cache while offline,Ne povas forigi kaŝmemoron dum eksterrete
Cannot redeem customer credit more than invoice total,Ne povas elaĉeti klientkrediton pli ol la totala fakturo
Cannot redeem gift cards more than invoice total,Ne povas elaĉeti donackartojn pli ol la totala fakturo
Cannot Save Offline Invoice:,Ne Povas Konservi Senkonektan Fakturon:
Cannot Save Offline Payment:,Ne Povas Konservi Senkonektan Pagon:
Card,Karto
Card / Online,Karto / Enreta
Card health after the last live lookup,Karto-sano post la lasta viva serĉo
Cards,Kartoj
Cart,Ĉaro
Cash,Kontantmono
Cash back to customers,Rekompenco al klientoj
Cash Collections,Monaj Kolektoj
Cash Deposit is disabled for this POS Profile.,Mona Deponejo estas malŝaltita por ĉi tiu POS-Profilo.
Cash Drawer Snapshot,Mona Kesto Momentfoto
Cash In Hand,Kontantmono En Mano
Cash Movement,Mona Movado
Cash movement cancelled,Mona movado nuligita
Cash movement deduction applied,Kontantmovaddepreno aplikata
Cash movement deleted,Mona movado forigita
Cash movement is disabled for this POS Profile.,Mona movado estas malŝaltita por ĉi tiu POS-Profilo.
Cash Movement is disabled in current POS Profile.,Mona Movado estas malŝaltita en nuna POS-Profilo.
Cash movement saved offline,Mona movado konservita eksterrete
Cash movement submitted,Mona movado prezentita
Cash Movements,Monaj Movadoj
Cash payment cannot be less than invoice total when partial payment is not allowed,Kontantpago ne povas esti malpli ol la totala fakturo kiam parta pago ne estas permesita
Cash returned after payment,Kontantmono resendita post pago
Cashier,Kasisto
Cashier Access,Aliro al Kasisto
Cashier identity and appearance preferences.,Kasisto-identeco kaj aspekto-preferoj.
Cashier PIN,Kasisto PIN
Cashier PIN saved successfully.,Kasisto PIN sukcese konservita.
Cashiers,Kasistoj
Cashier-wise,Kasisto-saĝa
Categories,Kategorioj
Category,Kategorio
Category / Brand / Variant Report,Raporto pri Kategorio/Marko/Varianto
Category-wise,Kategorie
Category-wise Margin,Kategori-saĝa Marĝo
Certificate,Atestilo
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Atestilo mankas aŭ ne estas fidinda. QZ povas montri konfirmajn dialogojn.
Certificate is trusted. Silent QZ printing is active.,Atestilo estas fidinda. Silenta QZ-presado estas aktiva.
Change,Ŝanĝi
Change allocation repaired,Ŝanĝo de atribuo riparita
Change Price,Ŝanĝi Prezon
Change Return,Ŝanĝi Revenon
Change Returned,Ŝanĝo Revenis
Change terminal cashier,Ŝanĝi terminalan kasiston
Charge Heads,Ŝargaj Kapoj
Charges,Ŝargoj
Charges not found,Ŝargoj ne trovitaj
Check Balance,Kontrolu Bilancon
Check balance for any card. Supervisors can issue and top up cards here.,Kontrolu ekvilibron por iu ajn karto. Kontrolistoj povas eldoni kaj replenigi kartojn ĉi tie.
Check balance only,Kontrolu nur ekvilibron
Check for new commits,Kontrolu novajn komitojn
Check for Updates,Kontrolu por Ĝisdatigoj
Check live balance before applying redemption,Kontrolu vivan ekvilibron antaŭ ol apliki elaĉeton
Check live balance before redemption,Kontrolu vivan ekvilibron antaŭ elaĉeto
Checking...,Kontrolante...
Cheque/Reference Date,Ĉeko/Referenca Dato
Cheque/Reference No,Ĉeko/Referenco No
Choose the cashier currently operating this terminal.,Elektu la kasiston nuntempe funkciantan ĉi tiun terminalon.
City,Urbo
Clear,Klara
Clear All,Forigi Ĉion
Clear all barcode items,Forigi ĉiujn strekkodojn
Clear all purchase order items,Forigi ĉiujn aĉetmendojn
Clear Search,Klara Serĉo
Clearing local cache...,Forigante lokan kaŝmemoron...
Click to refresh,Klaku por refreŝigi
Client CPU Lag:,Kliento CPU Malfruo:
Client Memory Usage:,Klienta Memoruzo:
Client Metrics,Kliento-Metrikoj
Close about dialog,Fermu pri dialogo
Close cashier switcher,Fermu kasiston ŝaltilon
Close closing shift dialog,Fermu fermantan ŝanĝ-dialogon
Close column selector,Fermu kolumnelektilon
Close Dialog,Fermu Dialogon
Close drafts dialog,Fermu dialogon pri skizoj
Close invoice details dialog,Fermu dialogon pri detaloj pri fakturo
Close invoice management,Fermu administradon de fakturoj
Close offline invoices dialog,Fermu eksterretajn fakturojn dialogon
Close packing list dialog,Fermu paklistan dialogon
Close returns dialog,Fermi revenas dialogon
Close sales orders dialog,Fermu vendajn mendojn dialogon
Close Scanner,Fermu Skanilon
Close scanner dialog,Fermu dialogon pri skanilo
Close Settings,Fermu Agordojn
Closing Amount,Ferma Kvanto
Closing POS Shift,Fermante POS Shift
Closing Snapshot Available,Ferma Momentfoto Havebla
Code,Kodo
Code scanned successfully,Kodo skanita sukcese
COGS,COGS
Collapse item details,Kolapu eron-detalojn
Collected,Kolektita
Cols,Kols
Columns,Kolumnoj
commits,faras
Completed and active sales in this range,Kompletitaj kaj aktivaj vendoj en ĉi tiu gamo
Completed returns will appear here.,Finitaj revenoj aperos ĉi tie.
Confirm,Konfirmu
Confirm Close,Konfirmu Fermi
Confirm Mobile Number,Konfirmu Poŝtelefonan Numeron
Confirm PIN,Konfirmu PIN
Connect,Konekti
Connect printer and manage certificate,Konektu presilon kaj administru atestilon
Connecting to QZ Tray...,Konektante al QZ-Pleto...
Connection problem while submitting invoice,Konektoproblemo dum sendado de fakturo
Connections:,Konektoj:
Connectivity and cached prerequisite status were rechecked.,Konektebleco kaj kaŝmemorigita antaŭkondiĉa statuso estis rekontrolitaj.
Continue Editing,Daŭrigu Redakton
Could not fetch latest balance from server,Ne eblis preni la plej novan bilancon de servilo
Count,grafo
Country,Lando
Coupon,Kupono
Coupons,Kuponoj
Cover,Kovrilo
CPU Cores:,CPU Kernoj:
Create,Krei
Create and load a new prepaid card,Kreu kaj ŝarĝu novan antaŭpagitan karton
Create and preload a new gift card,Kreu kaj antaŭŝarĝu novan donackarton
Create Bill,Kreu Bill
Create Customer,Krei Klienton
Create New Item,Krei Novan Eron
Create or change your PIN,Kreu aŭ ŝanĝu vian PIN
Create PIN,Krei PIN
Create POS Opening Shift,Kreu POS-Malferman Ŝanĝon
Create Purchase Order,Krei Aĉeton
Create Return,Kreu Revenon
Create return from invoice,Krei revenon de fakturo
Create Supplier,Krei Provizanton
Credit and Output,Kredito kaj Eligo
Credit Note,Kredita Noto
Credit Outstanding,Kredito Elstara
Credit sales remaining to be collected,Kreditvendoj restas por esti kolektitaj
Critical,Kritika
Currency,Monero
Current,Nuna
Current Event Loop Lag:,Nuna Eventa Buklo-Malfruo:
Current Month,Nuna Monato
Current PIN,Nuna PIN
Current Profile,Nuna Profilo
Current redeemable value on the gift card,Nuna elaĉetebla valoro sur la donackarto
Current User,Nuna Uzanto
Custom,Kutimo
Custom Due Days,Propraj Tagoj
Custom items per page,Propraj eroj po paĝo
Customer,Kliento
Customer already selected,Kliento jam elektita
Customer Balance,Kliento Bilanco
Customer balance unavailable offline,Klienta saldo nedisponebla eksterrete
Customer created successfully.,Kliento kreita sukcese.
Customer creation failed.,Kreado de klientoj malsukcesis.
Customer Details,Klienta Detaloj
Customer display channel is missing,Mankas la montra kanalo de klientoj
Customer display was blocked. Please allow pop-ups for this site.,Klienta ekrano estis blokita. Bonvolu permesi ŝprucfenestrojn por ĉi tiu retejo.
Customer group is required,Klienta grupo estas postulata
Customer is required to add payment,Kliento devas aldoni pagon
Customer Name is required,Klienta Nomo estas postulata
Customer not selected,Kliento ne elektita
Customer Report,Klienta Raporto
Customer saved offline,Kliento konservita eksterrete
Customer Screen,Klienta Ekrano
Customer territory is required,Klienta teritorio estas postulata
Customer updated successfully.,Kliento ĝisdatiĝis sukcese.
Customer-facing tools and printer setup.,Kliento-frunta iloj kaj presilo aranĝo.
Customers,Klientoj
Customers not found,Klientoj ne trovitaj
Daily cashier actions without scrolling.,Ĉiutagaj kasistaj agoj sen movo.
Daily Sales,Ĉiutaga Vendo
Daily Sales Summary,Ĉiutaga Venda Resumo
Data loaded in form. Review and submit.,Datumoj ŝarĝitaj en formo. Revizu kaj sendu.
Database Health,Datumbazo Sano
Database health affects overall system speed and reliability.,Datumbaza sano influas ĝeneralan sisteman rapidecon kaj fidindecon.
Database Info,Informoj pri datumbazo
Date,Dato
Day ?,Tago?
days,tagoj
Day-wise (MTD),Taga (MTD)
Day-wise Movement,Taga Movado
Dead Stock,Morta Stoko
Dead Stock Items,Dead Stock Eroj
Decrease quantity,Malpliigu kvanton
Default,Defaŭlte
Default:,Defaŭlta:
Delete,Forigi
Delete cancelled cash movement {0}?,Ĉu forigi nuligitan kontantmovon {0}?
Delete Draft,Forigi Malneton
Delete draft invoice,Forigi malneton de fakturo
Delete draft invoice {0}?,Ĉu forigi malneton de fakturo {0}?
Delete Invoice,Forigi Fakturon
Delete offline invoice,Forigu eksterrete fakturon
Delivered,Liverita
Delivery Charges,Liverkostoj
Delivery Information,Liveraj Informoj
Delivery Note {0} created,Livernoto {0} kreita
Delivery note created,Livera bileto kreita
Deployed Bundle:,Deplojita pakaĵo:
Deposit,Deponejo
Description,Priskribo
Detailed Supplier Breakdown,Detala Provizo-Rompiĝo
Detecting formats:,Detektado de formatoj:
Device Memory:,Aparato Memoro:
Difference,Diferenco
Difference (In Company Currency),Diferenco (En Firmaa Valuto)
Disable offline mode first to recheck live connectivity.,Malebligu senkonektan reĝimon unue por rekontroli vivan konekteblecon.
Disconnect,Malkonekti
discount,rabato
Discount %,Rabato %
Discount / Void / Return Report,Rabato / Malpleno / Revena Raporto
Discount Amount,Rabata Kvanto
Discount limited by POS Profile,Rabato limigita de POS-Profilo
Discounted Invoices,Rabatitaj Fakturoj
Discounts,Rabatoj
Dismiss,Forĵeti
Download Certificate,Elŝutu Atestilon
Draft,Malneto
Draft invoice deleted,Malneto de fakturo forigita
Draft source,Malneto de fonto
Drafts,Malnetoj
Due {0},Paga {0}
Due Date,Ligdato
Duplicate,Duobligi
Edit customer,Redaktu klienton
Edit discount amount,Redaktu rabatsumon
Edit discount percentage,Redakti rabatan procenton
Edit Gift Application,Redakti Donacan Aplikon
Edit item name,Redaktu eron-nomon
Edit quantity,Redakti kvanton
Edit rate,Redakti imposton
Edit unit of measure,Redaktu mezurunuon
Edited,Redaktita
Employee,Dungito
Enable background sync,Ebligu fonan sinkronigon
Enable Customer Display in POS Profile first.,Unue ebligu Klienta Montron en POS-Profilo.
Enter a PIN.,Enigu PIN.
Enter a valid grams value,Enigu validan gramvaloron
Enter new price list rate,Enigu novan prezon de prezo
Enter Quantity,Enigu Kvanton
Enter the cashier PIN to continue.,Enigu la kasiston PIN por daŭrigi.
Enter the current PIN first.,Enigu la nunan PIN unue.
"Enter the current PIN, then choose a new one.","Enigu la nunan PIN, tiam elektu novan."
Enter valid grams for scale barcode,Enigu validajn gramojn por skala strekkodo
Entries,Enskriboj
Error accessing camera:,Eraro alirante fotilon:
Error calculating prices,Eraro kalkuli prezojn
Error fetching customer balance,Eraro alportante la saldon de la kliento
Error in change calculations!,Eraro en ŝanĝkalkuloj!
Error Loading Data,Eraro Ŝarĝante Datumojn
Error loading invoice details,Eraro dum ŝarĝo de fakturaj detaloj
Error processing invoice,Eraro pri procesado de fakturo
Error processing payment,Eraro pri procesorado de pago
Error searching invoices,Eraro serĉante fakturojn
Error submitting invoice:,Eraro dum sendado de fakturo:
Error submitting invoice: {0},Eraro dum sendado de fakturo: {0}
Error submitting invoice: No response from server,Eraro dum sendado de fakturo: Neniu respondo de servilo
Error updating currency,Eraro dum ĝisdatigo de valuto
Error updating item details,Eraro dum ĝisdatigo de detaloj de la objekto
Est. Purchase,Est. Aĉeto
Est. Value,Est. Valoro
Event-loop lag measures how busy your browser is. Lower is better.,Event-buklo-malfruo mezuras kiom okupata estas via retumilo. Pli malalta estas pli bona.
Every,Ĉiu
Exchange Rate,Interŝanĝa kurzo
Expand item details,Pligrandigi eron-detalojn
Expected Amount (In Company Currency),Atendata Kvanto (En Firmaa Valuto)
Expected Cash,Atendita Kontantmono
Expected cash on hand grouped by currency,Atendita kontanta mono grupigita laŭ valuto
Expected vs Actual,Atendita vs Aktuala
Expense,Elspezo
Expense Account (Optional Override),Elspezkonto (Laŭvola Anstataŭigo)
Expense account is required.,Elspezkonto estas postulata.
Expenses and deposits posted during this shift,Elspezoj kaj deponejoj afiŝitaj dum ĉi tiu deĵoro
Expired,Eksvalidiĝis
Failed to auto reconcile payments.,Malsukcesis aŭtomate akordigi pagojn.
Failed to cancel cash movement,Malsukcesis nuligi kontantmovadon
Failed to clear cache,Malsukcesis forigi kaŝmemoron
Failed to create item,Malsukcesis krei eron
Failed to create supplier,Malsukcesis krei provizanton
Failed to delete cash movement,Malsukcesis forigi kontantmovon
Failed to generate scale barcode. Using item barcode only.,Malsukcesis generi skalan strekkodon. Uzante la strekkodon nur.
Failed to load cash movement context.,Malsukcesis ŝarĝi kontantmovadan kuntekston.
Failed to load dashboard data.,Malsukcesis ŝargi datumojn de panelo.
Failed to reload invoice from server,Malsukcesis reŝargi fakturon de servilo
Failed to submit cash movement,Malsukcesis sendi monmovon
Failed to sync offline cash movements,Malsukcesis sinkronigi eksterretajn monmovojn
Fast cashier actions for active shifts.,Rapidaj kasistaj agoj por aktivaj deĵoroj.
Fast Moving Items,Rapide Movantaj Eroj
Fees,Kotizoj
Fetch the latest offline prerequisite updates,Akiru la plej novajn eksterretajn antaŭkondiĉajn ĝisdatigojn
Find a sales order quickly and load it into the current sale.,Trovu vendomendon rapide kaj ŝarĝu ĝin en la nunan vendon.
Fixing payment amounts for return invoice...,Fiksante pagokvantojn por resenda fakturo...
Flash Off,Ekbrilo Malŝaltita
Flash On,Ekbrilo Enŝaltita
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Por 'Produkto-Pasko' aĵoj, Stokejo, Seria N-ro kaj Loko-Nro estos konsiderataj el la tabelo 'Pakaĵlisto'. Se Storehouse kaj Batch No estas samaj por ĉiuj pakaĵoj por iu ajn 'Produkta Pako', tiuj valoroj povas esti enigitaj en la ĉefa Item-tabelo; valoroj estos kopiitaj al 'Pakuma Listo' tabelo."
Free,Senpaga
Free Qty,Senpaga Kvanto
Frequency,Ofteco
from,de
From Date,De Dato
Fulfillment Details,Plenumaj Detaloj
Full Name,Plena Nomo
Gain,Gajno
Generate a fresh prepaid card and start it with an opening balance.,Generu freŝan antaŭpagitan karton kaj komencu ĝin per komenca saldo.
