POS Awesome,POS Mirinda
Processing Payment,Pretigo de Pago
Processing payment entries for Invoice {0},Prilaboranta pagonskribojn por Fakturo {0}
Profile,Profilo
Profiles,Profiloj
Profit,Profito
Profit: Invoice Item Estimate,Profito: Fakturo Item Taksado
Profit: Stock Ledger (COGS),Profito: Stock Ledger (COGS)
Profitability Report,Raporto pri Profiteco
Prorated return discount,Prorata rabato de reveno
Purchase Amount,Aĉeta Kvanto
Purchase Invoices,Aĉeto-Fakturoj
Purchase Order created,Aĉeto Mendo kreita
Qty,Kvanto
Qualified,Kvalifikita
Quantity,Kvanto
Quantity exceeds available stock,Kvanto superas disponeblan stokon
Quick Actions,Rapidaj Agoj
Quotation {0} is Submitted,Citaĵo {0} estas Sendita
Quotation submitted,Citaĵo sendita
QZ Tray connected.,QZ-Pleto konektita.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ-Pleto estas mane malkonektita. Premu Konekti por ebligi ĝin denove.
QZ Tray is not connected.,QZ-Pleto ne estas konektita.
QZ Tray Setup,Agordo de QZ-Pleto
Rate,Takso
Rate adjusted to maximum allowed discount,Tarifo ĝustigita al maksimuma permesita rabato
Ready,Preta
Ready to resume,Preta por rekomenci
Ready!,Preta!
Real-time POS insights for retail operations.,Realtempaj POS-komprenoj por podetalaj operacioj.
Rebuild Offline Data,Rekonstruu Senkonektajn Datumojn
Receive,Ricevu
Receive now,Ricevu nun
Received,Ricevita
Received:,Ricevite:
Recent Movement Entries,Lastatempaj Movadaj Enskriboj
Recent updates about your invoices,Lastatempaj ĝisdatigoj pri viaj fakturoj
Recently Active Customers,Lastatempe Aktivaj Klientoj
Rechecking connection,Rekontrolante konekton
Reconcile payment methods and close shift,Akordigu pagmetodojn kaj fermu deĵoron
Reconciling Payments,Repacigante Pagojn
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Rekonektu kaj malfermu ĉi tiun paĝon unufoje dum enrete, tiam eksterretaj refreŝigoj povos restarigi ĝin."
Reconnect online to refresh cached offline data from the server.,Rekonekti interrete por refreŝigi kaŝmemoritajn eksterretajn datumojn de la servilo.
Recreate local offline prerequisites from scratch,Rekreu lokajn eksterretajn antaŭkondiĉojn de nulo
Recv:,Recv:
Redeem,Elaĉeti
Redeem / Scan,Elaĉeti / Skani
Redeem Amount,Elaĉetu Sumon
Redeem Mode,Elaĉeti Reĝimon
Redeemed Amount,Elaĉetita Kvanto
Redeemed credit cannot be greater than its total.,Elaĉetita kredito ne povas esti pli granda ol ĝia totalo.
Redemption and Totals,Elaĉeto kaj Totaloj
Reference,Referenco
Refresh,Refreŝigi
Refresh Exchange Rate,Refreŝigi Interŝanĝan Kurzon
Refresh Offline Data,Refreŝigu Senkonektajn Datumojn
Refresh Printers,Refreŝigi Presilojn
Refund,Repago
Release Notes,Eldonaj Notoj
Reload,Reŝargi
Reload customers,Reŝargi klientojn
Reload Items,Reŝargi Erojn
Reload Now,Reŝargi Nun
Reload to apply the latest changes. Your current session will be refreshed.,Reŝargi por apliki la lastajn ŝanĝojn. Via nuna sesio estos refreŝigita.
Reload Workflow,Reŝargi Laborfluon
Remarks,Rimarkoj
Remarks are required.,Rimarkoj estas postulataj.
Remove,Forigi
Remove barcode item,Forigi strekkodan objekton
Remove cached data and reload the POS app,Forigu konservitajn datumojn kaj reŝargu la POS-apon
Remove item,Forigi objekton
Remove Offer,Forigi Oferton
Reorder / Purchase Suggestions,Reordigi / Aĉetaj Sugestoj
Repair Candidate,Ripara Kandidato
Repair Change Allocation,Ripara Ŝanĝo-Atribuo
Repair requires an online connection,Riparo postulas interretan konekton
Repaired,Riparita
Repairing change allocation,Riparante ŝanĝan atribuon
Repeat Customers,Ripetu Klientojn
Repeat Rate,Ripeta indico
Request,Peto
Request ID: {0},Peto ID: {0}
Request Payment,Petu Pagon
Requested route: {0},Petita itinero: {0}
Required columns cannot be hidden,Bezonataj kolumnoj ne povas esti kaŝitaj
Reset,Restarigi
Reset item name,Restarigi objektonomon
Reset to Default,Restarigi al Defaŭlta
Resource Health,Rimedo Sano
Restricted,Restriktita
Restricted operational controls for supervisors only.,Restriktitaj funkciaj kontroloj nur por kontrolistoj.
Retry,Reprovi
Retry route,Reprovi vojon
Return,Revenu
Return Amount,Revena Kvanto
Return Count,Revenkalkulo
Return items must have negative quantities,Revenaj eroj devas havi negativajn kvantojn
Return total must be negative,Revena totalo devas esti negativa
Return Valid Until,Reveno Valida Ĝis
Return window passed,Revenfenestro pasis
Return without Invoice,Reveno sen Fakturo
Returns,Revenoj
Returns / Voids / Discounts,Revenoj / Malplenigoj / Rabatoj
Returns by Currency,Revenoj per Monero
Revenue,Enspezo
Review shift totals before submitting the closing entry,Revizu ŝanĝajn totalojn antaŭ sendi la ferman enskribon
Round Off,Rondigi
Rows,Vicoj
Rows:,Vicoj:
Rule,Regulo
Sale,Vendo
Sales,Vendoj
Sales Order {0} is Submitted,Vendo Mendo {0} estas Sendita
Sales Person and Print,Vendisto kaj Presaĵo
Sales Person not found,Vendisto ne trovita
Sales processed,Vendoj procesitaj
Sales Return,Venda Reveno
Sales Trend Report,Raporto pri Venda Tendenco
Save,Konservu
Save & Clear,Konservi & Malplenigi
Save as POS Profile Default,Konservu kiel POS Profilo Defaŭlto
Save Settings,Konservu Agordojn
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Konservu la elektitan presilon kiel la defaŭltan POS-Profilo por ke ĝi montru aŭtomate en ĉi tiu agordo.
Saved as draft because: {0},Konservite kiel skizo ĉar: {0}
Saving...,Konservante...
Scale barcode detected. Quantity here is the number of labels to print.,Skala strekkodo detektita. Kvanto ĉi tie estas la nombro da etikedoj por presi.
Scale barcode settings are not configured. Using item barcode only.,Skalaj strekkodaj agordoj ne estas agorditaj. Uzante la strekkodon nur.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Skalŝablona strekkodo mankas por ĉi tiu ero/UOM. Uzante la strekkodon nur.
Scan an existing card and top it up without leaving the payment flow.,Skanu ekzistantan karton kaj plenigu ĝin sen forlasi la pagfluon.
Scan Error,Scan Eraro
Scan or enter a gift card code to check balance or redeem.,Skanu aŭ enigu donackartan kodon por kontroli saldon aŭ elaĉeti.
Scan or paste the card code below.,Skanu aŭ algluu la karton-kodon sube.
Scan QR Code/Barcode,Skanu QR-kodon/Strekkodon
Scan with camera,Skanu per fotilo
Scan-First Flow,Skanado-Unua Fluo
Scanned Code:,Skanita Kodo:
Scanning for: {0},Skanante por: {0}
Scanning items,Skanante erojn
Scan-Ready,Skanado-Preta
Scope,Amplekso
Scope: All Profiles,Amplekso: Ĉiuj Profiloj
Scope: Current Profile,Amplekso: Nuna Profilo
Scope: Specific Profile,Amplekso: Specifa Profilo
Search,Serĉu
Search Account,Serĉu Konton
Search an invoice and continue the return flow without extra steps.,Serĉu fakturon kaj daŭrigu la revenan fluon sen kromaj paŝoj.
Search customer,Serĉu klienton
Search invoices or customers,Serĉu fakturojn aŭ klientojn
Search item,Serĉu objekton
Search item / code,Serĉu objekton/kodon
Search items or barcode,Serĉu erojn aŭ strekkodon
Search Mpesa Payments,Serĉu Mpesa Pagojn
Search return invoices or customers,Serĉu revenfakturojn aŭ klientojn
Search supplier,Serĉu provizanton
Search unpaid invoices or customers,Serĉu nepagitajn fakturojn aŭ klientojn
Secure context (HTTPS or localhost) is required for camera access.,Sekura kunteksto (HTTPS aŭ loka gastiganto) estas postulata por fotila aliro.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Sekura kunteksto (HTTPS) necesa por fotila aliro. Bonvolu uzi HTTPS por aliri la fotilon.
Select,Elektu
Select a cashier first.,Elektu kasiston unue.
Select a customer,Elektu klienton
Select a customer to use coupon,Elektu klienton por uzi kuponon
Select a printer to use QZ silent printing.,Elektu presilon por uzi QZ silentan presadon.
Select Batch,Elektu Batch
Select Columns to Display,Elektu Kolumnojn por Montri
Select items to sell,Elektu erojn por vendi
Select Payment,Elektu Pagon
Select Payment Account,Elektu Pagan Konton
Select printer,Elektu presilon
Select Return Invoice,Elektu Revenan Fakturon
Select S.O,Elektu S.O
Select Sales Orders,Elektu Vendajn Mendojn
Select the cashier who is taking over this terminal.,"Elektu la kasiston, kiu transprenas ĉi tiun terminalon."
Selected,Elektita
Selected movement type is not allowed by POS Profile.,Elektita movspeco ne estas permesita de POS-Profilo.
Selected Payments,Elektitaj Pagoj
Sensitive actions kept away from quick taps.,Sentemaj agoj konservitaj for de rapidaj frapetoj.
Serial,Seria
Serial Numbers,Seriaj Nombroj
Server CPU Usage:,Uzo de CPU de Servilo:
Server Health,Servila Sano
Server Memory Usage:,Servila Memoruzo:
Server Metrics,Servila Metriko
Server Uptime:,Funkcia Tempo de Servilo:
Service Charges,Servaj Pagoj
Session,Sesio
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Agordu ĉiun kasiston PIN en la Uzanto-formularo kaj konservu terminalajn membrojn asignitajn en POS-Profilo-Uzanto.
Settings,Agordoj
Settings in this section update the POS workspace without changing the current route.,Agordoj en ĉi tiu sekcio ĝisdatigas la POS-laborspacon sen ŝanĝi la nunan itineron.
Setup complete!,Agordo finita!
Share,Kunhavigi
Shared terminal,Komuna terminalo
Shift Closed Snapshot,Shift Fermita Momentfoto
Shift Overview,Shift Superrigardo
Show,Montru
Show cart on customer-facing screen,Montru ĉaron sur ekrano kliento
Show last invoice rate,Montru lastan fakturan tarifon
Show rate info,Montri tarifajn informojn
Show Repair Candidates,Montru Riparajn Kandidatojn
Show search tools,Montru serĉajn ilojn
Show the active cart on a customer-facing screen,Montru la aktivan ĉaron sur ekrano al kliento
Showing {0}-{1} of {2},Montrante {0}-{1} el {2}
Showing 0 of 0,Montrante 0 el 0
Shows the distribution of invoices per currency,Montras la distribuadon de fakturoj per valuto
Sign out of the current POS session,Eliru el la nuna POS-sesio
Size:,Grandeco:
Skipped Payments,Saltitaj Pagoj
Skipping items without barcodes,Preterpasi erojn sen strekkodoj
Slow Moving,Malrapida Movado
Slow Moving Items,Malrapidaj Eroj
Slow Queries:,Malrapidaj Demandoj:
Sold,Vendita
Source,Fonto
Source Cash Account (Optional Override),Fonta Konto-Konto (Laŭvola Anstataŭigo)
Source Ex. Rate:,Fonto Ekz. Prezo:
Source Rate:,Fonta indico:
Specific Profile,Specifa Profilo
Split Invoices,Dividi Fakturojn
Staff / Cashier Performance Report,Raporto pri Agado de Personaro/Kasisto
Status,Statuso
Stock,Stoko
Stock Information,Akcia Informo
Stock is lower than requested,Stoko estas pli malalta ol petita
Stock is lower than requested:\n{0},Stoko estas pli malalta ol la petita:\n{0}
Stock Movement Report,Raporto pri Akcia Movado
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Akcia ĝisdatigo: {0} havas {1} havebla. Aldono de {2} alportos la stokon sub nul.
Submit,Submeti
Submit & Print,Sendu & Presi
Submit Deposit,Sendu Deponejon
Submit Expense,Submeti Elspezon
Submitted,Submetita
Submitted Cash Movements,Submetitaj Monaj Movadoj
Submitted entries,Senditaj enskriboj
Successfully scanned:,Sukcese skanita:
Suggested,Sugestita
Suggested Qty,Sugestita Kvanto
Supervisor Access,Kontrolisto Aliro
Supervisor permissions unlock issuance and reloads,Kontrolaj permesoj malŝlosas emision kaj reŝargiĝojn
Supervisor Tools,Kontrolisto Iloj
Supplier,Provizanto
Supplier and dates are required.,Provizanto kaj datoj estas postulataj.
Supplier Invoices,Fakturoj de Provizantoj
Supplier is required.,Provizanto estas postulata.
Supplier name is required,Nomo de provizanto estas postulata
Supplier Payments,Pagoj de Provizantoj
Supplier Purchase Summary,Provizanto Aĉeta Resumo
Suppliers,Provizantoj
Suppliers not found,Provizantoj ne trovitaj
Switch Camera,Ŝanĝi Fotilon
Switch Cashier,Ŝaltilo Kasisto
Switch the POS appearance theme,Ŝanĝu la temon de POS-aspekto
Switched to:,Ŝanĝite al:
Sync All Invoices,Sinkronigi Ĉiuj Fakturoj
Sync Offline Cash Movements ({0}),Sinkronigi Senretajn Monajn Movojn ({0})
Sync Offline Sales,Sinkronigi Senkonektajn Vendojn
Synced {0} offline cash movement(s).,Sinkronigitaj {0} eksterrete kontantmovado(j).
Syncing items in background,Sinkronigante erojn en fono
System / Diagnostics,Sistemo / Diagnozo
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Sistemaj agoj estas malaltfrekvencaj prizorgaj kontroloj kiel ekzemple aplikaĵaj informoj, subtenaj diagnozoj kaj sesiaj kontroloj."
System Information,Sistema Informoj
System Status,Sistema Statuso
Tables:,Tabeloj:
Tap the button below to redeem a gift card during checkout.,Alklaku la suban butonon por elaĉeti donackarton dum la pago.
Target,Celo
Target Ex. Rate:,Celo Ekz. Prezo:
Target Rate:,Celo-Indico:
Tax,Imposto
Tax / Charges Report,Raporto pri impostoj/kozoj
Tax Heads,Impostaj Kapoj
Taxable Amount,Impostebla Sumo
Tendered,Tenita
Terminal,Terminalo
Terminal & Devices,Terminalo & Aparatoj
Terminal locked,Terminalo ŝlosita
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Finaj iloj influas ĉi tiun kasstacion, ekranojn al kliento kaj estontajn presilon/aparatajn kontrolojn."
Territory not found,Teritorio ne trovita
The amount paid is not complete,La pagita kvanto ne estas kompleta
The app stores data locally for offline use. This is called cache.,La programo konservas datumojn loke por eksterreta uzo. Ĉi tio nomiĝas kaŝmemoro.
The invoice stayed in draft. Please review and submit it manually.,La fakturo restis en skizo. Bonvolu revizii kaj sendi ĝin permane.
The maximum discount allowed is,La maksimuma rabato permesita estas
The quantity for {0} has been adjusted to the maximum available stock.,La kvanto por {0} estis alĝustigita al la maksimuma disponebla stoko.
The system could not retrieve the item details. Please try again.,La sistemo ne povis reakiri la eron-detalojn. Bonvolu provi denove.
These invoices will be synced when connection is restored,Ĉi tiuj fakturoj estos sinkronigitaj kiam la konekto estas restarigita
This action now opens inside the settings workspace.,Ĉi tiu ago nun malfermiĝas en la agorda laborspaco.
This coupon already used !,Ĉi tiu kupono jam uzata!
This invoice does not need change-allocation repair,Ĉi tiu fakturo ne bezonas riparon de ŝanĝo-atribuo
This invoice is already repaired,Ĉi tiu fakturo jam estas riparita
This is an item template. Please choose a variant.,Ĉi tio estas ero-ŝablono. Bonvolu elekti varianton.
this item,ĉi tiu objekto
This POS page could not be opened offline because its code was not cached on this terminal yet.,Ĉi tiu POS-paĝo ne eblis malfermiĝi eksterrete ĉar ĝia kodo ankoraŭ ne estis kaŝmemorigita en ĉi tiu terminalo.
This Serial Number {0} has already been added!,Ĉi tiu Seria Numero {0} jam estis aldonita!
Threshold,Sojlo
Time,Tempo
Tip: Clear cache regularly to free up space and keep the app fast.,Konsilo: Malplenigu kaŝmemoron regule por liberigi spacon kaj konservi la apon rapide.
Tip: Close unused tabs or apps to reduce lag.,Konsilo: Fermu neuzatajn langetojn aŭ apojn por redukti malfruon.
Tip: Monitor slow queries and table size for optimal performance.,Konsilo: Monitoru malrapidajn demandojn kaj tabelgrandecon por optimuma rendimento.
To Be Paid,Esti Pagita
To Date,Ĝis nun
Today,Hodiaŭ
Today Profit,Hodiaŭ Profito
Today Sales,Hodiaŭ Vendoj
Toggle navigation drawer,Baskuligi navigadan tirkeston
Toggle Theme,Baskuligi Temon
Tools,Iloj
Tools for customer-facing screens and terminal-specific actions.,Iloj por ekranoj alfrontantaj al kliento kaj specifaj agoj de terminaloj.
Top Brand,Pinta Marko
Top Category,Supra Kategorio
Top Charge Head,Supra Ŝarga Kapo
Top Customers,Supraj Klientoj
Top Discount,Supra Rabato
Top Items by Location,Ĉefaj Eroj laŭ Loko
Top Margin,Supra Marĝeno
Top Pending,Supre Pritraktata
Top Profit Item,Pinta Profita Ero
Top Return Items,Supraj Revenaj Eroj
Top Sales by Cashier,Plej bonaj Vendoj de Kasisto
Top Supplier,Plej alta Provizanto
Top Suppliers by Spend,Plej bonaj Provizantoj laŭ Elspezo
Top Tables,Supraj Tabeloj
Top Tax Head,Supra Imposto-Kapo
Top Up Amount,Supren Sumo
Top Up Card,Supren Karto
Top Up Mode,Reĝimo Supren
Top Variant,Supra Variaĵo
Total,Entute
Total Amount,Tuta Kvanto
Total Change,Tuta Ŝanĝo
Total Charges,Totalaj Ŝargoj
Total In,Sumo En
Total Invoices,Totalaj Fakturoj
Total Items,Sumaj Eroj
Total Mpesa,Tuta Mpesa
Total Out,Tuta Ekstere
Total Payments,Sumaj Pagoj
Total Purchase,Tuta Aĉeto
Total Selected :,Sumo Elektitaj:
Total Size,Tuta Grandeco
Total Stock Qty,Totala Stokkvanto
Total:,Totalo:
Totals by Invoice Currency,Sumoj laŭ Fakturo-Monero
Track how much cash was handed back to customers,Spuri kiom da mono estis redonita al klientoj
"Track recent sales, collect unpaid balances, and reopen saved work","Spuri lastatempajn vendojn, kolektu nepagitajn saldojn kaj remalfermu konservitan laboron"
Transaction ID,ID de transakcio
Transfer,Translokigo
Try a different search term or clear the cart search.,Provu alian serĉterminon aŭ malplenigu la ĉaran serĉon.
Try adjusting your search or filters,Provu ĝustigi vian serĉon aŭ filtrilojn
Try another source or refresh the list.,Provu alian fonton aŭ refreŝigu la liston.
Try changing the date range or status filter.,Provu ŝanĝi la datintervalon aŭ statusan filtrilon.
Type,Tajpu
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Ne eblas aliri fotilon eĉ kun bazaj agordoj. Bonvolu kontroli viajn fotilajn permesojn kaj aparatkongruon.
Unable to add offer item {0}. Please refresh and try again.,Ne eblas aldoni oferton {0}. Bonvolu refreŝigi kaj provi denove.
Unable to add offer item. Please refresh and try again.,Ne eblas aldoni oferton. Bonvolu refreŝigi kaj provi denove.
Unable to add scanned item.,Ne eblas aldoni skanitan objekton.
Unable to create purchase order,Ne eblas krei aĉetmendon
Unable to delete draft invoice,Ne eblas forigi malneton de fakturo
Unable to fetch documents,Ne eblas preni dokumentojn
Unable to fetch draft orders,Ne eblas preni skizajn mendojn
Unable to fetch invoice history,Ne eblas akiri fakturhistorion
Unable to fetch M-Pesa payments,Ne eblas akiri pagojn de M-Pesa
Unable to fetch sales orders,Ne eblas akiri vendomendojn
Unable to fetch unpaid invoices,Ne eblas akiri nepagitajn fakturojn
Unable to generate scale barcode,Ne eblas generi skalan strekkodon
Unable to issue gift card.,Ne eblas elsendi donackarton.
Unable to load cashier PIN status.,Ne eblas ŝargi la kasiston PIN-statuson.
Unable to load document,Ne eblas ŝargi la dokumenton
Unable to load draft invoice,Ne eblas ŝargi malneton de fakturo
Unable to load gift card balance.,Ne eblas ŝargi saldo de donackarto.
Unable to load invoice details,Ne eblas ŝargi fakturajn detalojn
Unable to load parked order,Ne eblas ŝargi parkumitan mendon
Unable to load the selected sales order,Ne eblas ŝargi la elektitan vendomendon
Unable to prepare document,Ne eblas prepari dokumenton
Unable to prepare return invoice,Ne eblas prepari resendofakturon
Unable to print draft invoice,Ne eblas presi malneton de fakturo
Unable to print submitted invoice,Ne eblas presi senditan fakturon
Unable to process document action,Ne eblas prilabori dokumentan agon
Unable to repair change allocation,Ne eblas ripari ŝanĝan atribuon
Unable to save cashier PIN.,Ne eblas konservi kasiston PIN.
Unable to save the rate to the backend price list,Ne eblas konservi la tarifon al la postaĵa preza listo
Unable to submit invoice,Ne eblas sendi fakturon
Unable to submit the selected payment,Ne eblas sendi la elektitan pagon
Unable to top up gift card.,Ne eblas replenigi donackarton.
Unable to verify cashier PIN.,Ne eblas kontroli la kasiston PIN.
Unallocated,Neasignita
Unallocated:,Neasignita:
Unavailable,Nedisponebla
Unknown,Nekonata
Unknown Item,Nekonata Ero
Unknown Warehouse,Nekonata Stokejo
Unlock POS,Malŝlosu POS
Unpaid,Nepagita
"Unselected payments stay unallocated first, then auto reconcile after submit.","Neelektitaj pagoj unue restas neasignitaj, poste aŭtomate akordigas post sendo."
UOM,UOM
UOM not found,UOM ne trovita
Update available,Ĝisdatigo disponebla
Update Customer,Ĝisdatigu Klienton
Update PIN,Ĝisdatigu PIN
Update Price List Rate,Ĝisdatigu Prezan Liston
Updated,Ĝisdatigita
Updates and app info that stay out of the cashier flow.,"Ĝisdatigoj kaj aplikaĵaj informoj, kiuj restas ekster la kasista fluo."
Updates automatically,Ĝisdatigoj aŭtomate
Usage,Uzado
Usage Stats,Statistiko de uzado
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Uzu 4 ĝis 8 ciferan PIN por kasistoŝanĝo kaj terminala malŝloso.
Use Cashier,Uzu Kasiston
Use date range to search for older invoices,Uzu datintervalon por serĉi pli malnovajn fakturojn
"Use one field for manual code entry, barcode scans, or QR scans.","Uzu unu kampon por mana koda enigo, strekkoda skanado aŭ QR-skanado."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Uzu unu laborfluon por ekvilibrokontroloj, nova elsendo kaj replenigo sen eliri POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Uzu ĉi tiun sekcion kiam konservitaj antaŭkondiĉaj datumoj bezonas refreŝigon, rekonstruon aŭ diagnozan revizion."
Use Western numerals,Uzu okcidentajn ciferojn
Used:,Uzita:
Using basic camera settings due to device limitations,Uzante bazajn fotilajn agordojn pro aparato-limigoj
Using cached customer balance,Uzante kaŝmemorigitan klientan bilancon
Valid until,Valida ĝis
Variance %,Varianco %
Variants,Variantoj
Variant-wise,Variant-saĝa
Verify closing amounts for each payment method,Kontrolu finajn sumojn por ĉiu pagmetodo
View all,Rigardu ĉiujn
View app information and current build details,Rigardu aplikaĵinformojn kaj aktualajn konstruajn detalojn
View Data Diagnostics,Vidi Datumajn Diagnozojn
View Details,Rigardu Detalojn
View invoice details,Rigardu fakturajn detalojn
View notifications,Rigardu sciigojn
View offline invoices,Rigardu eksterretajn fakturojn
View restricted POS insights,Rigardu limigitajn informojn pri POS
Void Amount,Void Kvanto
Void Count,Void Grafo
Voids,Malplenoj
Waiting for cart items,Atendante ĉarajn aĵojn
Waiting for payment...,Atendante pagon...
Walk-in Customer,Eniranta Kliento
Warehouse,Stokejo
Warning: High cache usage may affect performance.,Averto: Alta uzado de kaŝmemoro povas influi rendimenton.
Warning: High lag may indicate heavy processing or browser slowness.,Averto: Alta malfruo povas indiki pezan prilaboradon aŭ retumilon malrapidecon.
Week ?,Semajno?
Week-wise,Semajne
Weight (g),Pezo (g)
Weight (grams),Pezo (gramoj)
We'll let you know if an invoice fails to submit,Ni sciigos vin se fakturo malsukcesas sendi
Workflow,Laborfluo
Write off amount cannot exceed the POS profile maximum of {0},Forprena kvanto ne povas superi la POS-profilan maksimumon de {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Forigita kvanto superas la permesitan limon ({0}). Bonvolu aldoni pagon por la restanta kvanto.
Yes,Jes
"Yes, Cancel sale","Jes, Nuligi vendon"
"Yes, Close","Jes, Fermu"
You are not allowed to print draft invoices,Vi ne rajtas presi malnetajn fakturojn
You are offline. Add Payment will work again when the connection is restored.,Vi estas eksterrete. Aldoni Pagon denove funkcios kiam la konekto estos restarigita.
You have no notifications right now,Vi ne havas sciigojn nun
Your Cart,Via Ĉaro
