POS Awesome,POS عالی
Generate and install the certificate to allow fully silent printing without trust prompts.,گواهی را ایجاد و نصب کنید تا امکان چاپ کاملا بی صدا و بدون درخواست اعتماد فراهم شود.
Generate Certificate,تولید گواهی
Generated scale barcode: {0},بارکد مقیاس تولید شده: {0}
Get Payments,پرداخت ها را دریافت کنید
Gift Card,کارت هدیه
Gift card amount must be greater than zero.,مبلغ کارت هدیه باید بیشتر از صفر باشد.
Gift Card Code,کد کارت هدیه
Gift card code is required for redemption,کد کارت هدیه برای بازخرید الزامی است
Gift card code is required.,کد کارت هدیه الزامی است.
Gift card issued successfully.,کارت هدیه با موفقیت صادر شد.
Gift card loaded successfully.,کارت هدیه با موفقیت بارگیری شد.
Gift Card Management,مدیریت کارت هدیه
Gift card payment,پرداخت کارت هدیه
Gift card redemption requires an online connection,بازخرید کارت هدیه نیاز به اتصال آنلاین دارد
Gift card topped up successfully.,کارت هدیه با موفقیت تکمیل شد.
Gift Cards,کارت های هدیه
Go to Frappe Desk,به میز فراپه بروید
Grand Total,کل بزرگ
Gross Margin,حاشیه ناخالص
Gross Profit,سود ناخالص
Gross Sales,فروش ناخالص
Group not found,گروه پیدا نشد
"Grouped controls for terminal, UI, and session settings.",کنترل‌های گروه‌بندی شده برای تنظیمات ترمینال، رابط کاربری و تنظیمات جلسه.
Grouped totals for each payment method and currency,مجموع گروه بندی شده برای هر روش پرداخت و ارز
Hide,پنهان کردن
Hide Gift Card,پنهان کردن کارت هدیه
Hide Non Essential Fields,فیلدهای غیر ضروری را مخفی کنید
Hide quantity decimals,مخفی کردن اعشار کمیت
Hide search tools,پنهان کردن ابزارهای جستجو
Hide zero rated items,موارد دارای رتبه صفر را پنهان کنید
High,بالا
History,تاریخچه
Hourly (Today),ساعتی (امروز)
How this section works,نحوه کار این بخش
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.",اگر داده‌های قدیمی باقی می‌مانند، تنظیمات > آفلاین و همگام‌سازی را باز کنید و دوباره در حالت آنلاین، Rebuild Offline Data را اجرا کنید.
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.",اگر هشدار ادامه داشت، تنظیمات > آفلاین و همگام‌سازی را باز کنید، سپس Refresh Offline Data یا Rebuild Offline Data را اجرا کنید.
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,گواهی را به سینی QZ وارد کنید و سینی QZ را در هر دستگاه POS راه اندازی مجدد کنید.
In,در
In stock: {0},موجود در انبار: {0}
Include Batch / Serial,شامل دسته / سریال
Include Price,شامل قیمت
Increase quantity,مقدار را افزایش دهید
IndexedDB,IndexedDB
Initial Amount,مبلغ اولیه
Initialize your shift with opening balances,شیفت خود را با ترازهای اولیه آغاز کنید
Initializing application...,در حال راه اندازی برنامه...
"Inspect cache, sync, and prerequisite status",حافظه پنهان، همگام سازی و وضعیت پیش نیاز را بررسی کنید
Installed Applications,برنامه های کاربردی نصب شده
Insufficient stock:\n{0},موجودی کافی نیست:\n{0}
Invalid rate,نرخ نامعتبر است
Inventory Status Report,گزارش وضعیت موجودی
Invoice,فاکتور
Invoice {0} is Submitted,فاکتور {0} ارسال شد
Invoice {0} processed successfully,فاکتور {0} با موفقیت پردازش شد
Invoice {0} submission failed,فاکتور {0} ارسال نشد
Invoice {0} was already submitted,فاکتور {0} قبلا ارسال شده بود
Invoice Adjustments,تنظیمات فاکتور
Invoice Change,تغییر فاکتور
Invoice Details,جزئیات فاکتور
Invoice is still in draft after background submission.,فاکتور پس از ارسال پیش‌زمینه هنوز در پیش‌نویس است.
Invoice Items,اقلام فاکتور
Invoice Management,مدیریت فاکتور
Invoice Mgmt,فاکتور Mgmt
Invoice saved offline,فاکتور به صورت آفلاین ذخیره شد
Invoice submission failed,فاکتور ارسال نشد
Invoice Submitted,فاکتور ارسال شد
"Invoice value settled by loyalty points, not cash collection",ارزش فاکتور با امتیازات وفاداری تسویه می شود، نه جمع آوری نقدی
Invoices,فاکتورها
Invoices already past due date,فاکتورها از قبل تاریخ سررسید گذشته است
Invoices saved as POS Invoices,فاکتورها به عنوان فاکتورهای POS ذخیره می شوند
Invoices still carrying balances,فاکتورها همچنان دارای موجودی هستند
Issue Mode,حالت مشکل
Issue New Card,صدور کارت جدید
Issue Workflow,موضوع گردش کار
"Issue, top up, and check",صادر کنید، شارژ کنید و بررسی کنید
Item,مورد
Item / Product Sales Report,گزارش فروش اقلام / محصول
Item {0} added to invoice,مورد {0} به فاکتور اضافه شد
Item '{0}' has no barcode,"مورد ""{0}"" بدون بارکد است"
Item Code,کد مورد
Item created successfully,مورد با موفقیت ایجاد شد
Item is out of stock,موجودی کالا تمام شده است
Item Name,نام مورد
Item not found,مورد پیدا نشد
Item order updated,سفارش کالا به روز شد
Item Selector Settings,تنظیمات انتخابگر مورد
Items,موارد
Items added in POS will appear here automatically.,موارد اضافه شده در POS به طور خودکار در اینجا ظاهر می شوند.
Items added to invoice,موارد اضافه شده به فاکتور
Items per page,موارد در هر صفحه
Items Sold,اقلام فروخته شده
Items/Invoice,اقلام / فاکتور
Item-wise Profitability,سودآوری از نظر آیتم
Journal Entry,ورودی مجله
json,json
Just now,همین الان
Keep offline prerequisites healthy and recover stale data safely.,پیش نیازهای آفلاین را سالم نگه دارید و اطلاعات قدیمی را با خیال راحت بازیابی کنید.
Labels,برچسب ها
"Language, theme, terminal tools, and session controls.",زبان، موضوع، ابزار ترمینال و کنترل‌های جلسه.
Last,آخرین
Last 14 Days (Paid vs Pending),14 روز گذشته (پرداخت در مقابل معلق)
Last 14 Days Activity,فعالیت 14 روز گذشته
Last 14 Days Gross Profit,سود ناخالص 14 روز گذشته
Last 14 Days Purchases,خریدهای 14 روز گذشته
Last 14 Days Tax/Charges,مالیات / هزینه های 14 روز گذشته
Last sync:,آخرین همگام سازی:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},آخرین همگام سازی: {0} | خوب: {1} | ناموفق: {2} | رد شد: {3}
Latest entries for current shift,آخرین ورودی ها برای شیفت فعلی
Lead Time,زمان سرب
Limited,محدود
lines,خطوط
List,فهرست کنید
Live Snapshot,عکس لحظه ای زنده
Load a POS profile and cashier first.,ابتدا یک نمایه POS و صندوقدار بارگیری کنید.
Load More Invoices,فاکتورهای بیشتر را بارگیری کنید
Load previously saved invoices,فاکتورهای ذخیره شده قبلی را بارگیری کنید
Load Sale,فروش بار
Load Sales Invoice,بارگذاری فاکتور فروش
Loading app data...,در حال بارگیری داده های برنامه...
Loading customer database...,در حال بارگیری پایگاه داده مشتریان...
Loading customers...,در حال بارگیری مشتریان...
Loading database stats...,در حال بارگیری آمار پایگاه داده...
Loading details...,در حال بارگیری جزئیات...
Loading invoice history...,در حال بارگیری سابقه فاکتور...
Loading items...,در حال بارگیری موارد...
Loading product catalog...,در حال بارگیری کاتالوگ محصولات...
Loading return invoices...,در حال بارگیری فاکتورهای برگشتی...
Loading server CPU/memory usage...,در حال بارگیری استفاده از CPU/حافظه سرور...
Loading suppliers...,بارگیری تامین کنندگان...
Loading unpaid invoices...,در حال بارگیری فاکتورهای پرداخت نشده...
Loading view...,در حال بارگیری نمای...
Loading...,در حال بارگیری...
Local storage is unavailable. Switching to online-only mode.,فضای ذخیره‌سازی محلی در دسترس نیست. تغییر به حالت فقط آنلاین
localStorage,محل ذخیره سازی
Location Performance,عملکرد مکان
Locations,مکان ها
Lock Screen,صفحه قفل
Lookup Workflow,جستجوی گردش کار
Loss,از دست دادن
Low,کم
Low Stock,موجودی کم
Low Stock Alerts,هشدارهای سهام کم
Low Stock Items,اقلام کم موجودی
Low Stock Threshold,آستانه سهام پایین
Low Stock Total,کل سهام کم
Lowest Margin,کمترین حاشیه
Low-frequency maintenance and system details.,تعمیر و نگهداری فرکانس پایین و جزئیات سیستم.
Loyalty Redeemed,وفاداری بازخرید شد
Loyalty Redemption,رستگاری وفاداری
Make New Payment,پرداخت جدید انجام دهید
Manage all,همه را مدیریت کنید
Manage and synchronize your offline transactions,معاملات آفلاین خود را مدیریت و همگام کنید
Manage Cashier PIN,پین صندوقدار را مدیریت کنید
"Manage offline tools, terminal controls, and maintenance from one workspace.",ابزارهای آفلاین، کنترل های ترمینال و نگهداری را از یک فضای کاری مدیریت کنید.
manual,کتابچه راهنمای کاربر
"Manual codes, barcode scans, and QR scans work in the same field",کدهای دستی، اسکن بارکد و اسکن QR در یک زمینه کار می کنند
Manual offline mode is enabled,حالت آفلاین دستی فعال است
Margin,حاشیه
Maximum available quantity is {0}. Quantity adjusted to match stock.,حداکثر مقدار موجود {0} است. مقدار برای مطابقت با سهام تنظیم شده است.
Maximum discount amount for this offer item is {0}.,حداکثر مقدار تخفیف برای این مورد پیشنهادی {0} است.
Maximum discount percentage for this offer item is {0}%.,حداکثر درصد تخفیف برای این مورد پیشنهادی {0}٪ است.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,حداکثر مقدار پیشنهاد {0} است. مقدار به حد مجاز تنظیم شده است.
Medium,متوسط
Method-wise Collections,مجموعه های روش عاقلانه
Minimum allowed rate for this offer item is {0}.,حداقل نرخ مجاز برای این مورد پیشنهادی {0} است.
Minimum Qty,حداقل تعداد
Mobile No,شماره موبایل
Mode,حالت
Mode of Payment,نحوه پرداخت
Month,ماه
Month ?,ماه؟
Monthly Profit,سود ماهانه
Monthly Sales,فروش ماهانه
Monthly Sales Summary,خلاصه فروش ماهانه
Month-wise,ماهانه
Most Active Cashiers,فعال ترین صندوقداران
Movement Type,نوع حرکت
Movements,حرکات
Multi Currency,چند ارز
N/A,N/A
Name,نام
Negative Stock,سهام منفی
Negative Stock Items,اقلام سهام منفی
Negative values not allowed,مقادیر منفی مجاز نیست
Net,خالص
Net Qty,تعداد خالص
Net Sales,فروش خالص
Net Value,ارزش خالص
Never,هرگز
New changes are ready to load,تغییرات جدید آماده بارگیری هستند
New Item,آیتم جدید
New Offer Available,پیشنهاد جدید موجود است
New PIN,پین جدید
New rate,نرخ جدید
Next unit of measure,واحد اندازه گیری بعدی
No attribute data found.,هیچ داده مشخصه ای یافت نشد.
No Barcode,بدون بارکد
No barcode found for UOM '{0}',"بارکدی برای UOM ""{0}"" یافت نشد"
No branch/location data found.,هیچ داده شعبه/مکانی یافت نشد.
No brand data found.,هیچ داده برندی پیدا نشد.
No cached gift card balance is available offline.,موجودی کارت هدیه ذخیره شده به صورت آفلاین در دسترس نیست.
No camera found on this device. Please ensure your device has a working camera.,دوربینی در این دستگاه یافت نشد. لطفاً مطمئن شوید که دستگاه شما دارای یک دوربین در حال کار است.
No capability warnings recorded yet.,هنوز هیچ هشداری درباره قابلیت ثبت نشده است.
No cash expected for this shift.,برای این تغییر وجه نقدی پیش بینی نمی شود.
No cash mode configured,هیچ حالت نقدی پیکربندی نشده است
No cash movement type is allowed for this POS Profile.,هیچ نوع جابجایی وجه نقد برای این نمایه POS مجاز نیست.
No cashier PIN is set yet. Create one now.,هنوز پین صندوقدار تنظیم نشده است. اکنون یکی ایجاد کنید.
No cashier profiles are available for this POS profile yet.,هنوز هیچ نمایه صندوقدار برای این نمایه POS موجود نیست.
No cashier-wise discount/void/return activity.,هیچ فعالیتی برای تخفیف/باطل/بازگشت نقدی وجود ندارد.
No category data found.,هیچ داده دسته ای یافت نشد.
No category profitability data found.,هیچ داده سودآوری دسته یافت نشد.
No change returned recorded for this shift.,هیچ تغییری برای این تغییر ثبت نشده است.
No change-allocation invoices match the current filters.,هیچ فاکتور تخصیص تغییری با فیلترهای فعلی مطابقت ندارد.
No charge head breakdown found.,هیچ خرابی سر شارژ پیدا نشد.
No Company Selected,هیچ شرکتی انتخاب نشده است
No customer sales data found.,هیچ داده فروش مشتری یافت نشد.
No day-wise discount/void/return trend.,بدون تخفیف روزانه / باطل / روند بازگشت.
No day-wise payment data found.,هیچ داده پرداخت روزانه یافت نشد.
No day-wise profitability trend found.,روند سودآوری روزانه یافت نشد.
No day-wise purchase data found.,هیچ داده خرید روزانه یافت نشد.
No day-wise sales trend found.,روند فروش روزانه یافت نشد.
No day-wise tax/charges trend found.,روند روزانه مالیات/هزینه یافت نشد.
No dead stock items.,بدون اقلام موجودی مرده
No due date,بدون تاریخ سررسید
No exact repair match found for this invoice,هیچ منطبق تعمیر دقیقی برای این فاکتور یافت نشد
No hourly sales trend found for today.,هیچ روند فروش ساعتی برای امروز یافت نشد.
No invoice activity found.,هیچ فعالیت فاکتوری یافت نشد.
No invoices found,فاکتوری پیدا نشد
No invoices found. Try different search criteria.,فاکتوری پیدا نشد معیارهای جستجوی مختلف را امتحان کنید.
No invoices recorded for this shift.,هیچ فاکتوری برای این شیفت ثبت نشده است.
No item profitability data found.,هیچ داده سودآوری موردی یافت نشد.
No item sales data found for this period.,هیچ داده فروش موردی برای این دوره یافت نشد.
No items found,هیچ موردی یافت نشد
No items in cart,کالایی در سبد خرید وجود ندارد
No items with barcodes to print,هیچ موردی با بارکد برای چاپ وجود ندارد
No location-wise top item data found.,هیچ داده اقلام برتر از نظر مکان یافت نشد.
No low stock alerts right now.,در حال حاضر هیچ هشداری برای سهام کم وجود ندارد.
No low stock items.,بدون اقلام کم موجودی
No matching items in cart,هیچ مورد منطبقی در سبد خرید وجود ندارد
No month-wise sales trend found.,روند فروش ماهانه یافت نشد.
No negative stock items.,بدون اقلام منفی سهام
No notifications yet,هنوز اطلاعیه ای وجود ندارد
No offline cash movement synced.,هیچ حرکت نقدی آفلاین همگام سازی نشده است.
No offline invoices pending synchronization,هیچ فاکتور آفلاینی در انتظار همگام سازی نیست
No offline sync issues recorded yet.,هنوز مشکلی برای همگام سازی آفلاین ثبت نشده است.
No out-of-stock items.,بدون اقلام خارج از انبار
No outstanding credit invoices for this shift.,هیچ صورت حساب اعتباری معوقی برای این تغییر وجود ندارد.
No payment collection data found.,هیچ داده جمع آوری پرداخت یافت نشد.
No payment rows available on this invoice.,هیچ ردیف پرداختی در این فاکتور موجود نیست.
No payments registered for this shift.,هیچ پرداختی برای این تغییر ثبت نشده است.
No pending balances in this period.,موجودی معلق در این دوره وجود ندارد.
No pending offline invoices,فاکتورهای آفلاین معلق وجود ندارد
No Print Formats Found,هیچ فرمت چاپی یافت نشد
No profiles found for selected scope. Falling back to current profile failed.,هیچ نمایه ای برای محدوده انتخاب شده یافت نشد. بازگشت به نمایه فعلی انجام نشد.
No recent customer activity found.,هیچ فعالیت اخیر مشتری پیدا نشد.
No recent stock entries found.,هیچ ورودی اخیر سهام پیدا نشد.
No records found,هیچ رکوردی یافت نشد
No reorder suggestions right now.,در حال حاضر پیشنهادی برای سفارش مجدد وجود ندارد.
No repeat customers in this period.,هیچ مشتری تکراری در این دوره وجود ندارد.
No response from server,بدون پاسخ از سرور
No return invoices found,هیچ فاکتور برگشتی یافت نشد
No return item trend found.,هیچ روند بازگشتی یافت نشد.
No returnable items found for this invoice,هیچ مورد قابل برگشتی برای این فاکتور یافت نشد
No returns were processed in this shift.,هیچ بازگشتی در این شیفت پردازش نشد.
No risk activity found.,هیچ فعالیت ریسکی یافت نشد.
No sales activity found for this period.,هیچ فعالیت فروش برای این دوره یافت نشد.
No slow moving items.,هیچ آیتم آهسته حرکت می کند.
No staff sales activity found.,هیچ فعالیت فروش کارکنان یافت نشد.
No stock movement for this period.,حرکت سهام برای این دوره وجود ندارد.
No submitted cash movements in this shift.,هیچ حرکت نقدی ارسالی در این شیفت وجود ندارد.
No supplier purchases found in this month.,هیچ خریدی از تامین کننده در این ماه یافت نشد.
No suppliers found for this period.,هیچ تامین کننده ای برای این دوره پیدا نشد.
No sync trigger has run yet in this session.,هیچ ماشه همگام‌سازی هنوز در این جلسه اجرا نشده است.
No tax head breakdown found.,هیچ تفکیک سر مالیات یافت نشد.
No top items found for this location.,هیچ مورد برتر برای این مکان یافت نشد.
No unpaid invoices,بدون فاکتور پرداخت نشده
No variant data found.,هیچ گونه داده ای یافت نشد.
No week-wise sales trend found.,هیچ روند فروش هفته ای یافت نشد.
No.,خیر
Nobile Number,شماره نوبیل
Not available,در دسترس نیست
Not checked,بررسی نشده است
Not selected,انتخاب نشده است
Not Set,تنظیم نشده است
Notifications,اطلاعیه ها
Offer,پیشنهاد
Offer Applied,پیشنهاد اعمال شد
Offer criteria exceeded,از معیارهای پیشنهاد فراتر رفت
Offer Item,مورد پیشنهاد
Offer item unavailable,مورد پیشنهاد در دسترس نیست
Offer Removed,پیشنهاد حذف شد
Offer UOM cannot be changed,پیشنهاد UOM قابل تغییر نیست
Offer?,پیشنهاد؟
Offers,ارائه می دهد
Offline,آفلاین
Offline & Sync,آفلاین و همگام سازی
Offline Capabilities,قابلیت های آفلاین
Offline data status refreshed,وضعیت داده های آفلاین به روز شد
Offline diagnostics,تشخیص آفلاین
Offline Invoices,فاکتورهای آفلاین
Offline invoices status,وضعیت فاکتورهای آفلاین
Offline invoices synced,فاکتورهای آفلاین همگام سازی شدند
Offline Queue: {0},صف آفلاین: {0}
Offline rebuild guidance,راهنمای بازسازی آفلاین
Offline restore is unavailable for this session.,بازیابی آفلاین برای این جلسه در دسترس نیست.
Offline selling is available with degraded capabilities.,فروش آفلاین با قابلیت‌های ضعیف در دسترس است.
Offline snapshot does not match the current POS state.,عکس فوری آفلاین با وضعیت فعلی POS مطابقت ندارد.
Offline Status,وضعیت آفلاین
"Offline, terminal, and system controls",کنترل های آفلاین، ترمینال و سیستم
OK,باشه
Online,آنلاین
Open actions menu,منوی اقدامات را باز کنید
Open balance to collect,باز کردن موجودی برای جمع آوری
Open Customer Display,نمایش مشتری را باز کنید
Open drawer,کشو را باز کنید
Open invoices,فاکتورها را باز کنید
Open Payments?,پرداخت ها را باز کنید؟
Open POS home,خانه POS را باز کنید
Open this screen from POS Menu -> Open Customer Display.,این صفحه را از منوی POS -> صفحه نمایش مشتری را باز کنید.
OpenCV image processing enabled - Enhanced barcode detection,پردازش تصویر OpenCV فعال شد - تشخیص بارکد پیشرفته
OpenCV image processing unavailable on this device,پردازش تصویر OpenCV در این دستگاه در دسترس نیست
OpenCV Off,OpenCV خاموش
OpenCV On,OpenCV روشن است
OpenCV processing disabled,پردازش OpenCV غیرفعال شد
Opening Amount,مبلغ افتتاحیه
Opening Cash,باز کردن پول نقد
options,گزینه ها
Order,سفارش دهید
Original,اصل
Other,دیگر
Out,بیرون
Out of Stock,موجود نیست
Out of Stock Items,اقلام خارج از انبار
Outstanding,برجسته
Outstanding Credit by Currency,اعتبار معوق بر اساس ارز
Overdue,عقب افتاده
Overpayment Change,تغییر اضافه پرداخت
Overpayment change deducted: {0},تغییر اضافه پرداخت کسر شد: {0}
Packing List,لیست بسته بندی
Page Format,فرمت صفحه
Page unavailable offline,صفحه آفلاین در دسترس نیست
Paid,پرداخت شده است
Paid (orig):,پرداخت شده (منشا):
Paid Amount,مبلغ پرداخت شده
Paid change cannot be greater than total change!,تغییر پرداختی نمی تواند بیشتر از کل تغییر باشد!
Paid:,پرداخت شده:
Parent Item,مورد والدین
Partial,جزئی
Partly Paid,تا حدی پرداخت شده
Party Account,حساب حزب
Party Type,نوع مهمانی
Pause terminal until next cashier,توقف پایانه تا صندوقدار بعدی
PAY,پرداخت کنید
Payment,پرداخت
Payment Account,حساب پرداخت
Payment entries processed for Invoice {0},ورودی‌های پرداخت برای فاکتور {0} پردازش شد
Payment Entry Type,نوع ورودی پرداخت
Payment History,تاریخچه پرداخت
Payment ID,شناسه پرداخت
Payment Method Report,گزارش روش پرداخت
Payment Methods,روش های پرداخت
Payment of {0} received successfully.,پرداخت {0} با موفقیت دریافت شد.
Payment Progress,پیشرفت پرداخت
Payment Reconciliation,تطبیق پرداخت
Payment request status could not be retrieved. Please try again,وضعیت درخواست پرداخت بازیابی نشد. لطفا دوباره امتحان کنید
Payment Request took too long to respond. Please try requesting for payment again,پاسخ درخواست پرداخت خیلی طول کشید. لطفاً دوباره درخواست پرداخت کنید
Payment saved offline,پرداخت به صورت آفلاین ذخیره شد
Payment State,وضعیت پرداخت
Payment Status,وضعیت پرداخت
Payment submitted but print function could not be executed. Payment name not found.,پرداخت ارسال شد اما عملکرد چاپ اجرا نشد. نام پرداخت پیدا نشد.
Payment submitted.,پرداخت ارسال شد.
Payment Summary,خلاصه پرداخت
Payments,پرداخت ها
Payments are not open. Do you want to open payments and submit?,پرداخت ها باز نیست آیا می خواهید پرداخت ها را باز کنید و ارسال کنید؟
Payments by Mode of Payment,پرداخت بر اساس روش پرداخت
PDF,PDF
Peak Hour,ساعت اوج
Peak Memory:,اوج حافظه:
Peak Server:,سرور اوج:
Peak:,اوج:
Pending,در انتظار
Pending Amount,مبلغ معلق
Pending count updated from {0} to {1},تعداد معلق از {0} به {1} به روز شد
Pending Exposure,قرار گرفتن در معرض انتظار
Pending Invoices,فاکتورهای معلق
Pending Ratio,نسبت معلق
Pending Sales,فروش معلق
Pending sales: {0} | Cache usage: {1}%,فروش معلق: {0} | استفاده از حافظه پنهان: {1}%
Pending Sync,در انتظار همگام سازی
Pending: {0},در انتظار: {0}
Pending: {0} | Synced: {1} | Draft: {2},در انتظار: {0} | همگام سازی شده: {1} | پیش نویس: {2}
Per Page,در هر صفحه
Personal,شخصی
Personal preferences adjust the current cashier experience without changing the active POS route.,تنظیمات برگزیده شخصی، تجربه فعلی صندوقدار را بدون تغییر مسیر فعال POS تنظیم می کند.
PIN confirmation does not match.,تأیید پین مطابقت ندارد.
PIN must be 4 to 8 digits.,پین باید 4 تا 8 رقمی باشد.
Please add at least one item.,لطفا حداقل یک مورد اضافه کنید.
Please allow camera access to scan codes,لطفاً به دوربین اجازه دسترسی به کدهای اسکن را بدهید
Please enter payment amount,لطفا مبلغ پرداخت را وارد کنید
Please fill all required fields,لطفا تمام فیلدهای الزامی را پر کنید
Please make a payment or select a payment,لطفا پرداخت را انجام دهید یا پرداخت را انتخاب کنید
Please request phone payment or use another payment method,لطفاً پرداخت تلفنی را درخواست کنید یا از روش پرداخت دیگری استفاده کنید
Please select a customer first,لطفا ابتدا یک مشتری را انتخاب کنید
Please select a party,لطفا یک حزب را انتخاب کنید
Please select a party before reconciling.,لطفا قبل از آشتی یک طرف را انتخاب کنید.
Please select a valid movement type.,لطفاً یک نوع حرکت معتبر انتخاب کنید.
Please select an invoice,لطفا یک فاکتور انتخاب کنید
Please select company before reconciling.,لطفاً قبل از تطبیق شرکت را انتخاب کنید.
Please set the customer's mobile number,لطفا شماره موبایل مشتری را تنظیم کنید
Please try again or enter the item manually.,لطفاً دوباره امتحان کنید یا مورد را به صورت دستی وارد کنید.
Please verify the barcode or check the item's availability.,لطفاً بارکد را تأیید کنید یا در دسترس بودن مورد را بررسی کنید.
Points,امتیاز
Popup blocked. Please allow popups.,پنجره بازشو مسدود شد. لطفاً به پنجره‌های بازشو اجازه دهید.
POS,POS
POS controls and maintenance,کنترل و نگهداری POS
POS Expense is disabled for this POS Profile.,هزینه POS برای این نمایه POS غیرفعال است.
POS is running with limited offline prerequisites.,POS با پیش نیازهای آفلاین محدود در حال اجرا است.
POS Profile,نمایه POS
Position the QR code or barcode within the scanning area,کد QR یا بارکد را در ناحیه اسکن قرار دهید
Posting,ارسال کردن
Posting and Price List,ارسال و لیست قیمت
Posting Date,تاریخ ارسال
Preparing background sync,در حال آماده سازی همگام سازی پس زمینه
"Press OK to continue offline with a warning, or Cancel to retry.",برای ادامه آفلاین با اخطار، OK را فشار دهید یا برای تلاش مجدد، لغو را فشار دهید.
Previous unit of measure,واحد اندازه گیری قبلی
Price List,لیست قیمت
Price List Rate,نرخ لیست قیمت
Price list rate updated locally only,نرخ لیست قیمت فقط به صورت محلی به روز می شود
Pricing & Discounts,قیمت و تخفیف
Pricing Rule,قانون قیمت گذاری
Print,چاپ کنید
Print Draft,چاپ پیش نویس
Print Format (Invoice),فرمت چاپ (فاکتور)
Print Format (Order),فرمت چاپ (سفارش)
Print invoice,چاپ فاکتور
Print Purchase Invoice instead of PO,چاپ فاکتور خرید به جای PO
Printer,چاپگر
Processed returns impacting the shift totals,بازده های پردازش شده بر مجموع شیفت ها تأثیر می گذارد
Processing Payment,پردازش پرداخت
Processing payment entries for Invoice {0},در حال پردازش ورودی‌های پرداخت برای فاکتور {0}
Profile,نمایه
