POS Awesome,POS Mahtavaa
Generate and install the certificate to allow fully silent printing without trust prompts.,Luo ja asenna varmenne mahdollistaaksesi täysin äänettömän tulostuksen ilman luottamuskehotteita.
Generate Certificate,Luo sertifikaatti
Generated scale barcode: {0},Luotu mittakaavaviivakoodi: {0}
Get Payments,Hanki maksuja
Gift Card,Lahjakortti
Gift card amount must be greater than zero.,Lahjakortin summan on oltava suurempi kuin nolla.
Gift Card Code,Lahjakortin koodi
Gift card code is required for redemption,Lunastamiseen tarvitaan lahjakortin koodi
Gift card code is required.,Lahjakortin koodi vaaditaan.
Gift card issued successfully.,Lahjakortti myönnetty onnistuneesti.
Gift card loaded successfully.,Lahjakortti ladattu onnistuneesti.
Gift Card Management,Lahjakorttien hallinta
Gift card payment,Lahjakorttimaksu
Gift card redemption requires an online connection,Lahjakortin lunastus vaatii verkkoyhteyden
Gift card topped up successfully.,Lahjakortin täyttö onnistui.
Gift Cards,Lahjakortit
Go to Frappe Desk,Mene Frappe Deskiin
Grand Total,Yhteensä
Gross Margin,Bruttokate
Gross Profit,Bruttovoitto
Gross Sales,Bruttomyynti
Group not found,Ryhmää ei löydy
"Grouped controls for terminal, UI, and session settings.","Ryhmitellyt säätimet päätteen, käyttöliittymän ja istunnon asetuksille."
Grouped totals for each payment method and currency,Ryhmitellyt kokonaissummat kullekin maksutavalle ja valuutalle
Hide,Piilota
Hide Gift Card,Piilota lahjakortti
Hide Non Essential Fields,Piilota ei-välttämättömät kentät
Hide quantity decimals,Piilota määrän desimaalit
Hide search tools,Piilota hakutyökalut
Hide zero rated items,Piilota nollalla arvioituja kohteita
High,Korkea
History,Historia
Hourly (Today),Tunneittain (tänään)
How this section works,Kuinka tämä osio toimii
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Jos vanhentuneita tietoja on jäljellä, avaa Asetukset > Offline & Sync ja suorita Rebuild Offline Data uudelleen ollessasi online-tilassa."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Jos varoitus jatkuu, avaa Asetukset > Offline ja synkronointi ja suorita sitten Refresh Offline Data tai Rebuild Offline Data."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Tuo sertifikaatti QZ-lokeroon ja käynnistä QZ-lokero uudelleen jokaisessa myyntipisteessä.
In,sisään
In stock: {0},Varastossa: {0}
Include Batch / Serial,Sisällytä erä / sarja
Include Price,Sisältää Hinta
Increase quantity,Lisää määrää
IndexedDB,Indeksoitu DB
Initial Amount,Alkumäärä
Initialize your shift with opening balances,Alusta työvuorosi alkusaldoilla
Initializing application...,Alustetaan sovellusta...
"Inspect cache, sync, and prerequisite status","Tarkista välimuistin, synkronoinnin ja edellytysten tila"
Installed Applications,Asennetut sovellukset
Insufficient stock:\n{0},Riittämätön varasto:\n{0}
Invalid rate,Virheellinen hinta
Inventory Status Report,Varaston tilaraportti
Invoice,Lasku
Invoice {0} is Submitted,Lasku {0} on lähetetty
Invoice {0} processed successfully,Lasku {0} käsitelty onnistuneesti
Invoice {0} submission failed,Laskun {0} lähetys epäonnistui
Invoice {0} was already submitted,Lasku {0} on jo lähetetty
Invoice Adjustments,Laskun oikaisut
Invoice Change,Laskun muutos
Invoice Details,Laskun tiedot
Invoice is still in draft after background submission.,Lasku on vielä luonnoksessa taustalähetyksen jälkeen.
Invoice Items,Laskun erät
Invoice Management,Laskujen hallinta
Invoice Mgmt,Lasku Mgmt
Invoice saved offline,Lasku tallennettu offline-tilaan
Invoice submission failed,Laskun lähetys epäonnistui
Invoice Submitted,Lasku lähetetty
"Invoice value settled by loyalty points, not cash collection","Laskun arvo maksetaan kanta-asiakaspisteillä, ei käteisellä"
Invoices,Laskut
Invoices already past due date,Laskut ovat jo erääntyneet
Invoices saved as POS Invoices,Laskut tallennettu POS-laskuina
Invoices still carrying balances,Laskuissa on vielä saldoa
Issue Mode,Ongelmatila
Issue New Card,Myönnä uusi kortti
Issue Workflow,Ongelman työnkulku
"Issue, top up, and check","Ilmoita, täytä ja tarkista"
Item,Tuote
Item / Product Sales Report,Tuote / tuote myyntiraportti
Item {0} added to invoice,Tuote {0} lisätty laskuun
Item '{0}' has no barcode,Kohteessa {0} ei ole viivakoodia
Item Code,Tuotekoodi
Item created successfully,Kohteen luominen onnistui
Item is out of stock,Tuote on loppu
Item Name,Tuotteen nimi
Item not found,Kohdetta ei löydy
Item order updated,Tuotejärjestys päivitetty
Item Selector Settings,Kohteen valitsimen asetukset
Items,Tuotteet
Items added in POS will appear here automatically.,POS:iin lisätyt tuotteet näkyvät täällä automaattisesti.
Items added to invoice,Tuotteet lisätty laskuun
Items per page,Kohteita per sivu
Items Sold,Myydyt tuotteet
Items/Invoice,Tuotteet/lasku
Item-wise Profitability,Kohteiden kannalta kannattavuus
Journal Entry,Päiväkirjamerkintä
json,json
Just now,Juuri nyt
Keep offline prerequisites healthy and recover stale data safely.,Pidä offline-edellytykset kunnossa ja palauta vanhentuneet tiedot turvallisesti.
Labels,Tarrat
"Language, theme, terminal tools, and session controls.","Kieli, teema, päätetyökalut ja istunnon ohjaimet."
Last,Viimeinen
Last 14 Days (Paid vs Pending),Viimeiset 14 päivää (maksettu vs. odottava)
Last 14 Days Activity,Viimeisen 14 päivän toiminta
Last 14 Days Gross Profit,Viimeisen 14 päivän bruttovoitto
Last 14 Days Purchases,Viimeisen 14 päivän ostokset
Last 14 Days Tax/Charges,Viimeisten 14 päivän verot/maksut
Last sync:,Viimeisin synkronointi:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Viimeisin synkronointi: {0} | ok: {1} | epäonnistui: {2} | ohitettu: {3}
Latest entries for current shift,Uusimmat merkinnät nykyiseen vuoroon
Lead Time,Toimitusaika
Limited,Rajoitettu
lines,rivit
List,Luettelo
Live Snapshot,Live Snapshot
Load a POS profile and cashier first.,Lataa ensin POS-profiili ja kassa.
Load More Invoices,Lataa lisää laskuja
Load previously saved invoices,Lataa aiemmin tallennetut laskut
Load Sale,Load Sale
Load Sales Invoice,Lataa myyntilasku
Loading app data...,Ladataan sovellustietoja...
Loading customer database...,Ladataan asiakastietokantaa...
Loading customers...,Ladataan asiakkaita...
Loading database stats...,Ladataan tietokannan tilastoja...
Loading details...,Ladataan tietoja...
Loading invoice history...,Ladataan laskuhistoriaa...
Loading items...,Ladataan kohteita...
Loading product catalog...,Ladataan tuoteluetteloa...
Loading return invoices...,Ladataan palautuslaskuja...
Loading server CPU/memory usage...,Ladataan palvelimen suorittimen/muistin käyttöä...
Loading suppliers...,Ladataan toimittajia...
Loading unpaid invoices...,Ladataan maksamattomia laskuja...
Loading view...,Ladataan näkymää...
Loading...,Ladataan...
Local storage is unavailable. Switching to online-only mode.,Paikallinen tallennustila ei ole käytettävissä. Vaihtaminen vain online -tilaan.
localStorage,localStorage
Location Performance,Sijainnin suorituskyky
Locations,Sijainnit
Lock Screen,Lukitusnäyttö
Lookup Workflow,Haun työnkulku
Loss,Tappio
Low,Matala
Low Stock,Alhainen varasto
Low Stock Alerts,Alhaisen varaston hälytykset
Low Stock Items,Alhaiset tuotteet
Low Stock Threshold,Alhainen varastokynnys
Low Stock Total,Alhainen varasto yhteensä
Lowest Margin,Alin marginaali
Low-frequency maintenance and system details.,Matalataajuinen huolto ja järjestelmätiedot.
Loyalty Redeemed,Uskollisuus lunastettu
Loyalty Redemption,Uskollisuuden lunastus
Make New Payment,Tee uusi maksu
Manage all,Hallitse kaikkia
Manage and synchronize your offline transactions,Hallitse ja synkronoi offline-tapahtumiasi
Manage Cashier PIN,Hallinnoi kassan PIN-koodia
"Manage offline tools, terminal controls, and maintenance from one workspace.","Hallitse offline-työkaluja, päätteiden ohjaimia ja ylläpitoa yhdestä työtilasta."
manual,manuaalinen
"Manual codes, barcode scans, and QR scans work in the same field","Manuaaliset koodit, viivakoodiskannaukset ja QR-skannaukset toimivat samalla alalla"
Manual offline mode is enabled,Manuaalinen offline-tila on käytössä
Margin,Marginaali
Maximum available quantity is {0}. Quantity adjusted to match stock.,Suurin käytettävissä oleva määrä on {0}. Määrä mukautettu vastaamaan varastoa.
Maximum discount amount for this offer item is {0}.,Tämän tarjoustuotteen enimmäisalennussumma on {0}.
Maximum discount percentage for this offer item is {0}%.,Tämän tarjoustuotteen enimmäisalennusprosentti on {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Tarjouksen enimmäismäärä on {0}. Määrä säädetty sallittuun rajaan.
Medium,Keskikokoinen
Method-wise Collections,Menetelmäkohtaiset kokoelmat
Minimum allowed rate for this offer item is {0}.,Tämän tarjoustuotteen pienin sallittu hinta on {0}.
Minimum Qty,Minimimäärä
Mobile No,Matkapuhelin nro
Mode,tila
Mode of Payment,Maksutapa
Month,Kuukausi
Month ?,kuukausi?
Monthly Profit,Kuukauden voitto
Monthly Sales,Kuukausimyynti
Monthly Sales Summary,Kuukauden myyntiyhteenveto
Month-wise,Kuukausittain
Most Active Cashiers,Aktiivisimmat kassat
Movement Type,Liikkeen tyyppi
Movements,Liikkeet
Multi Currency,Monivaluutta
N/A,Ei käytössä
Name,Nimi
Negative Stock,Negatiivinen osake
Negative Stock Items,Negatiiviset varastotuotteet
Negative values not allowed,Negatiiviset arvot eivät ole sallittuja
Net,Net
Net Qty,Nettomäärä
Net Sales,Liikevaihto
Net Value,Nettoarvo
Never,Ei koskaan
New changes are ready to load,Uudet muutokset ovat valmiita latautumaan
New Item,Uusi kohde
New Offer Available,Uusi tarjous saatavilla
New PIN,Uusi PIN
New rate,Uusi korko
Next unit of measure,Seuraava mittayksikkö
No attribute data found.,Attribuuttitietoja ei löytynyt.
No Barcode,Ei viivakoodia
No barcode found for UOM '{0}',Viivakoodia ei löytynyt UOM:lle '{0}'
No branch/location data found.,Haara-/sijaintitietoja ei löytynyt.
No brand data found.,Bränditietoja ei löytynyt.
No cached gift card balance is available offline.,Välimuistissa oleva lahjakorttisaldo ei ole käytettävissä offline-tilassa.
No camera found on this device. Please ensure your device has a working camera.,"Tästä laitteesta ei löytynyt kameraa. Varmista, että laitteessasi on toimiva kamera."
No capability warnings recorded yet.,Kykyvaroituksia ei ole vielä tallennettu.
No cash expected for this shift.,Rahaa ei odoteta tälle vaihdolle.
No cash mode configured,Käteistilaa ei ole määritetty
No cash movement type is allowed for this POS Profile.,Mitään käteisliiketyyppiä ei sallita tälle POS-profiilille.
No cashier PIN is set yet. Create one now.,Kassan PIN-koodia ei ole vielä asetettu. Luo sellainen nyt.
No cashier profiles are available for this POS profile yet.,Tälle POS-profiilille ei ole vielä saatavilla kassaprofiileja.
No cashier-wise discount/void/return activity.,Ei kassakohtaista alennus-/ mitätöinti-/palautustoimintoa.
No category data found.,Luokkatietoja ei löytynyt.
No category profitability data found.,Luokan kannattavuustietoja ei löytynyt.
No change returned recorded for this shift.,Tälle vuorolle ei palautettu muutoksia.
No change-allocation invoices match the current filters.,Yksikään muutoskohdistuslasku ei vastaa nykyisiä suodattimia.
No charge head breakdown found.,Latauspään vikaa ei löytynyt.
No Company Selected,Yritystä ei ole valittu
No customer sales data found.,Asiakasmyyntitietoja ei löytynyt.
No day-wise discount/void/return trend.,Ei päiväkohtaista alennus-/poisto-/palautustrendiä.
No day-wise payment data found.,Päiväkohtaisia ​​maksutietoja ei löytynyt.
No day-wise profitability trend found.,Päiväkohtaista kannattavuustrendiä ei löytynyt.
No day-wise purchase data found.,Päiväkohtaisia ​​ostotietoja ei löytynyt.
No day-wise sales trend found.,Päiväkohtaista myyntitrendiä ei löytynyt.
No day-wise tax/charges trend found.,Päiväkohtaista vero-/maksutrendiä ei löytynyt.
No dead stock items.,Ei kuolleita varastotuotteita.
No due date,Ei eräpäivää
No exact repair match found for this invoice,Tälle laskulle ei löytynyt tarkkaa korjausosumaa
No hourly sales trend found for today.,Tuntikohtaista myyntitrendiä ei löytynyt tälle päivälle.
No invoice activity found.,Laskutustoimintaa ei löytynyt.
No invoices found,Laskuja ei löytynyt
No invoices found. Try different search criteria.,Laskuja ei löytynyt. Kokeile erilaisia ​​hakuehtoja.
No invoices recorded for this shift.,Tästä vaihdosta ei ole kirjattu laskuja.
No item profitability data found.,Tuotteen kannattavuustietoja ei löytynyt.
No item sales data found for this period.,Tälle ajanjaksolle ei löytynyt tuotemyyntitietoja.
No items found,Kohteita ei löytynyt
No items in cart,Ei tuotteita ostoskorissa
No items with barcodes to print,"Ei kohteita, joissa on tulostettava viivakoodi"
No location-wise top item data found.,Sijaintikohtaisia huipputuotetietoja ei löytynyt.
No low stock alerts right now.,Ei varoituksia alhaisista varastoista juuri nyt.
No low stock items.,Ei vähissä varastossa olevia tuotteita.
No matching items in cart,Ei vastaavia tuotteita ostoskorissa
No month-wise sales trend found.,Kuukausittaista myyntitrendiä ei löytynyt.
No negative stock items.,Ei negatiivisia varastotuotteita.
No notifications yet,Ei vielä ilmoituksia
No offline cash movement synced.,Ei synkronoituja offline-käteissiirtoja.
No offline invoices pending synchronization,Ei synkronointia odottavia offline-laskuja
No offline sync issues recorded yet.,Offline-synkronointiongelmia ei ole vielä tallennettu.
No out-of-stock items.,Ei lopputuotteita.
No outstanding credit invoices for this shift.,Ei maksamattomia luottolaskuja tälle siirrolle.
No payment collection data found.,Maksunkeräystietoja ei löytynyt.
No payment rows available on this invoice.,Tässä laskussa ei ole maksurivejä.
No payments registered for this shift.,Tälle vuorolle ei ole rekisteröity maksuja.
No pending balances in this period.,Ei odottavia saldoja tällä kaudella.
No pending offline invoices,Ei odottavia offline-laskuja
No Print Formats Found,Tulostusmuotoja ei löytynyt
No profiles found for selected scope. Falling back to current profile failed.,Valitulle laajuudelle ei löytynyt profiileja. Paluu nykyiseen profiiliin epäonnistui.
No recent customer activity found.,Viimeaikaista asiakastoimintaa ei löytynyt.
No recent stock entries found.,Viimeaikaisia ​​osakemerkintöjä ei löytynyt.
No records found,Tietueita ei löytynyt
No reorder suggestions right now.,Ei tilausehdotuksia juuri nyt.
No repeat customers in this period.,Ei toistuvia asiakkaita tänä aikana.
No response from server,Ei vastausta palvelimelta
No return invoices found,Palautuslaskuja ei löytynyt
No return item trend found.,Palautustuotetrendiä ei löytynyt.
No returnable items found for this invoice,Tälle laskulle ei löytynyt palautettavia tuotteita
No returns were processed in this shift.,Tässä vuorossa ei käsitelty palautuksia.
No risk activity found.,Riskitoimintaa ei löytynyt.
No sales activity found for this period.,Myyntitoimintaa ei löytynyt tälle ajanjaksolle.
No slow moving items.,Ei hitaasti liikkuvia esineitä.
No staff sales activity found.,Henkilöstön myyntitoimintaa ei löytynyt.
No stock movement for this period.,Ei varastoliikettä tälle ajanjaksolle.
No submitted cash movements in this shift.,Ei toimitettuja käteissiirtoja tässä vuorossa.
No supplier purchases found in this month.,Toimittajien ostoja ei löytynyt tässä kuussa.
No suppliers found for this period.,Toimittajia ei löytynyt tälle ajanjaksolle.
No sync trigger has run yet in this session.,Tässä istunnossa ei ole vielä suoritettu synkronointitriggeriä.
No tax head breakdown found.,Veropääerittelyä ei löytynyt.
No top items found for this location.,Tälle sijainnille ei löytynyt huipputuotteita.
No unpaid invoices,Ei maksamattomia laskuja
No variant data found.,Varianttitietoja ei löytynyt.
No week-wise sales trend found.,Viikkokohtaista myyntitrendiä ei löytynyt.
No.,Ei
Nobile Number,Nobilen numero
Not available,Ei saatavilla
Not checked,Ei tarkistettu
Not selected,Ei valittu
Not Set,Ei asetettu
Notifications,Ilmoitukset
Offer,Tarjoa
Offer Applied,Tarjous voimassa
Offer criteria exceeded,Tarjouskriteerit ylittyivät
Offer Item,Tarjouskohde
Offer item unavailable,Tarjoustuote ei ole saatavilla
Offer Removed,Tarjous poistettu
Offer UOM cannot be changed,Tarjouksen UOM:a ei voi muuttaa
Offer?,Tarjoa?
Offers,Tarjoukset
Offline,Offline-tilassa
Offline & Sync,Offline ja synkronointi
Offline Capabilities,Offline-ominaisuudet
Offline data status refreshed,Offline-tietojen tila päivitetty
Offline diagnostics,Offline-diagnostiikka
Offline Invoices,Offline-laskut
Offline invoices status,Offline-laskujen tila
Offline invoices synced,Offline-laskut synkronoitu
Offline Queue: {0},Offline-jono: {0}
Offline rebuild guidance,Offline-uudelleenrakennusohjeet
Offline restore is unavailable for this session.,Offline-palautus ei ole käytettävissä tälle istunnolle.
Offline selling is available with degraded capabilities.,Offline-myynti on saatavilla heikentyneillä ominaisuuksilla.
Offline snapshot does not match the current POS state.,Offline-tilannekuva ei vastaa nykyistä POS-tilaa.
Offline Status,Offline-tila
"Offline, terminal, and system controls","Offline-, pääte- ja järjestelmäohjaimet"
OK,OK
Online,verkossa
Open actions menu,Avaa toimintovalikko
Open balance to collect,Avaa saldo kerättäväksi
Open Customer Display,Avaa Asiakasnäyttö
Open drawer,Avaa laatikko
Open invoices,Avoimet laskut
Open Payments?,Avaa maksut?
Open POS home,Avaa POS-etusivu
Open this screen from POS Menu -> Open Customer Display.,Avaa tämä näyttö POS-valikosta -> Avaa asiakasnäyttö.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV-kuvankäsittely käytössä - Parannettu viivakoodin tunnistus
OpenCV image processing unavailable on this device,OpenCV-kuvankäsittely ei ole käytettävissä tällä laitteella
OpenCV Off,OpenCV pois päältä
OpenCV On,OpenCV päällä
OpenCV processing disabled,OpenCV-käsittely pois käytöstä
Opening Amount,Avausmäärä
Opening Cash,Rahan avaaminen
options,vaihtoehtoja
Order,Tilaa
Original,Alkuperäinen
Other,muu
Out,Ulos
Out of Stock,Loppunut varastosta
Out of Stock Items,Loppuneet tuotteet
Outstanding,Erinomaista
Outstanding Credit by Currency,Eräs luotto valuutan mukaan
Overdue,Myöhässä
Overpayment Change,Ylimaksun muutos
Overpayment change deducted: {0},Ylimääräisen maksun muutos vähennetty: {0}
Packing List,Pakkausluettelo
Page Format,Sivun muoto
Page unavailable offline,Sivu ei ole käytettävissä offline-tilassa
Paid,Maksettu
Paid (orig):,Maksettu (alkuperäinen):
Paid Amount,Maksettu summa
Paid change cannot be greater than total change!,Maksettu muutos ei voi olla suurempi kuin kokonaismuutos!
Paid:,Maksettu:
Parent Item,Päätuote
Partial,Osittainen
Partly Paid,Osittain maksettu
Party Account,Puolueen tili
Party Type,Juhlatyyppi
Pause terminal until next cashier,Keskeytä terminaali seuraavaan kassaan asti
PAY,MAKSAA
Payment,Maksu
Payment Account,Maksutili
Payment entries processed for Invoice {0},Laskun {0} maksukirjaukset käsitelty
Payment Entry Type,Maksun kirjaustyyppi
Payment History,Maksuhistoria
Payment ID,Maksutunnus
Payment Method Report,Maksutaparaportti
Payment Methods,Maksutavat
Payment of {0} received successfully.,Maksu {0} vastaanotettu onnistuneesti.
Payment Progress,Maksun edistyminen
Payment Reconciliation,Maksujen täsmäytys
Payment request status could not be retrieved. Please try again,Maksupyynnön tilaa ei voitu hakea. Yritä uudelleen
Payment Request took too long to respond. Please try requesting for payment again,Maksupyyntöön vastaaminen kesti liian kauan. Yritä pyytää maksua uudelleen
Payment saved offline,Maksu tallennettu offline-tilaan
Payment State,Maksutila
Payment Status,Maksun tila
Payment submitted but print function could not be executed. Payment name not found.,"Maksu lähetetty, mutta tulostustoimintoa ei voitu suorittaa. Maksun nimeä ei löydy."
Payment submitted.,Maksu lähetetty.
Payment Summary,Maksujen yhteenveto
Payments,Maksut
Payments are not open. Do you want to open payments and submit?,Maksut eivät ole auki. Haluatko avata maksut ja lähettää?
Payments by Mode of Payment,Maksut maksutavalla
PDF,PDF
Peak Hour,Huipputunti
Peak Memory:,Huippumuisti:
Peak Server:,Huippupalvelin:
Peak:,Huippu:
Pending,Odottaa
Pending Amount,Odottava summa
Pending count updated from {0} to {1},Odotusarvo päivitetty arvosta {0} arvoon {1}
Pending Exposure,Odottaa altistusta
Pending Invoices,Odottavat laskut
Pending Ratio,Odottava suhde
Pending Sales,Odottava myynti
Pending sales: {0} | Cache usage: {1}%,Odottavat myynnit: {0} | Välimuistin käyttö: {1} %
Pending Sync,Odottaa synkronointia
Pending: {0},Odottaa: {0}
Pending: {0} | Synced: {1} | Draft: {2},Odottaa: {0} | Synkronoitu: {1} | Luonnos: {2}
Per Page,Sivua kohden
Personal,Henkilökohtainen
Personal preferences adjust the current cashier experience without changing the active POS route.,Henkilökohtaiset asetukset säätävät nykyistä kassakokemusta muuttamatta aktiivista POS-reittiä.
PIN confirmation does not match.,PIN-vahvistus ei täsmää.
PIN must be 4 to 8 digits.,PIN-koodissa on oltava 4–8 numeroa.
Please add at least one item.,Lisää vähintään yksi kohde.
Please allow camera access to scan codes,Anna kameralle pääsy koodien skannaukseen
Please enter payment amount,Anna maksun summa
Please fill all required fields,Täytä kaikki vaaditut kentät
Please make a payment or select a payment,Ole hyvä ja suorita maksu tai valitse maksu
Please request phone payment or use another payment method,Pyydä puhelinmaksu tai käytä muuta maksutapaa
Please select a customer first,Valitse ensin asiakas
Please select a party,Valitse puolue
Please select a party before reconciling.,Valitse osapuoli ennen sovittelua.
Please select a valid movement type.,Valitse kelvollinen liiketyyppi.
Please select an invoice,Valitse lasku
Please select company before reconciling.,Valitse yritys ennen sovittelua.
Please set the customer's mobile number,Ole hyvä ja aseta asiakkaan matkapuhelinnumero
Please try again or enter the item manually.,Yritä uudelleen tai kirjoita kohde manuaalisesti.
Please verify the barcode or check the item's availability.,Tarkista viivakoodi tai tuotteen saatavuus.
Points,Pisteet
Popup blocked. Please allow popups.,Ponnahdusikkuna estetty. Salli ponnahdusikkunat.
POS,POS
POS controls and maintenance,POS-hallinta ja huolto
POS Expense is disabled for this POS Profile.,POS-kulut on poistettu käytöstä tässä POS-profiilissa.
POS is running with limited offline prerequisites.,POS toimii rajoitetuin offline-edellytyksin.
POS Profile,POS-profiili
Position the QR code or barcode within the scanning area,Aseta QR-koodi tai viivakoodi skannausalueelle
Posting,Lähettäminen
Posting and Price List,Postitus ja hinnasto
Posting Date,Lähetyspäivämäärä
Preparing background sync,Taustasynkronointia valmistellaan
"Press OK to continue offline with a warning, or Cancel to retry.",Jatka offline-tilassa varoituksen kanssa painamalla OK tai yritä uudelleen painamalla Peruuta.
Previous unit of measure,Edellinen mittayksikkö
Price List,Hinnasto
Price List Rate,Hinnastohinta
Price list rate updated locally only,Hinnasto päivitetty vain paikallisesti
Pricing & Discounts,Hinnoittelu & Alennukset
Pricing Rule,Hinnoittelusääntö
Print,Tulosta
Print Draft,Tulosta luonnos
Print Format (Invoice),Tulostusmuoto (lasku)
Print Format (Order),Tulostusmuoto (tilaus)
Print invoice,Tulosta lasku
Print Purchase Invoice instead of PO,Tulosta ostolasku tilauksen sijaan
Printer,Tulostin
Processed returns impacting the shift totals,"Käsitellyt palautukset, jotka vaikuttavat työvuorojen kokonaissummaan"
Processing Payment,Maksua käsitellään
Processing payment entries for Invoice {0},Käsitellään laskun {0} maksumerkintöjä
Profile,Profiili
Profiles,Profiilit
