POS Awesome,POS Galing
Fetch Items Directly from Server,Kunin ang Mga Item Direkta mula sa Server
Menu,Menu
Actions,Mga aksyon
Close Shift,Isara ang Shift
End current session,Tapusin ang kasalukuyang session
Print Last Invoice,I-print ang Huling Invoice
Reprint previous transaction,Muling i-print ang nakaraang transaksyon
Sync Offline Invoices,I-sync ang Mga Offline na Invoice
Upload pending transactions,Mag-upload ng mga nakabinbing transaksyon
Go Online,Mag Online
Go Offline,Mag-offline
Disable offline mode,Huwag paganahin ang offline mode
Work without server connection,Magtrabaho nang walang koneksyon sa server
Clear Cache,I-clear ang Cache
Remove local data and refresh,Alisin ang lokal na data at i-refresh
About,Tungkol sa
App information,Impormasyon ng app
Language,Wika
Change interface language,Baguhin ang wika ng interface
Light Mode,Light Mode
Dark Mode,Dark Mode
Switch theme appearance,Lumipat sa hitsura ng tema
Logout,Mag-logout
Sign out of session,Mag-sign out sa session
Select Language,Piliin ang Wika
Choose your preferred language for the POS interface,Piliin ang iyong gustong wika para sa interface ng POS
Language will be changed to,Papalitan ang wika sa
Cancel,Kanselahin
Change Language,Baguhin ang Wika
Close,Isara
Cannot change language - same language selected,Hindi maaaring baguhin ang wika - parehong wika ang napili
Language changed successfully! Reloading...,Matagumpay na nabago ang wika! Nire-reload...
Failed to change language,Nabigong baguhin ang wika
Unknown error,Hindi kilalang error
- Total Unallocated,- Kabuuang Hindi Inilalaan
* Required,* Kinakailangan
{0} (Qty: {1}),{0} (Bilang: {1})
{0} actions,{0} mga aksyon
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,Ang {0} ay mayroon lamang {1} sa stock. Humiling ka ng {2}. Ayusin ang dami o i-restock.
{0} offline invoice{1} pending,Nakabinbin ang {0} offline na invoice{1}.
{0} offline invoice{1} saved as draft,{0} offline na invoice{1} ang na-save bilang draft
{0} offline invoice{1} synced,Naka-sync ang {0} offline na invoice{1}.
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}d ang nakalipas
{0}h ago,{0}h ang nakalipas
{0}m ago,{0}m ang nakalipas
A POS supervisor is required for this action.,Ang isang superbisor ng POS ay kinakailangan para sa pagkilos na ito.
Access,Access
Account,Account
Account is overdrawn,Na-overdrawn ang account
Acknowledge the error to resume scanning,Kilalanin ang error upang ipagpatuloy ang pag-scan
Acknowledge the error to resume scanning.,Kilalanin ang error upang ipagpatuloy ang pag-scan.
Across,Sa kabila
Action,Aksyon
Active sale,Aktibong pagbebenta
add,idagdag
Add items from the selector to start building this sale.,Magdagdag ng mga item mula sa selector upang simulan ang pagbuo ng sale na ito.
Add more value to an existing gift card,Magdagdag ng higit na halaga sa isang kasalukuyang gift card
Add New Address,Magdagdag ng Bagong Address
Add new customer,Magdagdag ng bagong customer
Add on New Line,Idagdag sa Bagong Linya
Add Payment,Magdagdag ng Pagbabayad
Add payment to invoice,Magdagdag ng bayad sa invoice
Add/Edit Coupon Conditions,Magdagdag/Mag-edit ng Mga Kundisyon ng Kupon
Additional Discount,Karagdagang Diskwento
Additional Discount %,Karagdagang Diskwento %
Address Line 1,Linya ng Address 1
Address not found,Hindi nakita ang address
Adjust the quantity or enable negative stock to continue.,Ayusin ang dami o paganahin ang negatibong stock na magpatuloy.
Adjustment,Pagsasaayos
After returns,Pagkatapos ng mga pagbabalik
Against,Laban sa
Against Name,Laban sa Pangalan
Age Bracket,Bracket ng Edad
All,Lahat
All Caught Up!,Lahat Nahuli!
All invoices are synchronized,Naka-synchronize ang lahat ng invoice
All pending invoices are up to date,Ang lahat ng mga nakabinbing invoice ay napapanahon
All Profiles,Lahat ng Profile
All Synchronized,Naka-synchronize lahat
All visible invoices are fully settled.,Ang lahat ng nakikitang mga invoice ay ganap na naayos.
All Warehouses,Lahat ng Warehouses
Allowed UOM is {0},Ang pinapayagang UOM ay {0}
Always fetch items from server (ignore local cache),Palaging kumuha ng mga item mula sa server (balewala ang lokal na cache)
Amount,Halaga
Amount already received,Natanggap na ang halaga
Amount exceeds profile cash movement max amount.,Ang halaga ay lumampas sa max na halaga ng cash movement ng profile.
Amount must be greater than zero.,Ang halaga ay dapat na mas malaki kaysa sa zero.
Amount received from customer,Halaga na natanggap mula sa customer
Appearance and user-level preferences for the current session.,Hitsura at mga kagustuhan sa antas ng user para sa kasalukuyang session.
Applied,Inilapat
Apply,Mag-apply
Apply Gift Card,Ilapat ang Gift Card
Apply Offer,Ilapat ang Alok
Apply On,Mag-apply Sa
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Ilapat lang ang halagang gusto mong i-redeem sa invoice na ito. Ang natitirang balanse ay mananatili sa card.
Apply Redemption,Mag-apply ng Redemption
Applying,Nag-aaplay
Apps,Mga app
Are you sure you want to close? All entered data will be lost.,Sigurado ka bang gusto mong isara? Mawawala ang lahat ng ipinasok na data.
Attributes (Size/Color),Mga Katangian (Laki/Kulay)
Auto Allocate Payment Amount,Awtomatikong Maglaan ng Halaga ng Pagbabayad
Auto Reconcile,Auto Reconcile
Auto reconciliation completed after payment submit.,Nakumpleto ang auto reconciliation pagkatapos isumite ang pagbabayad.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Nakumpleto ang auto reconciliation. Inilaan: {0}{1}. Nananatiling natitirang: {0}{2}.
Available Actions,Mga Magagamit na Pagkilos
Available QTY,Magagamit na QTY
Available:,Available:
Average Basket,Karaniwang Basket
Average Bill,Average na Bill
Average Ticket,Average na Ticket
Avg Bill,Avg Bill
Avg Invoice,Avg na Invoice
Avg Invoice Profit,Avg na Kita ng Invoice
Avg Invoice Value,Avg na Halaga ng Invoice
Avg Purchase Frequency,Avg na Dalas ng Pagbili
Awesome,Kahanga-hanga
Awesome Dashboard,Kahanga-hangang Dashboard
Awesome Dashboard is disabled for the selected POS Profile.,Naka-disable ang Awesome Dashboard para sa napiling POS Profile.
Awesome Dashboard is unavailable for the selected scope.,Hindi available ang Kahanga-hangang Dashboard para sa napiling saklaw.
Awesome Dashboard is visible only to POS supervisors.,Ang Kahanga-hangang Dashboard ay makikita lamang ng mga superbisor ng POS.
Back,Bumalik
Back Office Cash Account,Back Office Cash Account
Back Office Cash Account (Optional Override),Back Office Cash Account (Opsyonal na Pag-override)
Back office cash account is required.,Kinakailangan ang back office cash account.
Back to {0},Bumalik sa {0}
Background processing did not finish in time.,Hindi natapos ang pagpoproseso sa background sa oras.
Background processing failed for Invoice {0}: {1},Nabigo ang pagproseso sa background para sa Invoice {0}: {1}
Background Submission Failed,Nabigo ang Pagsusumite sa Background
Background sync interval (seconds),Agwat ng pag-sync sa background (mga segundo)
Balance,Balanse
Balance will be updated when connection is restored,Maa-update ang balanse kapag naibalik ang koneksyon
Balances still pending,Nakabinbin pa rin ang mga balanse
Barcode,Barcode
Barcode / QR Ready,Handa na ang Barcode / QR
Barcode Label Printing,Pag-print ng Barcode Label
Base Paid:,Base Bayad:
Base Recv:,Base Recv:
Base:,Base:
Basic Information,Pangunahing Impormasyon
Batch,Batch
Batch Information,Impormasyon sa Batch
Before any return workflow,Bago ang anumang return workflow
Before returns,Bago bumalik
Best Day,Pinakamahusay na Araw
Best Seller,Pinakamabenta
Book expense or deposit from active shift.,Gastos sa libro o deposito mula sa aktibong shift.
Branch / Location-wise Report,Ulat sa Sangay / Lokasyon
Brand-wise,Brand-wise
Breakdown,Pagkasira
Browse,Mag-browse
Build Time:,Oras ng Pagbuo:
Built with Frappe,Itinayo gamit ang Frappe
Bundle,Bundle
Buying Price,Presyo ng Pagbili
Cache cleared successfully,Matagumpay na na-clear ang cache
Cache Usage,Paggamit ng Cache
cache used,ginamit na cache
Calculating...,Kinakalkula...
Camera Access Required,Kinakailangan ang Pag-access sa Camera
Camera access was aborted. Please try again.,Na-abort ang access sa camera. Pakisubukang muli.
Camera constraints not supported by your device. Trying fallback settings...,Hindi sinusuportahan ng iyong device ang mga hadlang sa camera. Sinusubukan ang mga setting ng fallback...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Ang camera ay abala o na-block ng isa pang app/tab. Isara ang iba pang camera app at subukang muli.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Tinanggihan ang pahintulot sa camera. Mangyaring payagan ang pag-access ng camera sa mga setting ng iyong browser at i-refresh ang pahina.
Camera scanner is locked until the current error is acknowledged,Ang camera scanner ay naka-lock hanggang sa ang kasalukuyang error ay kilalanin
Camera started but the video stream did not load in time. Please try again.,Nagsimula ang camera ngunit hindi nag-load ang video stream sa oras. Pakisubukang muli.
Cancel cash movement {0}?,Kanselahin ang paggalaw ng pera {0}?
Cancel Payment,Kanselahin ang Pagbabayad
Cancel Sale,Kanselahin ang Sale
Cancel Sale ?,Kanselahin ang Sale ?
Cancelled,Kinansela
Cannot add an item with zero or negative quantity.,Hindi maaaring magdagdag ng item na may zero o negatibong dami.
Cannot clear cache while offline,Hindi ma-clear ang cache habang offline
Cannot redeem customer credit more than invoice total,Hindi ma-redeem ang credit ng customer nang higit sa kabuuang invoice
Cannot redeem gift cards more than invoice total,Hindi ma-redeem ang mga gift card nang higit sa kabuuang invoice
Cannot Save Offline Invoice:,Hindi Ma-save ang Offline na Invoice:
Cannot Save Offline Payment:,Hindi Ma-save ang Offline na Pagbabayad:
Card,Card
Card / Online,Card / Online
Card health after the last live lookup,Kalusugan ng card pagkatapos ng huling live na paghahanap
Cards,Mga card
Cart,Cart
Cash,Cash
Cash back to customers,Cash back sa mga customer
Cash Collections,Mga Koleksyon ng Pera
Cash Deposit is disabled for this POS Profile.,Ang Cash Deposit ay hindi pinagana para sa POS Profile na ito.
Cash Drawer Snapshot,Snapshot ng Cash Drawer
Cash In Hand,Cash sa Kamay
Cash Movement,Cash Movement
Cash movement cancelled,Kinansela ang paggalaw ng pera
Cash movement deduction applied,Inilapat ang bawas sa paggalaw ng pera
Cash movement deleted,Ang paggalaw ng pera ay tinanggal
Cash movement is disabled for this POS Profile.,Ang paggalaw ng pera ay hindi pinagana para sa POS Profile na ito.
Cash Movement is disabled in current POS Profile.,Ang Cash Movement ay hindi pinagana sa kasalukuyang POS Profile.
Cash movement saved offline,Ang paggalaw ng pera ay nai-save offline
Cash movement submitted,Naisumite ang paggalaw ng pera
Cash Movements,Cash Movements
Cash payment cannot be less than invoice total when partial payment is not allowed,Ang pagbabayad ng cash ay hindi maaaring mas mababa sa kabuuang invoice kapag hindi pinapayagan ang bahagyang pagbabayad
Cash returned after payment,Ibinalik ang pera pagkatapos magbayad
Cashier,Cashier
Cashier Access,Pag-access sa Cashier
Cashier identity and appearance preferences.,Pagkakilanlan ng cashier at mga kagustuhan sa hitsura.
Cashier PIN,PIN ng cashier
Cashier PIN saved successfully.,Matagumpay na na-save ang cashier PIN.
Cashiers,Mga cashier
Cashier-wise,Cashier-wise
Categories,Mga kategorya
Category,Kategorya
Category / Brand / Variant Report,Ulat ng Kategorya / Brand / Variant
Category-wise,Category-wise
Category-wise Margin,Margin ayon sa kategorya
Certificate,Sertipiko
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Nawawala o hindi pinagkakatiwalaan ang sertipiko. Maaaring magpakita ang QZ ng mga dialog ng kumpirmasyon.
Certificate is trusted. Silent QZ printing is active.,Ang sertipiko ay pinagkakatiwalaan. Aktibo ang silent QZ printing.
Change,Baguhin
Change allocation repaired,Naayos ang alokasyon ng pagbabago
Change Price,Baguhin ang Presyo
Change Return,Baguhin ang Pagbabalik
Change Returned,Ibinalik ang Pagbabago
Change terminal cashier,Baguhin ang terminal cashier
Charge Heads,Mga Ulo ng Pagsingil
Charges,Mga singil
Charges not found,Hindi nakita ang mga singil
Check Balance,Suriin ang Balanse
Check balance for any card. Supervisors can issue and top up cards here.,Suriin ang balanse para sa anumang card. Ang mga superbisor ay maaaring mag-isyu at mag-top up ng mga card dito.
Check balance only,Suriin ang balanse lamang
Check for new commits,Tingnan kung may mga bagong commit
Check for Updates,Tingnan ang Mga Update
Check live balance before applying redemption,Suriin ang live na balanse bago mag-apply ng redemption
Check live balance before redemption,Suriin ang live na balanse bago i-redeem
Checking...,Sinusuri...
Cheque/Reference Date,Petsa ng tseke/Sanggunian
Cheque/Reference No,Tsek/Reference No
Choose the cashier currently operating this terminal.,Piliin ang cashier na kasalukuyang nagpapatakbo ng terminal na ito.
City,lungsod
Clear,Maaliwalas
Clear All,I-clear ang Lahat
Clear all barcode items,I-clear ang lahat ng barcode item
Clear all purchase order items,I-clear ang lahat ng item ng purchase order
Clear Search,I-clear ang Paghahanap
Clearing local cache...,Ni-clear ang lokal na cache...
Click to refresh,I-click upang i-refresh
Client CPU Lag:,Lag ng CPU ng kliyente:
Client Memory Usage:,Paggamit ng Memorya ng Kliyente:
Client Metrics,Mga Sukatan ng Kliyente
Close about dialog,Isara ang tungkol sa dialog
Close cashier switcher,Isara ang cashier switcher
Close closing shift dialog,Isara ang dialog ng pagsasara ng shift
Close column selector,Isara ang tagapili ng hanay
Close Dialog,Isara ang Dialog
Close drafts dialog,Isara ang dialog ng mga draft
Close invoice details dialog,Isara ang dialog ng mga detalye ng invoice
Close invoice management,Isara ang pamamahala ng invoice
Close offline invoices dialog,Isara ang dialog ng mga offline na invoice
Close packing list dialog,Isara ang dialog ng listahan ng packing
Close returns dialog,Isara ang dialog ng pagbabalik
Close sales orders dialog,Isara ang dialog ng mga order sa pagbebenta
Close Scanner,Isara ang Scanner
Close scanner dialog,Isara ang dialog ng scanner
Close Settings,Isara ang Mga Setting
Closing Amount,Halaga ng pagsasara
Closing POS Shift,Isinasara ang POS Shift
Closing Snapshot Available,Available ang Closing Snapshot
Code,Code
Code scanned successfully,Matagumpay na na-scan ang code
COGS,COGS
Collapse item details,I-collapse ang mga detalye ng item
Collected,Nakolekta
Cols,Sinabi ni Cols
Columns,Mga hanay
commits,nangangako
Completed and active sales in this range,Nakumpleto at aktibong mga benta sa hanay na ito
Completed returns will appear here.,Lalabas dito ang mga nakumpletong pagbabalik.
Confirm,Kumpirmahin
Confirm Close,Kumpirmahin ang Isara
Confirm Mobile Number,Kumpirmahin ang Numero ng Mobile
Confirm PIN,Kumpirmahin ang PIN
Connect,Kumonekta
Connect printer and manage certificate,Ikonekta ang printer at pamahalaan ang certificate
Connecting to QZ Tray...,Kumokonekta sa QZ Tray...
Connection problem while submitting invoice,Problema sa koneksyon habang nagsusumite ng invoice
Connections:,Mga koneksyon:
Connectivity and cached prerequisite status were rechecked.,Ang pagkakakonekta at naka-cache na prerequisite na katayuan ay muling sinuri.
Continue Editing,Ipagpatuloy ang Pag-edit
Could not fetch latest balance from server,Hindi makuha ang pinakabagong balanse mula sa server
Count,Bilangin
Country,Bansa
Coupon,Kupon
Coupons,Mga kupon
Cover,Takpan
CPU Cores:,Mga CPU Core:
Create,Lumikha
Create and load a new prepaid card,Gumawa at mag-load ng bagong prepaid card
Create and preload a new gift card,Gumawa at mag-preload ng bagong gift card
Create Bill,Lumikha ng Bill
Create Customer,Lumikha ng Customer
Create New Item,Lumikha ng Bagong Item
Create or change your PIN,Gumawa o baguhin ang iyong PIN
Create PIN,Lumikha ng PIN
Create POS Opening Shift,Lumikha ng POS Opening Shift
Create Purchase Order,Lumikha ng Purchase Order
Create Return,Lumikha ng Pagbabalik
Create return from invoice,Lumikha ng pagbabalik mula sa invoice
Create Supplier,Lumikha ng Supplier
Credit and Output,Credit at Output
Credit Note,Credit Note
Credit Outstanding,Credit Outstanding
Credit sales remaining to be collected,Ang natitirang mga benta ng kredito ay kolektahin
Critical,Kritikal
Currency,Pera
Current,Kasalukuyan
Current Event Loop Lag:,Kasalukuyang Event Loop Lag:
Current Month,Kasalukuyang Buwan
Current PIN,Kasalukuyang PIN
Current Profile,Kasalukuyang Profile
Current redeemable value on the gift card,Kasalukuyang nare-redeem na halaga sa gift card
Current User,Kasalukuyang Gumagamit
Custom,Custom
Custom Due Days,Custom na Takdang Araw
Custom items per page,Mga custom na item sa bawat page
Customer,Customer
Customer already selected,Napili na ang customer
Customer Balance,Balanse ng Customer
Customer balance unavailable offline,Hindi available offline ang balanse ng customer
Customer created successfully.,Matagumpay na nagawa ang customer.
Customer creation failed.,Nabigo ang paggawa ng customer.
Customer Details,Mga Detalye ng Customer
Customer display channel is missing,Nawawala ang channel ng display ng customer
Customer display was blocked. Please allow pop-ups for this site.,Na-block ang display ng customer. Mangyaring payagan ang mga pop-up para sa site na ito.
Customer group is required,Kinakailangan ang pangkat ng customer
Customer is required to add payment,Kinakailangan ng customer na magdagdag ng bayad
Customer Name is required,Kinakailangan ang Pangalan ng Customer
Customer not selected,Hindi napili ang customer
Customer Report,Ulat ng Customer
Customer saved offline,Na-save ang customer offline
Customer Screen,Screen ng Customer
Customer territory is required,Kinakailangan ang teritoryo ng customer
Customer updated successfully.,Matagumpay na na-update ang customer.
Customer-facing tools and printer setup.,Mga tool na nakaharap sa customer at setup ng printer.
Customers,Mga customer
Customers not found,Hindi nahanap ang mga customer
Daily cashier actions without scrolling.,Araw-araw na pagkilos ng cashier nang walang pag-scroll.
Daily Sales,Araw-araw na Benta
Daily Sales Summary,Pang-araw-araw na Buod ng Benta
Data loaded in form. Review and submit.,Na-load ang data sa form. Suriin at isumite.
Database Health,Kalusugan ng Database
Database health affects overall system speed and reliability.,Ang kalusugan ng database ay nakakaapekto sa pangkalahatang bilis at pagiging maaasahan ng system.
Database Info,Impormasyon sa Database
Date,Petsa
Day ?,Araw ?
days,araw
Day-wise (MTD),Day-wise (MTD)
Day-wise Movement,Day-wise Movement
Dead Stock,Patay na Stock
Dead Stock Items,Patay na Stock Items
Decrease quantity,Bawasan ang dami
Default,Default
Default:,Default:
Delete,Tanggalin
Delete cancelled cash movement {0}?,Tanggalin ang nakanselang paggalaw ng pera {0}?
Delete Draft,Tanggalin ang Draft
Delete draft invoice,Tanggalin ang draft na invoice
Delete draft invoice {0}?,Tanggalin ang draft na invoice {0}?
Delete Invoice,Tanggalin ang Invoice
Delete offline invoice,Tanggalin ang offline na invoice
Delivered,Naihatid
Delivery Charges,Mga Singil sa Paghahatid
Delivery Information,Impormasyon sa Paghahatid
Delivery Note {0} created,Nagawa ang Delivery Note {0}.
Delivery note created,Nagawa ang tala sa paghahatid
Deployed Bundle:,Na-deploy na Bundle:
Deposit,Deposito
Description,Paglalarawan
Detailed Supplier Breakdown,Detalyadong Pagkakasira ng Supplier
Detecting formats:,Pagtukoy sa mga format:
Device Memory:,Memorya ng Device:
Difference,Pagkakaiba
Difference (In Company Currency),Pagkakaiba (Sa Currency ng Kumpanya)
Disable offline mode first to recheck live connectivity.,I-disable muna ang offline mode para suriing muli ang live na koneksyon.
Disconnect,Idiskonekta
discount,diskwento
Discount %,% ng diskwento
Discount / Void / Return Report,Discount / Void / Return Report
Discount Amount,Halaga ng Diskwento
Discount limited by POS Profile,Limitado ang diskwento ng POS Profile
Discounted Invoices,Mga May Diskwentong Invoice
Discounts,Mga diskwento
Dismiss,I-dismiss
Download Certificate,I-download ang Sertipiko
Draft,Draft
Draft invoice deleted,Tinanggal ang draft na invoice
Draft source,Pinagmulan ng draft
Drafts,Mga draft
Due {0},Nakatakdang {0}
Due Date,Takdang Petsa
Duplicate,Duplicate
Edit customer,I-edit ang customer
Edit discount amount,I-edit ang halaga ng diskwento
Edit discount percentage,I-edit ang porsyento ng diskwento
Edit Gift Application,I-edit ang Application ng Regalo
Edit item name,I-edit ang pangalan ng item
Edit quantity,I-edit ang dami
Edit rate,I-edit ang rate
Edit unit of measure,I-edit ang yunit ng sukat
Edited,Na-edit
Employee,Empleyado
Enable background sync,Paganahin ang pag-sync sa background
Enable Customer Display in POS Profile first.,Paganahin muna ang Customer Display sa POS Profile.
Enter a PIN.,Maglagay ng PIN.
Enter a valid grams value,Maglagay ng wastong halaga ng gramo
Enter new price list rate,Maglagay ng bagong rate ng listahan ng presyo
Enter Quantity,Ipasok ang Dami
Enter the cashier PIN to continue.,Ilagay ang cashier PIN upang magpatuloy.
Enter the current PIN first.,Ilagay muna ang kasalukuyang PIN.
"Enter the current PIN, then choose a new one.","Ilagay ang kasalukuyang PIN, pagkatapos ay pumili ng bago."
Enter valid grams for scale barcode,Maglagay ng wastong gramo para sa scale barcode
Entries,Mga entry
Error accessing camera:,Error sa pag-access sa camera:
Error calculating prices,Error sa pagkalkula ng mga presyo
Error fetching customer balance,Error sa pagkuha ng balanse ng customer
Error in change calculations!,Error sa mga kalkulasyon ng pagbabago!
Error Loading Data,Error sa Paglo-load ng Data
Error loading invoice details,Error sa paglo-load ng mga detalye ng invoice
Error processing invoice,Error sa pagproseso ng invoice
Error processing payment,Error sa pagproseso ng pagbabayad
Error searching invoices,Error sa paghahanap ng mga invoice
Error submitting invoice:,Error sa pagsusumite ng invoice:
Error submitting invoice: {0},Error sa pagsusumite ng invoice: {0}
Error submitting invoice: No response from server,Error sa pagsusumite ng invoice: Walang tugon mula sa server
Error updating currency,Error sa pag-update ng pera
Error updating item details,Error sa pag-update ng mga detalye ng item
Est. Purchase,Est. Bumili
Est. Value,Est. Halaga
Event-loop lag measures how busy your browser is. Lower is better.,Sinusukat ng event-loop lag kung gaano ka-busy ang iyong browser. Mas mabuti ang ibaba.
Every,Bawat
Exchange Rate,Exchange Rate
Expand item details,Palawakin ang mga detalye ng item
Expected Amount (In Company Currency),Inaasahang Halaga (Sa Currency ng Kumpanya)
Expected Cash,Inaasahang Cash
Expected cash on hand grouped by currency,Inaasahang cash sa kamay na nakapangkat ayon sa currency
Expected vs Actual,Inaasahan vs Aktwal
Expense,Gastos
Expense Account (Optional Override),Expense Account (Opsyonal na Pag-override)
Expense account is required.,Kinakailangan ang account ng gastos.
Expenses and deposits posted during this shift,Mga gastos at deposito na nai-post sa shift na ito
Expired,Nag-expire na
Failed to auto reconcile payments.,Nabigong i-auto reconcile ang mga pagbabayad.
Failed to cancel cash movement,Nabigong kanselahin ang paggalaw ng pera
Failed to clear cache,Nabigong i-clear ang cache
Failed to create item,Nabigong gumawa ng item
Failed to create supplier,Nabigong gumawa ng supplier
Failed to delete cash movement,Nabigong tanggalin ang paggalaw ng pera
Failed to generate scale barcode. Using item barcode only.,Nabigong bumuo ng scale barcode. Gamit lang ang item barcode.
Failed to load cash movement context.,Nabigong i-load ang konteksto ng paggalaw ng pera.
Failed to load dashboard data.,Nabigong i-load ang data ng dashboard.
Failed to reload invoice from server,Nabigong i-reload ang invoice mula sa server
Failed to submit cash movement,Nabigong magsumite ng cash movement
Failed to sync offline cash movements,Nabigong i-sync ang mga offline na paggalaw ng pera
Fast cashier actions for active shifts.,Mabilis na pagkilos ng cashier para sa mga aktibong shift.
Fast Moving Items,Mabilis na Gumagalaw na Mga Item
Fees,Mga bayarin
Fetch the latest offline prerequisite updates,Kunin ang pinakabagong mga update sa offline na kinakailangan
Find a sales order quickly and load it into the current sale.,Maghanap ng isang order sa pagbebenta nang mabilis at i-load ito sa kasalukuyang benta.
Fixing payment amounts for return invoice...,Pag-aayos ng mga halaga ng pagbabayad para sa return invoice...
Flash Off,Flash Off
Flash On,Naka-on ang Flash
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Para sa 'Product Bundle' item, Warehouse, Serial No at Batch No ay isasaalang-alang mula sa talahanayan ng 'Packing List'. Kung ang Warehouse at Batch No ay pareho para sa lahat ng packing item para sa anumang 'Product Bundle' na item, ang mga value na iyon ay maaaring ilagay sa main Item table; ang mga halaga ay makokopya sa talahanayan ng 'Packing List'."
Free,Libre
Free Qty,Libreng Qty
Frequency,Dalas
from,mula sa
From Date,Mula sa Petsa
Fulfillment Details,Mga Detalye ng Katuparan
Full Name,Buong Pangalan
Gain,Makakuha
Generate a fresh prepaid card and start it with an opening balance.,Bumuo ng bagong prepaid card at simulan ito sa pagbubukas ng balanse.
