POS Awesome,POS Galing
Processing payment entries for Invoice {0},Pinoproseso ang mga entry sa pagbabayad para sa Invoice {0}
Profile,Profile
Profiles,Mga profile
Profit,Kita
Profit: Invoice Item Estimate,Kita: Pagtantya ng Item ng Invoice
Profit: Stock Ledger (COGS),Kita: Stock Ledger (COGS)
Profitability Report,Ulat sa kakayahang kumita
Prorated return discount,Prorated na diskwento sa pagbabalik
Purchase Amount,Halaga ng Binili
Purchase Invoices,Bumili ng Mga Invoice
Purchase Order created,Nagawa ang Purchase Order
Qty,Qty
Qualified,Kwalipikado
Quantity,Dami
Quantity exceeds available stock,Ang dami ay lumampas sa available na stock
Quick Actions,Mabilis na Aksyon
Quotation {0} is Submitted,Ang panipi {0} ay isinumite
Quotation submitted,Naisumite ang panipi
QZ Tray connected.,Nakakonekta ang QZ Tray.
QZ Tray is manually disconnected. Press Connect to enable it again.,Ang QZ Tray ay manu-manong nadiskonekta. Pindutin ang Connect para paganahin itong muli.
QZ Tray is not connected.,Hindi nakakonekta ang QZ Tray.
QZ Tray Setup,Pag-setup ng QZ Tray
Rate,Rate
Rate adjusted to maximum allowed discount,Isinasaayos ang rate sa maximum na pinapayagang diskwento
Ready,handa na
Ready to resume,Handa nang ipagpatuloy
Ready!,handa na!
Real-time POS insights for retail operations.,Mga real-time na insight sa POS para sa mga retail na operasyon.
Rebuild Offline Data,Muling Buuin ang Offline na Data
Receive,Tumanggap
Receive now,Tumanggap ngayon
Received,Natanggap
Received:,Natanggap:
Recent Movement Entries,Mga Kamakailang Movement Entry
Recent updates about your invoices,Mga kamakailang update tungkol sa iyong mga invoice
Recently Active Customers,Mga Aktibong Customer kamakailan
Rechecking connection,Sinusuri muli ang koneksyon
Reconcile payment methods and close shift,I-reconcile ang mga paraan ng pagbabayad at isara ang shift
Reconciling Payments,Pagkakasundo sa mga Pagbabayad
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Muling kumonekta at buksan ang page na ito nang isang beses habang online, pagkatapos ay maibabalik ito ng mga offline na pag-refresh."
Reconnect online to refresh cached offline data from the server.,Kumonekta muli online upang i-refresh ang naka-cache na offline na data mula sa server.
Recreate local offline prerequisites from scratch,Muling likhain ang mga lokal na offline na kinakailangan mula sa simula
Recv:,Recv:
Redeem,Tubusin
Redeem / Scan,I-redeem / I-scan
Redeem Amount,I-redeem ang Halaga
Redeem Mode,I-redeem ang Mode
Redeemed Amount,Na-redeem na Halaga
Redeemed credit cannot be greater than its total.,Ang na-redeem na credit ay hindi maaaring mas malaki kaysa sa kabuuan nito.
Redemption and Totals,Pagtubos at Kabuuan
Reference,Sanggunian
Refresh,I-refresh
Refresh Exchange Rate,I-refresh ang Exchange Rate
Refresh Offline Data,I-refresh ang Offline na Data
Refresh Printers,I-refresh ang Mga Printer
Refund,Refund
Release Notes,Mga Tala sa Paglabas
Reload,I-reload
Reload customers,I-reload ang mga customer
Reload Items,I-reload ang Mga Item
Reload Now,I-reload Ngayon
Reload to apply the latest changes. Your current session will be refreshed.,I-reload upang ilapat ang mga pinakabagong pagbabago. Ire-refresh ang iyong kasalukuyang session.
Reload Workflow,I-reload ang Daloy ng Trabaho
Remarks,Remarks
Remarks are required.,Kinakailangan ang mga puna.
Remove,Alisin
Remove barcode item,Alisin ang barcode item
Remove cached data and reload the POS app,Alisin ang naka-cache na data at i-reload ang POS app
Remove item,Alisin ang item
Remove Offer,Alisin ang Alok
Reorder / Purchase Suggestions,Muling pagkakaayos / Mga Mungkahi sa Pagbili
Repair Candidate,Kandidato sa Pag-aayos
Repair Change Allocation,Ayusin ang Paglalaan ng Pagbabago
Repair requires an online connection,Ang pag-aayos ay nangangailangan ng online na koneksyon
Repaired,Inayos
Repairing change allocation,Pag-aayos ng alokasyon ng pagbabago
Repeat Customers,Ulitin ang mga Customer
Repeat Rate,Ulitin ang Rate
Request,Kahilingan
Request ID: {0},Request ID: {0}
Request Payment,Humiling ng Pagbabayad
Requested route: {0},Hiniling na ruta: {0}
Required columns cannot be hidden,Hindi maitatago ang mga kinakailangang column
Reset,I-reset
Reset item name,I-reset ang pangalan ng item
Reset to Default,I-reset sa Default
Resource Health,Resource Health
Restricted,Pinaghihigpitan
Restricted operational controls for supervisors only.,Mga pinaghihigpitang kontrol sa pagpapatakbo para sa mga superbisor lamang.
Retry,Subukan muli
Retry route,Subukang muli ang ruta
Return,Bumalik
Return Amount,Ibalik ang Halaga
Return Count,Bilang ng Pagbabalik
Return items must have negative quantities,Ang mga ibinalik na item ay dapat na may negatibong dami
Return total must be negative,Dapat na negatibo ang kabuuang ibinalik
Return Valid Until,Ibalik ang Wasto Hanggang
Return window passed,Lumipas ang window ng pagbalik
Return without Invoice,Bumalik nang walang Invoice
Returns,Nagbabalik
Returns / Voids / Discounts,Mga Pagbabalik / Voids / Mga Diskwento
Returns by Currency,Ibinabalik ayon sa Currency
Revenue,Kita
Review shift totals before submitting the closing entry,Suriin ang mga kabuuan ng shift bago isumite ang pagsasara ng entry
Round Off,Round Off
Rows,Mga hilera
Rows:,Mga hilera:
Rule,Panuntunan
Sale,Sale
Sales,Benta
Sales Order {0} is Submitted,Ang Sales Order {0} ay Isinumite
Sales Person and Print,Sales Person at Print
Sales Person not found,Hindi nahanap ang Sales Person
Sales processed,Naproseso ang mga benta
Sales Return,Pagbabalik ng Benta
Sales Trend Report,Ulat ng Trend ng Pagbebenta
Save,I-save
Save & Clear,I-save at I-clear
Save as POS Profile Default,I-save bilang POS Profile Default
Save Settings,I-save ang Mga Setting
Save the selected printer as the POS Profile default so it shows automatically on this setup.,I-save ang napiling printer bilang default na POS Profile upang awtomatiko itong magpakita sa setup na ito.
Saved as draft because: {0},Na-save bilang draft dahil: {0}
Saving...,Nagse-save...
Scale barcode detected. Quantity here is the number of labels to print.,Natukoy ang scale ng barcode. Ang dami dito ay ang bilang ng mga label na ipi-print.
Scale barcode settings are not configured. Using item barcode only.,Hindi naka-configure ang mga setting ng scale ng barcode. Gamit lang ang item barcode.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Nawawala ang barcode ng template ng scale para sa item/UOM na ito. Gamit lang ang item barcode.
Scan an existing card and top it up without leaving the payment flow.,Mag-scan ng umiiral nang card at itaas ito nang hindi umaalis sa daloy ng pagbabayad.
Scan Error,Error sa Pag-scan
Scan or enter a gift card code to check balance or redeem.,Mag-scan o maglagay ng code ng gift card para tingnan ang balanse o i-redeem.
Scan or paste the card code below.,I-scan o i-paste ang card code sa ibaba.
Scan QR Code/Barcode,I-scan ang QR Code/Barcode
Scan with camera,I-scan gamit ang camera
Scan-First Flow,Scan-Unang Daloy
Scanned Code:,Na-scan na Code:
Scanning for: {0},Nag-scan para sa: {0}
Scanning items,Pag-scan ng mga item
Scan-Ready,I-scan-Handa
Scope,Saklaw
Scope: All Profiles,Saklaw: Lahat ng Profile
Scope: Current Profile,Saklaw: Kasalukuyang Profile
Scope: Specific Profile,Saklaw: Tukoy na Profile
Search,Maghanap
Search Account,Maghanap ng Account
Search an invoice and continue the return flow without extra steps.,Maghanap ng invoice at ipagpatuloy ang daloy ng pagbabalik nang walang karagdagang hakbang.
Search customer,Maghanap ng customer
Search invoices or customers,Maghanap ng mga invoice o customer
Search item,Maghanap ng item
Search item / code,Maghanap ng item / code
Search items or barcode,Maghanap ng mga item o barcode
Search Mpesa Payments,Maghanap ng Mga Pagbabayad sa Mpesa
Search return invoices or customers,Maghanap ng mga return invoice o mga customer
Search supplier,Maghanap ng supplier
Search unpaid invoices or customers,Maghanap ng mga hindi nabayarang invoice o mga customer
Secure context (HTTPS or localhost) is required for camera access.,Ang secure na konteksto (HTTPS o localhost) ay kinakailangan para sa pag-access sa camera.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Kinakailangan ang secure na konteksto (HTTPS) para sa pag-access sa camera. Mangyaring gamitin ang HTTPS upang ma-access ang camera.
Select,Pumili
Select a cashier first.,Pumili muna ng cashier.
Select a customer,Pumili ng customer
Select a customer to use coupon,Pumili ng customer na gagamiting kupon
Select a printer to use QZ silent printing.,Pumili ng printer na gagamitin ang QZ silent printing.
Select Batch,Piliin ang Batch
Select Columns to Display,Piliin ang Mga Column na Ipapakita
Select items to sell,Pumili ng mga bagay na ibebenta
Select Payment,Piliin ang Pagbabayad
Select Payment Account,Piliin ang Account sa Pagbabayad
Select printer,Pumili ng printer
Select Return Invoice,Piliin ang Ibalik ang Invoice
Select S.O,Piliin ang S.O
Select Sales Orders,Piliin ang Mga Sales Order
Select the cashier who is taking over this terminal.,Piliin ang cashier na kukuha sa terminal na ito.
Selected,Napili
Selected movement type is not allowed by POS Profile.,Ang napiling uri ng paggalaw ay hindi pinapayagan ng POS Profile.
Selected Payments,Mga Piniling Pagbabayad
Sensitive actions kept away from quick taps.,Ang mga sensitibong pagkilos ay iniiwasan mula sa mabilis na pag-tap.
Serial,Serial
Serial Numbers,Mga Serial Number
Server CPU Usage:,Paggamit ng CPU ng Server:
Server Health,Kalusugan ng Server
Server Memory Usage:,Paggamit ng Memorya ng Server:
Server Metrics,Mga Sukatan ng Server
Server Uptime:,Uptime ng Server:
Service Charges,Mga Bayad sa Serbisyo
Session,Sesyon
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Itakda ang bawat cashier PIN sa User form at panatilihin ang mga miyembro ng terminal na nakatalaga sa POS Profile User.
Settings,Mga setting
Settings in this section update the POS workspace without changing the current route.,Ang mga setting sa seksyong ito ay nag-a-update sa POS workspace nang hindi binabago ang kasalukuyang ruta.
Setup complete!,Kumpleto na ang setup!
Share,Ibahagi
Shared terminal,Nakabahaging terminal
Shift Closed Snapshot,Shift Closed Snapshot
Shift Overview,Pangkalahatang-ideya ng Shift
Show,Ipakita
Show cart on customer-facing screen,Ipakita ang cart sa screen na nakaharap sa customer
Show last invoice rate,Ipakita ang huling rate ng invoice
Show rate info,Ipakita ang impormasyon ng rate
Show Repair Candidates,Ipakita ang mga Kandidato sa Pag-aayos
Show search tools,Ipakita ang mga tool sa paghahanap
Show the active cart on a customer-facing screen,Ipakita ang aktibong cart sa isang screen na nakaharap sa customer
Showing {0}-{1} of {2},Ipinapakita ang {0}-{1} ng {2}
Showing 0 of 0,Ipinapakita ang 0 ng 0
Shows the distribution of invoices per currency,Ipinapakita ang pamamahagi ng mga invoice bawat currency
Sign out of the current POS session,Mag-sign out sa kasalukuyang POS session
Size:,Sukat:
Skipped Payments,Nilaktawan ang mga Pagbabayad
Skipping items without barcodes,Nilaktawan ang mga item nang walang barcode
Slow Moving,Mabagal na Gumagalaw
Slow Moving Items,Mga Bagay na Mabagal na Gumagalaw
Slow Queries:,Mabagal na Mga Tanong:
Sold,Nabenta
Source,Pinagmulan
Source Cash Account (Optional Override),Source Cash Account (Opsyonal na Pag-override)
Source Ex. Rate:,Pinagmulan Hal. Rate:
Source Rate:,Rate ng Pinagmulan:
Specific Profile,Tukoy na Profile
Split Invoices,Hatiin ang Mga Invoice
Staff / Cashier Performance Report,Ulat sa Pagganap ng Staff / Cashier
Status,Katayuan
Stock,Stock
Stock Information,Impormasyon ng Stock
Stock is lower than requested,Ang stock ay mas mababa kaysa sa hiniling
Stock is lower than requested:\n{0},Mas mababa ang stock kaysa sa hiniling:\n{0}
Stock Movement Report,Ulat sa Paggalaw ng Stock
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Pag-update ng stock: {0} ay may {1} na available. Ang pagdaragdag ng {2} ay magdadala sa stock sa ibaba ng zero.
Submit,Isumite
Submit & Print,Isumite at I-print
Submit Deposit,Magsumite ng Deposito
Submit Expense,Isumite ang Gastos
Submitted,Naisumite
Submitted Cash Movements,Nagsumite ng Cash Movements
Submitted entries,Nagsumite ng mga entry
Successfully scanned:,Matagumpay na na-scan:
Suggested,Iminungkahi
Suggested Qty,Iminungkahing Qty
Supervisor Access,Access ng Superbisor
Supervisor permissions unlock issuance and reloads,Ang mga pahintulot ng superbisor ay nag-a-unlock ng pagpapalabas at pag-reload
Supervisor Tools,Mga Tool ng Superbisor
Supplier,Supplier
Supplier and dates are required.,Kinakailangan ang supplier at mga petsa.
Supplier Invoices,Mga Invoice ng Supplier
Supplier is required.,Kinakailangan ang supplier.
Supplier name is required,Kinakailangan ang pangalan ng supplier
Supplier Payments,Mga Pagbabayad ng Supplier
Supplier Purchase Summary,Buod ng Pagbili ng Supplier
Suppliers,Mga supplier
Suppliers not found,Hindi nahanap ang mga supplier
Switch Camera,Lumipat ng Camera
Switch Cashier,Lumipat ng Cashier
Switch the POS appearance theme,Ilipat ang tema ng hitsura ng POS
Switched to:,Lumipat sa:
Sync All Invoices,I-sync ang Lahat ng Invoice
Sync Offline Cash Movements ({0}),I-sync ang Offline Cash Movements ({0})
Sync Offline Sales,I-sync ang Offline Sales
Synced {0} offline cash movement(s).,Naka-sync na {0} (mga) offline na paggalaw ng cash.
Syncing items in background,Sini-sync ang mga item sa background
System / Diagnostics,System / Diagnostics
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Ang mga pagkilos ng system ay mga kontrol sa pagpapanatili na mababa ang dalas gaya ng impormasyon ng app, mga diagnostic ng suporta, at mga kontrol sa session."
System Information,Impormasyon ng System
System Status,Katayuan ng System
Tables:,Mga talahanayan:
Tap the button below to redeem a gift card during checkout.,I-tap ang button sa ibaba para mag-redeem ng gift card habang nag-checkout.
Target,Target
Target Ex. Rate:,Target Hal. Rate:
Target Rate:,Target na Rate:
Tax,Buwis
Tax / Charges Report,Ulat sa Buwis / Mga Singil
Tax Heads,Mga Pinuno ng Buwis
Taxable Amount,Halaga na Nabubuwisan
Tendered,Binigay
Terminal,Terminal
Terminal & Devices,Terminal at Mga Device
Terminal locked,Naka-lock ang terminal
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Nakakaapekto ang mga terminal tool sa checkout station na ito, mga display na nakaharap sa customer, at mga kontrol sa printer/device sa hinaharap."
Territory not found,Hindi natagpuan ang teritoryo
The amount paid is not complete,Hindi kumpleto ang halagang binayaran
The app stores data locally for offline use. This is called cache.,Ang app ay nag-iimbak ng data nang lokal para sa offline na paggamit. Ito ay tinatawag na cache.
The invoice stayed in draft. Please review and submit it manually.,Ang invoice ay nanatili sa draft. Mangyaring suriin at isumite ito nang manu-mano.
The maximum discount allowed is,Ang maximum na diskwento na pinapayagan ay
The quantity for {0} has been adjusted to the maximum available stock.,Ang dami para sa {0} ay naayos sa maximum na magagamit na stock.
The system could not retrieve the item details. Please try again.,Hindi makuha ng system ang mga detalye ng item. Pakisubukang muli.
These invoices will be synced when connection is restored,Ang mga invoice na ito ay isi-sync kapag naibalik ang koneksyon
This action now opens inside the settings workspace.,Ang aksyon na ito ay bubukas na ngayon sa loob ng mga setting ng workspace.
This coupon already used !,Nagamit na ang kupon na ito!
This invoice does not need change-allocation repair,Ang invoice na ito ay hindi nangangailangan ng pagbabago-allocation repair
This invoice is already repaired,Ang invoice na ito ay naayos na
This is an item template. Please choose a variant.,Ito ay isang template ng item. Mangyaring pumili ng variant.
this item,ang item na ito
This POS page could not be opened offline because its code was not cached on this terminal yet.,Ang pahina ng POS na ito ay hindi mabuksan offline dahil ang code nito ay hindi pa naka-cache sa terminal na ito.
This Serial Number {0} has already been added!,Itong Serial Number {0} ay naidagdag na!
Threshold,Threshold
Time,Oras
Tip: Clear cache regularly to free up space and keep the app fast.,Tip: I-clear ang cache nang regular upang magbakante ng espasyo at panatilihing mabilis ang app.
Tip: Close unused tabs or apps to reduce lag.,Tip: Isara ang mga hindi nagamit na tab o app para mabawasan ang lag.
Tip: Monitor slow queries and table size for optimal performance.,Tip: Subaybayan ang mabagal na mga query at laki ng talahanayan para sa pinakamainam na pagganap.
To Be Paid,Babayaran
To Date,Upang Date
Today,Ngayong araw
Today Profit,Ngayong Kita
Today Sales,Sales ngayon
Toggle navigation drawer,I-toggle ang navigation drawer
Toggle Theme,I-toggle ang Tema
Tools,Mga kasangkapan
Tools for customer-facing screens and terminal-specific actions.,Mga tool para sa mga screen na nakaharap sa customer at mga pagkilos na tukoy sa terminal.
Top Brand,Nangungunang Brand
Top Category,Nangungunang Kategorya
Top Charge Head,Top Charge Head
Top Customers,Mga Nangungunang Customer
Top Discount,Nangungunang Diskwento
Top Items by Location,Nangungunang Mga Item ayon sa Lokasyon
Top Margin,Nangungunang Margin
Top Pending,Nangungunang Nakabinbin
Top Profit Item,Nangungunang Profit Item
Top Return Items,Mga Nangungunang Ibinalik na Item
Top Sales by Cashier,Nangungunang Benta ng Cashier
Top Supplier,Nangungunang Supplier
Top Suppliers by Spend,Mga Nangungunang Supplier ayon sa Paggastos
Top Tables,Mga Top Table
Top Tax Head,Nangungunang Tax Head
Top Up Amount,Halaga ng Top Up
Top Up Card,Top Up Card
Top Up Mode,Top Up Mode
Top Variant,Nangungunang Variant
Total,Kabuuan
Total Amount,Kabuuang Halaga
Total Change,Kabuuang Pagbabago
Total Charges,Kabuuang Singil
Total In,Kabuuang In
Total Invoices,Kabuuang Mga Invoice
Total Items,Kabuuang Mga Item
Total Mpesa,Kabuuang Mpesa
Total Out,Total Out
Total Payments,Kabuuang mga Pagbabayad
Total Purchase,Kabuuang Pagbili
Total Selected :,Kabuuang Pinili :
Total Size,Kabuuang Sukat
Total Stock Qty,Kabuuang Stock Qty
Total:,Kabuuan:
Totals by Invoice Currency,Mga Kabuuan ayon sa Invoice Currency
Track how much cash was handed back to customers,Subaybayan kung gaano karaming pera ang naibalik sa mga customer
"Track recent sales, collect unpaid balances, and reopen saved work","Subaybayan ang mga kamakailang benta, mangolekta ng mga hindi nabayarang balanse, at muling buksan ang na-save na trabaho"
Transaction ID,ID ng Transaksyon
Transfer,Paglipat
Try a different search term or clear the cart search.,Subukan ang ibang termino para sa paghahanap o i-clear ang paghahanap sa cart.
Try adjusting your search or filters,Subukang ayusin ang iyong paghahanap o mga filter
Try another source or refresh the list.,Subukan ang ibang pinagmulan o i-refresh ang listahan.
Try changing the date range or status filter.,Subukang baguhin ang hanay ng petsa o filter ng katayuan.
Type,Uri
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Hindi ma-access ang camera kahit na may mga pangunahing setting. Pakisuri ang iyong mga pahintulot sa camera at compatibility ng device.
Unable to add offer item {0}. Please refresh and try again.,Hindi maidagdag ang item ng alok {0}. Mangyaring i-refresh at subukang muli.
Unable to add offer item. Please refresh and try again.,Hindi maidagdag ang alok na item. Mangyaring i-refresh at subukang muli.
Unable to add scanned item.,Hindi maidagdag ang na-scan na item.
Unable to create purchase order,Hindi makagawa ng purchase order
Unable to delete draft invoice,Hindi matanggal ang draft na invoice
Unable to fetch documents,Hindi makuha ang mga dokumento
Unable to fetch draft orders,Hindi makuha ang mga draft na order
Unable to fetch invoice history,Hindi makuha ang history ng invoice
Unable to fetch M-Pesa payments,Hindi makuha ang mga pagbabayad sa M-Pesa
Unable to fetch sales orders,Hindi makuha ang mga order sa pagbebenta
Unable to fetch unpaid invoices,Hindi makuha ang mga hindi nabayarang invoice
Unable to generate scale barcode,Hindi makabuo ng scale barcode
Unable to issue gift card.,Hindi makapagbigay ng gift card.
Unable to load cashier PIN status.,Hindi ma-load ang katayuan ng cashier PIN.
Unable to load document,Hindi ma-load ang dokumento
Unable to load draft invoice,Hindi ma-load ang draft na invoice
Unable to load gift card balance.,Hindi ma-load ang balanse ng gift card.
Unable to load invoice details,Hindi ma-load ang mga detalye ng invoice
Unable to load parked order,Hindi ma-load ang naka-park na order
Unable to load the selected sales order,Hindi ma-load ang napiling sales order
Unable to prepare document,Hindi makapaghanda ng dokumento
Unable to prepare return invoice,Hindi makapaghanda ng return invoice
Unable to print draft invoice,Hindi makapag-print ng draft na invoice
Unable to print submitted invoice,Hindi ma-print ang isinumiteng invoice
Unable to process document action,Hindi maproseso ang pagkilos ng dokumento
Unable to repair change allocation,Hindi naayos ang alokasyon ng pagbabago
Unable to save cashier PIN.,Hindi ma-save ang cashier PIN.
Unable to save the rate to the backend price list,Hindi ma-save ang rate sa listahan ng presyo ng backend
Unable to submit invoice,Hindi makapagsumite ng invoice
Unable to submit the selected payment,Hindi maisumite ang napiling pagbabayad
Unable to top up gift card.,Hindi makapag-top up ng gift card.
Unable to verify cashier PIN.,Hindi ma-verify ang cashier PIN.
Unallocated,Hindi inilalaan
Unallocated:,Hindi inilalaan:
Unavailable,Hindi magagamit
Unknown,Hindi kilala
Unknown Item,Hindi Kilalang Item
Unknown Warehouse,Hindi kilalang Warehouse
Unlock POS,I-unlock ang POS
Unpaid,Walang bayad
"Unselected payments stay unallocated first, then auto reconcile after submit.","Ang mga hindi napiling pagbabayad ay mananatiling unallocated, pagkatapos ay awtomatikong magkasundo pagkatapos isumite."
UOM,UOM
UOM not found,Hindi natagpuan ang UOM
Update available,Available ang update
Update Customer,I-update ang Customer
Update PIN,I-update ang PIN
Update Price List Rate,I-update ang Rate ng Listahan ng Presyo
Updated,Na-update
Updates and app info that stay out of the cashier flow.,Mga update at impormasyon ng app na hindi kasama sa daloy ng cashier.
Updates automatically,Awtomatikong nag-a-update
Usage,Paggamit
Usage Stats,Mga Istatistika ng Paggamit
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Gumamit ng 4 hanggang 8 digit na PIN para sa paglipat ng cashier at pag-unlock ng terminal.
Use Cashier,Gumamit ng Cashier
Use date range to search for older invoices,Gamitin ang hanay ng petsa upang maghanap ng mga mas lumang invoice
"Use one field for manual code entry, barcode scans, or QR scans.","Gumamit ng isang field para sa manual code entry, barcode scan, o QR scan."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Gumamit ng isang daloy ng trabaho para sa mga pagsusuri sa balanse, bagong pagpapalabas, at mga top up nang hindi umaalis sa POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Gamitin ang seksyong ito kapag ang naka-cache na paunang kinakailangan na data ay nangangailangan ng pag-refresh, muling pagbuo, o pagsusuri sa diagnostic."
Use Western numerals,Gumamit ng Western numerals
Used:,Ginamit:
Using basic camera settings due to device limitations,Paggamit ng mga pangunahing setting ng camera dahil sa mga limitasyon ng device
Using cached customer balance,Gamit ang naka-cache na balanse ng customer
Valid until,May bisa hanggang
Variance %,Variance %
Variants,Mga variant
Variant-wise,Variant-wise
Verify closing amounts for each payment method,I-verify ang mga pagsasara ng halaga para sa bawat paraan ng pagbabayad
View all,Tingnan lahat
View app information and current build details,Tingnan ang impormasyon ng app at kasalukuyang mga detalye ng build
View Data Diagnostics,Tingnan ang Data Diagnostics
View Details,Tingnan ang mga Detalye
View invoice details,Tingnan ang mga detalye ng invoice
View notifications,Tingnan ang mga notification
View offline invoices,Tingnan ang mga offline na invoice
View restricted POS insights,Tingnan ang mga pinaghihigpitang insight sa POS
Void Amount,Walang bisang Halaga
Void Count,Void Count
Voids,Walang laman
Waiting for cart items,Naghihintay ng mga item sa cart
Waiting for payment...,Naghihintay ng bayad...
Walk-in Customer,Walk-in Customer
Warehouse,Warehouse
Warning: High cache usage may affect performance.,Babala: Ang mataas na paggamit ng cache ay maaaring makaapekto sa pagganap.
Warning: High lag may indicate heavy processing or browser slowness.,Babala: Ang mataas na lag ay maaaring magpahiwatig ng mabigat na pagproseso o pagbagal ng browser.
Week ?,Linggo ?
Week-wise,Linggo-wise
Weight (g),Timbang (g)
Weight (grams),Timbang (gramo)
We'll let you know if an invoice fails to submit,Ipapaalam namin sa iyo kung mabigong isumite ang isang invoice
Workflow,Daloy ng trabaho
Write off amount cannot exceed the POS profile maximum of {0},Ang halaga ng write off ay hindi maaaring lumampas sa maximum na POS profile na {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Lumagpas ang halaga ng write off sa pinapayagang limitasyon ({0}). Mangyaring magdagdag ng bayad para sa natitirang halaga.
Yes,Oo
"Yes, Cancel sale","Oo, Kanselahin ang pagbebenta"
"Yes, Close","Oo, Close"
You are not allowed to print draft invoices,Hindi ka pinapayagang mag-print ng mga draft na invoice
You are offline. Add Payment will work again when the connection is restored.,Offline ka. Gagana muli ang Add Payment kapag naibalik ang koneksyon.
You have no notifications right now,Wala kang mga notification sa ngayon
Your Cart,Iyong Cart
