POS Awesome,PDV génial
Fetch Items Directly from Server,Récupérer des éléments directement depuis le serveur
Menu,Menus
Actions,Actions
Close Shift,Fermer le quart de travail
End current session,Terminer la session en cours
Print Last Invoice,Imprimer la dernière facture
Reprint previous transaction,Réimprimer la transaction précédente
Sync Offline Invoices,Synchroniser les factures hors ligne
Upload pending transactions,Télécharger les transactions en attente
Go Online,Aller en ligne
Go Offline,Passer hors ligne
Disable offline mode,Désactiver le mode hors ligne
Work without server connection,Travailler sans connexion au serveur
Clear Cache,Vider le cache
Remove local data and refresh,Supprimer les données locales et actualiser
About,À propos
App information,Informations sur l'application
Language,Langue
Change interface language,Changer la langue de l'interface
Light Mode,Mode lumière
Dark Mode,Mode sombre
Switch theme appearance,Changer l'apparence du thème
Logout,Déconnexion
Sign out of session,Se déconnecter de la session
Select Language,Sélectionnez la langue
Choose your preferred language for the POS interface,Choisissez votre langue préférée pour l'interface POS
Language will be changed to,La langue sera changée en
Cancel,Annuler
Change Language,Changer de langue
Close,Fermer
Cannot change language - same language selected,Impossible de changer de langue - même langue sélectionnée
Language changed successfully! Reloading...,La langue a été modifiée avec succès ! Rechargement...
Failed to change language,Échec du changement de langue
Unknown error,Erreur inconnue
- Total Unallocated,- Total non alloué
* Required,*Obligatoire
{0} (Qty: {1}),{0} (Quantité : {1})
{0} actions,{0} actions
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} n'a que {1} en stock. Vous avez demandé {2}. Ajustez la quantité ou réapprovisionnez-vous.
{0} offline invoice{1} pending,{0}facture hors ligne{1} en attente
{0} offline invoice{1} saved as draft,{0}facture hors ligne{1} enregistrée en tant que brouillon
{0} offline invoice{1} synced,{0}facture hors ligne{1} synchronisée
{0}: {1} {2},{0} : {1} {2}
{0}d ago,il y a {0}j
{0}h ago,il y a {0}h
{0}m ago,il y a {0} mois
A POS supervisor is required for this action.,Un superviseur POS est requis pour cette action.
Access,Accès
Account,Compte
Account is overdrawn,Le compte est à découvert
Acknowledge the error to resume scanning,Reconnaître l'erreur pour reprendre la numérisation
Acknowledge the error to resume scanning.,Reconnaissez l’erreur pour reprendre la numérisation.
Across,À travers
Action,Action
Active sale,Vente active
add,ajouter
Add items from the selector to start building this sale.,Ajoutez des articles du sélecteur pour commencer à créer cette vente.
Add more value to an existing gift card,Ajoutez plus de valeur à une carte-cadeau existante
Add New Address,Ajouter une nouvelle adresse
Add new customer,Ajouter un nouveau client
Add on New Line,Ajouter une nouvelle ligne
Add Payment,Ajouter un paiement
Add payment to invoice,Ajouter le paiement à la facture
Add/Edit Coupon Conditions,Ajouter/Modifier les conditions du coupon
Additional Discount,Remise supplémentaire
Additional Discount %,% de remise supplémentaire
Address Line 1,Ligne d'adresse 1
Address not found,Adresse introuvable
Adjust the quantity or enable negative stock to continue.,Ajustez la quantité ou activez le stock négatif pour continuer.
Adjustment,Ajustement
After returns,Après les retours
Against,Contre
Against Name,Contre le nom
Age Bracket,Tranche d'âge
All,Tout
All Caught Up!,Tous rattrapés !
All invoices are synchronized,Toutes les factures sont synchronisées
All pending invoices are up to date,Toutes les factures en attente sont à jour
All Profiles,Tous les profils
All Synchronized,Tout synchronisé
All visible invoices are fully settled.,Toutes les factures visibles sont entièrement réglées.
All Warehouses,Tous les entrepôts
Allowed UOM is {0},L'UdM autorisée est {0}
Always fetch items from server (ignore local cache),Récupérez toujours les éléments du serveur (ignorez le cache local)
Amount,Montant
Amount already received,Montant déjà reçu
Amount exceeds profile cash movement max amount.,Le montant dépasse le montant maximum du mouvement de trésorerie du profil.
Amount must be greater than zero.,Le montant doit être supérieur à zéro.
Amount received from customer,Montant reçu du client
Appearance and user-level preferences for the current session.,Apparence et préférences au niveau de l'utilisateur pour la session en cours.
Applied,Appliqué
Apply,Postuler
Apply Gift Card,Appliquer une carte-cadeau
Apply Offer,Appliquer l'offre
Apply On,Postuler le
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Appliquez uniquement le montant que vous souhaitez échanger sur cette facture. Le solde restant reste sur la carte.
Apply Redemption,Appliquer le rachat
Applying,Candidature
Apps,Applications
Are you sure you want to close? All entered data will be lost.,Êtes-vous sûr de vouloir fermer ? Toutes les données saisies seront perdues.
Attributes (Size/Color),Attributs (taille/couleur)
Auto Allocate Payment Amount,Montant du paiement attribué automatiquement
Auto Reconcile,Réconciliation automatique
Auto reconciliation completed after payment submit.,Rapprochement automatique terminé après la soumission du paiement.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Rapprochement automatique terminé. Alloué : {0}{1}. Restant en suspens : {0}{2}.
Available Actions,Actions disponibles
Available QTY,QTÉ disponible
Available:,Disponible :
Average Basket,Panier moyen
Average Bill,Facture moyenne
Average Ticket,Billet moyen
Avg Bill,Facture moyenne
Avg Invoice,Facture moyenne
Avg Invoice Profit,Bénéfice moyen sur facture
Avg Invoice Value,Valeur moyenne de la facture
Avg Purchase Frequency,Fréquence d'achat moyenne
Awesome,Génial
Awesome Dashboard,Tableau de bord génial
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard est désactivé pour le profil POS sélectionné.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard n’est pas disponible pour la portée sélectionnée.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard n’est visible que par les superviseurs du point de vente.
Back,Retour
Back Office Cash Account,Compte espèces back-office
Back Office Cash Account (Optional Override),Compte espèces du back-office (remplacement facultatif)
Back office cash account is required.,Un compte de trésorerie back-office est requis.
Back to {0},Retour à {0}
Background processing did not finish in time.,Le traitement en arrière-plan ne s'est pas terminé à temps.
Background processing failed for Invoice {0}: {1},Échec du traitement en arrière-plan pour la facture {0} : {1}
Background Submission Failed,Échec de la soumission de l'arrière-plan
Background sync interval (seconds),Intervalle de synchronisation en arrière-plan (secondes)
Balance,Solde
Balance will be updated when connection is restored,Le solde sera mis à jour lorsque la connexion sera rétablie
Balances still pending,Soldes toujours en attente
Barcode,Code à barres
Barcode / QR Ready,Code à barres / QR prêt
Barcode Label Printing,Impression d'étiquettes de codes à barres
Base Paid:,Base payée :
Base Recv:,Récupération de base :
Base:,Piètement :
Basic Information,Informations de base
Batch,Lot
Batch Information,Informations sur le lot
Before any return workflow,Avant tout workflow de retour
Before returns,Avant les retours
Best Day,Meilleur jour
Best Seller,Meilleur vendeur
Book expense or deposit from active shift.,Réservez les dépenses ou le dépôt du quart de travail actif.
Branch / Location-wise Report,Rapport par succursale/emplacement
Brand-wise,Au niveau de la marque
Breakdown,Répartition
Browse,Parcourir
Build Time:,Temps de construction :
Built with Frappe,Construit avec Frappe
Bundle,Forfait
Buying Price,Prix d'achat
Cache cleared successfully,Cache vidé avec succès
Cache Usage,Utilisation du cache
cache used,cache utilisé
Calculating...,Calcul...
Camera Access Required,Accès à la caméra requis
Camera access was aborted. Please try again.,L'accès à la caméra a été interrompu. Veuillez réessayer.
Camera constraints not supported by your device. Trying fallback settings...,Contraintes de caméra non prises en charge par votre appareil. Essayer les paramètres de secours...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,La caméra est occupée ou bloquée par une autre application/un autre onglet. Fermez les autres applications de l'appareil photo et réessayez.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Autorisation de la caméra refusée. Veuillez autoriser l'accès à la caméra dans les paramètres de votre navigateur et actualiser la page.
Camera scanner is locked until the current error is acknowledged,Le scanner de l'appareil photo est verrouillé jusqu'à ce que l'erreur actuelle soit reconnue
Camera started but the video stream did not load in time. Please try again.,La caméra a démarré mais le flux vidéo ne s'est pas chargé à temps. Veuillez réessayer.
Cancel cash movement {0}?,Annuler le mouvement de trésorerie {0} ?
Cancel Payment,Annuler le paiement
Cancel Sale,Annuler la vente
Cancel Sale ?,Annuler la vente ?
Cancelled,Annulé
Cannot add an item with zero or negative quantity.,Impossible d'ajouter un article avec une quantité nulle ou négative.
Cannot clear cache while offline,Impossible de vider le cache en mode hors connexion
Cannot redeem customer credit more than invoice total,Impossible d'utiliser un crédit client supérieur au total de la facture
Cannot redeem gift cards more than invoice total,Impossible d'utiliser des cartes cadeaux plus que le total de la facture
Cannot Save Offline Invoice:,Impossible d'enregistrer la facture hors ligne :
Cannot Save Offline Payment:,Impossible d'enregistrer le paiement hors ligne :
Card,Carte
Card / Online,Carte / En ligne
Card health after the last live lookup,État de santé de la carte après la dernière recherche en direct
Cards,Cartes
Cart,Panier
Cash,Espèces
Cash back to customers,Remise en argent aux clients
Cash Collections,Encaissements en espèces
Cash Deposit is disabled for this POS Profile.,Le dépôt en espèces est désactivé pour ce profil POS.
Cash Drawer Snapshot,Aperçu du tiroir-caisse
Cash In Hand,Trésorerie en main
Cash Movement,Mouvement de trésorerie
Cash movement cancelled,Mouvement de trésorerie annulé
Cash movement deduction applied,Déduction pour mouvements de trésorerie appliquée
Cash movement deleted,Mouvement de trésorerie supprimé
Cash movement is disabled for this POS Profile.,Les mouvements de fonds sont désactivés pour ce profil POS.
Cash Movement is disabled in current POS Profile.,Les mouvements de fonds sont désactivés dans le profil POS actuel.
Cash movement saved offline,Mouvements de trésorerie enregistrés hors ligne
Cash movement submitted,Mouvement de trésorerie soumis
Cash Movements,Mouvements de trésorerie
Cash payment cannot be less than invoice total when partial payment is not allowed,Le paiement en espèces ne peut pas être inférieur au total de la facture lorsque le paiement partiel n'est pas autorisé
Cash returned after payment,Argent restitué après paiement
Cashier,Caissier
Cashier Access,Accès à la caisse
Cashier identity and appearance preferences.,Identité du caissier et préférences d’apparence.
Cashier PIN,Code PIN du caissier
Cashier PIN saved successfully.,Le code PIN du caissier a été enregistré avec succès.
Cashiers,Caissiers
Cashier-wise,Au niveau de la caisse
Categories,Catégories
Category,Catégorie
Category / Brand / Variant Report,Rapport Catégorie / Marque / Variante
Category-wise,Par catégorie
Category-wise Margin,Marge par catégorie
Certificate,Certificat
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Le certificat est manquant ou n'est pas fiable. QZ peut afficher des boîtes de dialogue de confirmation.
Certificate is trusted. Silent QZ printing is active.,Le certificat est fiable. L'impression QZ silencieuse est active.
Change,Changement
Change allocation repaired,Modification de l'allocation réparée
Change Price,Changer le prix
Change Return,Modifier le retour
Change Returned,Changement retourné
Change terminal cashier,Changer de caissier du terminal
Charge Heads,Têtes de chargement
Charges,Frais
Charges not found,Frais introuvables
Check Balance,Vérifier le solde
Check balance for any card. Supervisors can issue and top up cards here.,Vérifiez le solde de n’importe quelle carte. Les superviseurs peuvent émettre et recharger des cartes ici.
Check balance only,Vérifier le solde uniquement
Check for new commits,Vérifier les nouveaux commits
Check for Updates,Vérifier les mises à jour
Check live balance before applying redemption,Vérifiez le solde en direct avant d'appliquer le rachat
Check live balance before redemption,Vérifiez le solde en direct avant le rachat
Checking...,Vérification...
Cheque/Reference Date,Chèque/Date de référence
Cheque/Reference No,Chèque/numéro de référence
Choose the cashier currently operating this terminal.,Choisissez le caissier qui exploite actuellement ce terminal.
City,Ville
Clear,Effacer
Clear All,Tout effacer
Clear all barcode items,Effacer tous les éléments de code-barres
Clear all purchase order items,Effacer tous les articles du bon de commande
Clear Search,Effacer la recherche
Clearing local cache...,Vider le cache local...
Click to refresh,Cliquez pour actualiser
Client CPU Lag:,Retard du processeur client :
Client Memory Usage:,Utilisation de la mémoire client :
Client Metrics,Métriques clients
Close about dialog,Fermer la boîte de dialogue
Close cashier switcher,Fermer le commutateur de caisse
Close closing shift dialog,Fermer la boîte de dialogue de fermeture de l'équipe
Close column selector,Fermer le sélecteur de colonne
Close Dialog,Fermer la boîte de dialogue
Close drafts dialog,Fermer la boîte de dialogue Brouillons
Close invoice details dialog,Fermer la boîte de dialogue des détails de la facture
Close invoice management,Fermer la gestion des factures
Close offline invoices dialog,Fermer la boîte de dialogue des factures hors ligne
Close packing list dialog,Fermer la boîte de dialogue de la liste de colisage
Close returns dialog,Fermer la boîte de dialogue des retours
Close sales orders dialog,Fermer la boîte de dialogue des commandes client
Close Scanner,Fermer le scanner
Close scanner dialog,Fermer la boîte de dialogue du scanner
Close Settings,Fermer les paramètres
Closing Amount,Montant de clôture
Closing POS Shift,Fermeture du poste de vente
Closing Snapshot Available,Instantané de clôture disponible
Code,Coder
Code scanned successfully,Code scanné avec succès
COGS,COGS
Collapse item details,Réduire les détails de l'élément
Collected,Collecté
Cols,Cols
Columns,Colonnes
commits,commet
Completed and active sales in this range,Ventes réalisées et actives dans cette gamme
Completed returns will appear here.,Les déclarations complétées apparaîtront ici.
Confirm,Confirmer
Confirm Close,Confirmer la fermeture
Confirm Mobile Number,Confirmer le numéro de portable
Confirm PIN,Confirmer le code PIN
Connect,Se connecter
Connect printer and manage certificate,Connecter l'imprimante et gérer le certificat
Connecting to QZ Tray...,Connexion au plateau QZ...
Connection problem while submitting invoice,Problème de connexion lors de la soumission de la facture
Connections:,Connexions :
Connectivity and cached prerequisite status were rechecked.,La connectivité et l'état des prérequis mis en cache ont été revérifiés.
Continue Editing,Continuer la modification
Could not fetch latest balance from server,Impossible de récupérer le dernier solde du serveur
Count,Compter
Country,Pays
Coupon,Coupon
Coupons,Coupons
Cover,Couverture
CPU Cores:,Cœurs de processeur :
Create,Créer
Create and load a new prepaid card,Créer et charger une nouvelle carte prépayée
Create and preload a new gift card,Créer et précharger une nouvelle carte cadeau
Create Bill,Créer une facture
Create Customer,Créer un client
Create New Item,Créer un nouvel article
Create or change your PIN,Créez ou modifiez votre code PIN
Create PIN,Créer un code PIN
Create POS Opening Shift,Créer une équipe d'ouverture de point de vente
Create Purchase Order,Créer un bon de commande
Create Return,Créer un retour
Create return from invoice,Créer un retour à partir d'une facture
Create Supplier,Créer un fournisseur
Credit and Output,Crédit et production
Credit Note,Note de crédit
Credit Outstanding,Encours de crédit
Credit sales remaining to be collected,Ventes à crédit restant à encaisser
Critical,Critique
Currency,Devise
Current,Actuel
Current Event Loop Lag:,Décalage de la boucle de l'événement actuel :
Current Month,Mois en cours
Current PIN,Code PIN actuel
Current Profile,Profil actuel
Current redeemable value on the gift card,Valeur actuelle échangeable sur la carte-cadeau
Current User,Utilisateur actuel
Custom,Personnalisé
Custom Due Days,Jours d'échéance personnalisés
Custom items per page,Articles personnalisés par page
Customer,Client
Customer already selected,Client déjà sélectionné
Customer Balance,Solde client
Customer balance unavailable offline,Solde client indisponible hors ligne
Customer created successfully.,Client créé avec succès.
Customer creation failed.,La création du client a échoué.
Customer Details,Détails du client
Customer display channel is missing,Le canal d'affichage client est manquant
Customer display was blocked. Please allow pop-ups for this site.,L'affichage client a été bloqué. Veuillez autoriser les pop-ups pour ce site.
Customer group is required,Le groupe de clients est requis
Customer is required to add payment,Le client doit ajouter le paiement
Customer Name is required,Le nom du client est requis
Customer not selected,Client non sélectionné
Customer Report,Rapport client
Customer saved offline,Client enregistré hors ligne
Customer Screen,Écran client
Customer territory is required,Le territoire du client est requis
Customer updated successfully.,Le client a été mis à jour avec succès.
Customer-facing tools and printer setup.,Outils destinés au client et configuration de l'imprimante.
Customers,Clients
Customers not found,Clients introuvables
Daily cashier actions without scrolling.,Actions de caisse quotidiennes sans défilement.
Daily Sales,Ventes quotidiennes
Daily Sales Summary,Résumé des ventes quotidiennes
Data loaded in form. Review and submit.,Données chargées dans le formulaire. Examinez et soumettez.
Database Health,Santé de la base de données
Database health affects overall system speed and reliability.,La santé de la base de données affecte la vitesse et la fiabilité globales du système.
Database Info,Informations sur la base de données
Date,Date
Day ?,Jour ?
days,jours
Day-wise (MTD),Par jour (MTD)
Day-wise Movement,Mouvement diurne
Dead Stock,Stock mort
Dead Stock Items,Articles morts
Decrease quantity,Diminuer la quantité
Default,Par défaut
Default:,Par défaut :
Delete,Supprimer
Delete cancelled cash movement {0}?,Supprimer le mouvement de trésorerie annulé {0} ?
Delete Draft,Supprimer le brouillon
Delete draft invoice,Supprimer le brouillon de facture
Delete draft invoice {0}?,Supprimer le brouillon de facture {0} ?
Delete Invoice,Supprimer la facture
Delete offline invoice,Supprimer la facture hors ligne
Delivered,Livré
Delivery Charges,Frais de livraison
Delivery Information,Informations de livraison
Delivery Note {0} created,Bon de livraison {0} créé
Delivery note created,Bon de livraison créé
Deployed Bundle:,Bundle déployé :
Deposit,Dépôt
Description,Descriptif
Detailed Supplier Breakdown,Répartition détaillée des fournisseurs
Detecting formats:,Formats de détection :
Device Memory:,Mémoire de l'appareil :
Difference,Différence
Difference (In Company Currency),Différence (dans la devise de l'entreprise)
Disable offline mode first to recheck live connectivity.,Désactivez d’abord le mode hors ligne pour revérifier la connectivité en direct.
Disconnect,Déconnecter
discount,réduction
Discount %,% de remise
Discount / Void / Return Report,Remise / Annulation / Rapport de retour
Discount Amount,Montant de la remise
Discount limited by POS Profile,Remise limitée par le profil POS
Discounted Invoices,Factures avec escompte
Discounts,Réductions
Dismiss,Rejeter
Download Certificate,Télécharger le certificat
Draft,Brouillon
Draft invoice deleted,Projet de facture supprimé
Draft source,Source du brouillon
Drafts,Brouillons
Due {0},À payer {0}
Due Date,Date d'échéance
Duplicate,Dupliquer
Edit customer,Modifier le client
Edit discount amount,Modifier le montant de la remise
Edit discount percentage,Modifier le pourcentage de remise
Edit Gift Application,Modifier la demande de cadeau
Edit item name,Modifier le nom de l'élément
Edit quantity,Modifier la quantité
Edit rate,Modifier le tarif
Edit unit of measure,Edit unit of measure
Edited,Modifié
Employee,Employé
Enable background sync,Activer la synchronisation en arrière-plan
Enable Customer Display in POS Profile first.,Activez d'abord l'affichage du client dans le profil POS.
Enter a PIN.,Entrez un code PIN.
Enter a valid grams value,Entrez une valeur en grammes valide
Enter new price list rate,Entrez le nouveau tarif de la liste de prix
Enter Quantity,Entrez la quantité
Enter the cashier PIN to continue.,Entrez le code PIN du caissier pour continuer.
Enter the current PIN first.,Entrez d'abord le code PIN actuel.
"Enter the current PIN, then choose a new one.","Saisissez le code PIN actuel, puis choisissez-en un nouveau."
Enter valid grams for scale barcode,Entrez les grammes valides pour le code-barres de la balance
Entries,Entrées
Error accessing camera:,Erreur d'accès à la caméra :
Error calculating prices,Erreur lors du calcul des prix
Error fetching customer balance,Erreur lors de la récupération du solde client
Error in change calculations!,Erreur dans les calculs de modification !
Error Loading Data,Erreur de chargement des données
Error loading invoice details,Erreur lors du chargement des détails de la facture
Error processing invoice,Erreur lors du traitement de la facture
Error processing payment,Erreur lors du traitement du paiement
Error searching invoices,Erreur lors de la recherche des factures
Error submitting invoice:,Erreur lors de la soumission de la facture :
Error submitting invoice: {0},Erreur lors de l'envoi de la facture : {0}
Error submitting invoice: No response from server,Erreur lors de la soumission de la facture : aucune réponse du serveur
Error updating currency,Erreur lors de la mise à jour de la devise
Error updating item details,Erreur lors de la mise à jour des détails de l'article
Est. Purchase,Est. Achat
Est. Value,Est. Valeur
Event-loop lag measures how busy your browser is. Lower is better.,"Le décalage de la boucle d'événement mesure le degré d'occupation de votre navigateur. Plus bas, c'est mieux."
Every,Chaque
Exchange Rate,Taux de change
Expand item details,Développer les détails de l'article
Expected Amount (In Company Currency),Montant attendu (dans la devise de l'entreprise)
Expected Cash,Trésorerie attendue
Expected cash on hand grouped by currency,Trésorerie attendue regroupée par devise
Expected vs Actual,Attendu vs réel
Expense,Dépense
Expense Account (Optional Override),Compte de dépenses (remplacement facultatif)
Expense account is required.,Un compte de dépenses est requis.
Expenses and deposits posted during this shift,Dépenses et dépôts comptabilisés lors de ce quart de travail
Expired,Expiré
Failed to auto reconcile payments.,Échec du rapprochement automatique des paiements.
Failed to cancel cash movement,Échec de l'annulation du mouvement de trésorerie
Failed to clear cache,Échec de la suppression du cache
Failed to create item,Échec de la création de l'élément
Failed to create supplier,Échec de la création du fournisseur
Failed to delete cash movement,Échec de la suppression du mouvement de trésorerie
Failed to generate scale barcode. Using item barcode only.,Échec de la génération du code-barres de la balance. Utilisation du code-barres de l'article uniquement.
Failed to load cash movement context.,Échec du chargement du contexte des mouvements de trésorerie.
Failed to load dashboard data.,Échec du chargement des données du tableau de bord.
Failed to reload invoice from server,Échec du rechargement de la facture depuis le serveur
Failed to submit cash movement,Échec de la soumission du mouvement de trésorerie
Failed to sync offline cash movements,Échec de la synchronisation des mouvements de trésorerie hors ligne
Fast cashier actions for active shifts.,Actions de caisse rapides pour les quarts de travail actifs.
Fast Moving Items,Articles à mouvement rapide
Fees,Frais
Fetch the latest offline prerequisite updates,Récupérez les dernières mises à jour des prérequis hors ligne
Find a sales order quickly and load it into the current sale.,Recherchez rapidement une commande client et chargez-la dans la vente en cours.
Fixing payment amounts for return invoice...,Fixation des montants de paiement pour la facture de retour...
Flash Off,Flash désactivé
Flash On,Flash activé
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Pour les articles du « Groupe de produits », l'entrepôt, le numéro de série et le numéro de lot seront pris en compte dans le tableau « Liste de colisage ». Si l'entrepôt et le numéro de lot sont identiques pour tous les articles d'emballage d'un article « Ensemble de produits », ces valeurs peuvent être saisies dans le tableau principal des articles ; les valeurs seront copiées dans le tableau « Liste de colisage »."
Free,Gratuit
Free Qty,Quantité gratuite
Frequency,Fréquence
from,de
From Date,À partir de la date
Fulfillment Details,Détails d'exécution
Full Name,Nom complet
Gain,Gagner
Generate a fresh prepaid card and start it with an opening balance.,Générez une nouvelle carte prépayée et démarrez-la avec un solde d'ouverture.
