POS Awesome,POS અદ્ભુત
Fetch Items Directly from Server,સર્વરમાંથી સીધા જ વસ્તુઓ મેળવો
Menu,મેનુ
Actions,ક્રિયાઓ
Close Shift,Shift બંધ કરો
End current session,વર્તમાન સત્ર સમાપ્ત કરો
Print Last Invoice,છેલ્લું ઇન્વૉઇસ છાપો
Reprint previous transaction,અગાઉના વ્યવહારને ફરીથી છાપો
Sync Offline Invoices,ઑફલાઇન ઇન્વૉઇસેસ સમન્વયિત કરો
Upload pending transactions,બાકી વ્યવહારો અપલોડ કરો
Go Online,ઑનલાઇન જાઓ
Go Offline,ઑફલાઇન જાઓ
Disable offline mode,ઑફલાઇન મોડને અક્ષમ કરો
Work without server connection,સર્વર કનેક્શન વિના કામ કરો
Clear Cache,કેશ સાફ કરો
Remove local data and refresh,સ્થાનિક ડેટા દૂર કરો અને તાજું કરો
About,વિશે
App information,એપ્લિકેશન માહિતી
Language,ભાષા
Change interface language,ઇન્ટરફેસ ભાષા બદલો
Light Mode,લાઇટ મોડ
Dark Mode,ડાર્ક મોડ
Switch theme appearance,થીમ દેખાવ સ્વિચ કરો
Logout,લોગઆઉટ
Sign out of session,સત્રમાંથી સાઇન આઉટ કરો
Select Language,ભાષા પસંદ કરો
Choose your preferred language for the POS interface,POS ઇન્ટરફેસ માટે તમારી પસંદગીની ભાષા પસંદ કરો
Language will be changed to,માં ભાષા બદલવામાં આવશે
Cancel,રદ કરો
Change Language,ભાષા બદલો
Close,બંધ કરો
Cannot change language - same language selected,ભાષા બદલી શકાતી નથી - સમાન ભાષા પસંદ કરી છે
Language changed successfully! Reloading...,ભાષા સફળતાપૂર્વક બદલાઈ ગઈ! ફરીથી લોડ કરી રહ્યું છે...
Failed to change language,ભાષા બદલવામાં નિષ્ફળ
Unknown error,અજાણી ભૂલ
- Total Unallocated,- કુલ બિન ફાળવેલ
* Required,* જરૂરી
{0} (Qty: {1}),{0} (માત્રા: {1})
{0} actions,{0} ક્રિયાઓ
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} પાસે માત્ર {1} સ્ટોક છે. તમે {2}ની વિનંતી કરી. જથ્થાને સમાયોજિત કરો અથવા રિસ્ટોક કરો.
{0} offline invoice{1} pending,{0} ઑફલાઇન ઇન્વૉઇસ{1} બાકી છે
{0} offline invoice{1} saved as draft,{0} ઑફલાઇન ઇન્વૉઇસ{1} ડ્રાફ્ટ તરીકે સાચવ્યું
{0} offline invoice{1} synced,{0} ઑફલાઇન ઇન્વૉઇસ{1} સમન્વયિત
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}દિવસ પહેલાં
{0}h ago,{0}કલાક પહેલાં
{0}m ago,{0}મિ. પહેલાં
A POS supervisor is required for this action.,આ ક્રિયા માટે POS સુપરવાઈઝર જરૂરી છે.
Access,એક્સેસ
Account,એકાઉન્ટ
Account is overdrawn,ખાતું ઓવરડ્રો થયું છે
Acknowledge the error to resume scanning,સ્કેનિંગ ફરી શરૂ કરવા માટે ભૂલને સ્વીકારો
Acknowledge the error to resume scanning.,સ્કેનિંગ ફરી શરૂ કરવા માટે ભૂલને સ્વીકારો.
Across,પાર
Action,ક્રિયા
Active sale,સક્રિય વેચાણ
add,ઉમેરો
Add items from the selector to start building this sale.,આ વેચાણનું નિર્માણ શરૂ કરવા માટે પસંદગીકર્તામાંથી આઇટમ ઉમેરો.
Add more value to an existing gift card,હાલના ભેટ કાર્ડમાં વધુ મૂલ્ય ઉમેરો
Add New Address,નવું સરનામું ઉમેરો
Add new customer,નવા ગ્રાહક ઉમેરો
Add on New Line,નવી લાઇન પર ઉમેરો
Add Payment,ચુકવણી ઉમેરો
Add payment to invoice,ઇન્વૉઇસમાં ચુકવણી ઉમેરો
Add/Edit Coupon Conditions,કૂપન શરતો ઉમેરો/સંપાદિત કરો
Additional Discount,વધારાનું ડિસ્કાઉન્ટ
Additional Discount %,વધારાનું ડિસ્કાઉન્ટ %
Address Line 1,એડ્રેસ લાઇન 1
Address not found,સરનામું મળ્યું નથી
Adjust the quantity or enable negative stock to continue.,જથ્થાને સમાયોજિત કરો અથવા ચાલુ રાખવા માટે નકારાત્મક સ્ટોકને સક્ષમ કરો.
Adjustment,ગોઠવણ
After returns,વળતર પછી
Against,સામે
Against Name,નામ સામે
Age Bracket,ઉંમર કૌંસ
All,બધા
All Caught Up!,બધા પકડાયા!
All invoices are synchronized,બધા ઇન્વૉઇસેસ સિંક્રનાઇઝ થાય છે
All pending invoices are up to date,બધા બાકી ઇન્વૉઇસેસ અપ ટુ ડેટ છે
All Profiles,બધી પ્રોફાઇલ્સ
All Synchronized,બધા સિંક્રનાઇઝ
All visible invoices are fully settled.,તમામ દૃશ્યમાન ઇન્વૉઇસેસ સંપૂર્ણ રીતે સેટલ થઈ ગયા છે.
All Warehouses,બધા વેરહાઉસ
Allowed UOM is {0},માન્ય UOM {0} છે
Always fetch items from server (ignore local cache),સર્વરમાંથી હંમેશા વસ્તુઓ મેળવો (સ્થાનિક કેશને અવગણો)
Amount,રકમ
Amount already received,પહેલેથી જ પ્રાપ્ત થયેલી રકમ
Amount exceeds profile cash movement max amount.,રકમ પ્રોફાઇલ રોકડ હિલચાલની મહત્તમ રકમ કરતાં વધી જાય છે.
Amount must be greater than zero.,રકમ શૂન્ય કરતા વધારે હોવી જોઈએ.
Amount received from customer,ગ્રાહક પાસેથી પ્રાપ્ત રકમ
Appearance and user-level preferences for the current session.,વર્તમાન સત્ર માટે દેખાવ અને વપરાશકર્તા-સ્તરની પસંદગીઓ.
Applied,લાગુ
Apply,અરજી કરો
Apply Gift Card,ગિફ્ટ કાર્ડ લાગુ કરો
Apply Offer,ઓફર લાગુ કરો
Apply On,પર અરજી કરો
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,આ ઇન્વૉઇસ પર તમે જે રકમ રિડીમ કરવા માંગો છો તે જ લાગુ કરો. બાકીની રકમ કાર્ડ પર રહે છે.
Apply Redemption,રિડેમ્પશન લાગુ કરો
Applying,અરજી કરી રહ્યા છે
Apps,એપ્સ
Are you sure you want to close? All entered data will be lost.,શું તમે ખરેખર બંધ કરવા માંગો છો? દાખલ કરેલ તમામ ડેટા ખોવાઈ જશે.
Attributes (Size/Color),વિશેષતાઓ (કદ/રંગ)
Auto Allocate Payment Amount,આપોઆપ ચુકવણીની રકમ ફાળવો
Auto Reconcile,સ્વતઃ સમાધાન
Auto reconciliation completed after payment submit.,ચુકવણી સબમિટ કર્યા પછી સ્વતઃ સમાધાન પૂર્ણ.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,સ્વતઃ સમાધાન પૂર્ણ થયું. ફાળવેલ: {0}{1}. બાકી બાકી: {0}{2}.
Available Actions,ઉપલબ્ધ ક્રિયાઓ
Available QTY,ઉપલબ્ધ QTY
Available:,ઉપલબ્ધ:
Average Basket,સરેરાશ ટોપલી
Average Bill,સરેરાશ બિલ
Average Ticket,સરેરાશ ટિકિટ
Avg Bill,સરેરાશ બિલ
Avg Invoice,સરેરાશ ઇન્વૉઇસ
Avg Invoice Profit,સરેરાશ ઇન્વૉઇસ નફો
Avg Invoice Value,સરેરાશ ઇન્વૉઇસ મૂલ્ય
Avg Purchase Frequency,સરેરાશ ખરીદી આવર્તન
Awesome,અદ્ભુત
Awesome Dashboard,અદ્ભુત ડેશબોર્ડ
Awesome Dashboard is disabled for the selected POS Profile.,પસંદ કરેલ POS પ્રોફાઇલ માટે અદ્ભુત ડેશબોર્ડ અક્ષમ કરેલ છે.
Awesome Dashboard is unavailable for the selected scope.,પસંદ કરેલ સ્કોપ માટે અદ્ભુત ડેશબોર્ડ અનુપલબ્ધ છે.
Awesome Dashboard is visible only to POS supervisors.,અદ્ભુત ડેશબોર્ડ ફક્ત POS સુપરવાઇઝરને જ દૃશ્યક્ષમ છે.
Back,પાછળ
Back Office Cash Account,બેક ઓફિસ કેશ એકાઉન્ટ
Back Office Cash Account (Optional Override),બેક ઓફિસ કેશ એકાઉન્ટ (વૈકલ્પિક ઓવરરાઇડ)
Back office cash account is required.,બેક ઓફિસ કેશ એકાઉન્ટ જરૂરી છે.
Back to {0},{0} પર પાછા
Background processing did not finish in time.,પૃષ્ઠભૂમિ પ્રક્રિયા સમયસર પૂર્ણ થઈ નથી.
Background processing failed for Invoice {0}: {1},ઇન્વોઇસ {0} માટે પૃષ્ઠભૂમિ પ્રક્રિયા નિષ્ફળ: {1}
Background Submission Failed,પૃષ્ઠભૂમિ સબમિશન નિષ્ફળ થયું
Background sync interval (seconds),પૃષ્ઠભૂમિ સમન્વયન અંતરાલ (સેકંડ)
Balance,સંતુલન
Balance will be updated when connection is restored,જ્યારે કનેક્શન પુનઃસ્થાપિત થશે ત્યારે બેલેન્સ અપડેટ કરવામાં આવશે
Balances still pending,બેલેન્સ હજુ બાકી છે
Barcode,બારકોડ
Barcode / QR Ready,બારકોડ / QR તૈયાર
Barcode Label Printing,બારકોડ લેબલ પ્રિન્ટીંગ
Base Paid:,બેઝ પેઇડ:
Base Recv:,આધાર Recv:
Base:,આધાર:
Basic Information,મૂળભૂત માહિતી
Batch,બેચ
Batch Information,બેચ માહિતી
Before any return workflow,કોઈપણ વળતર વર્કફ્લો પહેલાં
Before returns,વળતર પહેલાં
Best Day,શ્રેષ્ઠ દિવસ
Best Seller,બેસ્ટ સેલર
Book expense or deposit from active shift.,સક્રિય શિફ્ટમાંથી બુક ખર્ચ અથવા ડિપોઝિટ.
Branch / Location-wise Report,શાખા/સ્થળ મુજબનો અહેવાલ
Brand-wise,બ્રાન્ડ મુજબ
Breakdown,ભંગાણ
Browse,બ્રાઉઝ કરો
Build Time:,બિલ્ડ સમય:
Built with Frappe,Frappe સાથે બિલ્ટ
Bundle,બંડલ
Buying Price,ખરીદી કિંમત
Cache cleared successfully,કેશ સફળતાપૂર્વક સાફ કરી
Cache Usage,કેશ વપરાશ
cache used,વપરાયેલ કેશ
Calculating...,ગણતરી કરી રહ્યું છે...
Camera Access Required,કેમેરા એક્સેસ જરૂરી છે
Camera access was aborted. Please try again.,કૅમેરાની ઍક્સેસ રદ કરવામાં આવી હતી. કૃપા કરીને ફરી પ્રયાસ કરો.
Camera constraints not supported by your device. Trying fallback settings...,તમારા ઉપકરણ દ્વારા કૅમેરાની મર્યાદાઓ સમર્થિત નથી. ફોલબેક સેટિંગ્સ અજમાવી રહ્યાં છીએ...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,કૅમેરા વ્યસ્ત છે અથવા અન્ય ઍપ/ટૅબ દ્વારા અવરોધિત છે. અન્ય કૅમેરા ઍપ બંધ કરો અને ફરી પ્રયાસ કરો.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,કૅમેરાની પરવાનગી નકારી. કૃપા કરીને તમારા બ્રાઉઝર સેટિંગ્સમાં કૅમેરા ઍક્સેસની મંજૂરી આપો અને પૃષ્ઠને તાજું કરો.
Camera scanner is locked until the current error is acknowledged,વર્તમાન ભૂલ સ્વીકારવામાં ન આવે ત્યાં સુધી કૅમેરા સ્કેનર લૉક કરવામાં આવે છે
Camera started but the video stream did not load in time. Please try again.,કૅમેરો શરૂ થયો પણ વીડિયો સ્ટ્રીમ સમયસર લોડ થયો નહીં. કૃપા કરીને ફરી પ્રયાસ કરો.
Cancel cash movement {0}?,રોકડ મૂવમેન્ટ {0} રદ કરીએ?
Cancel Payment,ચુકવણી રદ કરો
Cancel Sale,વેચાણ રદ કરો
Cancel Sale ?,વેચાણ રદ કરીએ?
Cancelled,રદ કરેલ
Cannot add an item with zero or negative quantity.,શૂન્ય અથવા નકારાત્મક જથ્થા સાથે આઇટમ ઉમેરી શકાતી નથી.
Cannot clear cache while offline,ઑફલાઇન હોવા પર કૅશ સાફ કરી શકાતું નથી
Cannot redeem customer credit more than invoice total,કુલ ઇન્વૉઇસ કરતાં વધુ ગ્રાહક ક્રેડિટ રિડીમ કરી શકાતી નથી
Cannot redeem gift cards more than invoice total,ઇનવોઇસ કુલ કરતાં વધુ ભેટ કાર્ડ રિડીમ કરી શકતા નથી
Cannot Save Offline Invoice:,ઑફલાઇન ઇન્વૉઇસ સાચવી શકાતું નથી:
Cannot Save Offline Payment:,ઑફલાઇન ચુકવણી સાચવી શકાતી નથી:
Card,કાર્ડ
Card / Online,કાર્ડ / ઓનલાઈન
Card health after the last live lookup,છેલ્લા લાઇવ લુકઅપ પછી કાર્ડ આરોગ્ય
Cards,કાર્ડ્સ
Cart,કાર્ટ
Cash,રોકડ
Cash back to customers,ગ્રાહકોને પાછા રોકડ
Cash Collections,રોકડ સંગ્રહ
Cash Deposit is disabled for this POS Profile.,આ POS પ્રોફાઇલ માટે રોકડ ડિપોઝિટ અક્ષમ છે.
Cash Drawer Snapshot,રોકડ ડ્રોઅર સ્નેપશોટ
Cash In Hand,હાથમાં રોકડ
Cash Movement,રોકડની હિલચાલ
Cash movement cancelled,રોકડ હિલચાલ રદ
Cash movement deduction applied,રોકડ હિલચાલ કપાત લાગુ
Cash movement deleted,રોકડ હિલચાલ કાઢી નાખી
Cash movement is disabled for this POS Profile.,આ POS પ્રોફાઇલ માટે રોકડ હિલચાલ અક્ષમ છે.
Cash Movement is disabled in current POS Profile.,વર્તમાન POS પ્રોફાઇલમાં કેશ મૂવમેન્ટ અક્ષમ છે.
Cash movement saved offline,રોકડ હિલચાલ ઑફલાઇન સાચવવામાં આવી
Cash movement submitted,રોકડ હિલચાલ સબમિટ
Cash Movements,રોકડની હિલચાલ
Cash payment cannot be less than invoice total when partial payment is not allowed,જ્યારે આંશિક ચુકવણીની મંજૂરી ન હોય ત્યારે રોકડ ચુકવણી ઇન્વૉઇસ કુલ કરતાં ઓછી હોઈ શકતી નથી
Cash returned after payment,ચુકવણી પછી રોકડ પરત
Cashier,કેશિયર
Cashier Access,કેશિયર એક્સેસ
Cashier identity and appearance preferences.,કેશિયરની ઓળખ અને દેખાવ પસંદગીઓ.
Cashier PIN,કેશિયર પિન
Cashier PIN saved successfully.,કેશિયર પિન સફળતાપૂર્વક સાચવ્યો.
Cashiers,કેશિયર્સ
Cashier-wise,કેશિયર મુજબ
Categories,શ્રેણીઓ
Category,શ્રેણી
Category / Brand / Variant Report,શ્રેણી / બ્રાન્ડ / વેરિઅન્ટ રિપોર્ટ
Category-wise,શ્રેણી મુજબ
Category-wise Margin,શ્રેણી મુજબ માર્જિન
Certificate,પ્રમાણપત્ર
Certificate is missing or not trusted. QZ may show confirmation dialogs.,પ્રમાણપત્ર ખૂટે છે અથવા વિશ્વસનીય નથી. QZ પુષ્ટિકરણ સંવાદો બતાવી શકે છે.
Certificate is trusted. Silent QZ printing is active.,પ્રમાણપત્ર વિશ્વસનીય છે. સાયલન્ટ QZ પ્રિન્ટિંગ સક્રિય છે.
Change,બદલો
Change allocation repaired,બદલો ફાળવણી સમારકામ
Change Price,ભાવ બદલો
Change Return,રીટર્ન બદલો
Change Returned,બદલો પાછો ફર્યો
Change terminal cashier,ટર્મિનલ કેશિયર બદલો
Charge Heads,ચાર્જ હેડ
Charges,શુલ્ક
Charges not found,શુલ્ક મળ્યા નથી
Check Balance,બેલેન્સ તપાસો
Check balance for any card. Supervisors can issue and top up cards here.,કોઈપણ કાર્ડ માટે બેલેન્સ તપાસો. સુપરવાઇઝર અહીં કાર્ડ જારી અને ટોપ અપ કરી શકે છે.
Check balance only,માત્ર બેલેન્સ તપાસો
Check for new commits,નવા કમિટ માટે તપાસો
Check for Updates,અપડેટ્સ માટે તપાસો
Check live balance before applying redemption,રિડેમ્પશન લાગુ કરતાં પહેલાં લાઇવ બેલેન્સ તપાસો
Check live balance before redemption,રિડેમ્પશન પહેલાં લાઇવ બેલેન્સ તપાસો
Checking...,તપાસી રહ્યું છે...
Cheque/Reference Date,ચેક/સંદર્ભ તારીખ
Cheque/Reference No,ચેક/સંદર્ભ નં
Choose the cashier currently operating this terminal.,હાલમાં આ ટર્મિનલ ચલાવતા કેશિયરને પસંદ કરો.
City,શહેર
Clear,સાફ કરો
Clear All,બધા સાફ કરો
Clear all barcode items,તમામ બારકોડ વસ્તુઓ સાફ કરો
Clear all purchase order items,તમામ ખરીદી ઓર્ડર વસ્તુઓ સાફ કરો
Clear Search,શોધ સાફ કરો
Clearing local cache...,સ્થાનિક કેશ સાફ કરી રહ્યું છે...
Click to refresh,તાજું કરવા માટે ક્લિક કરો
Client CPU Lag:,ક્લાયંટ CPU લેગ:
Client Memory Usage:,ક્લાયન્ટ મેમરી વપરાશ:
Client Metrics,ક્લાયન્ટ મેટ્રિક્સ
Close about dialog,સંવાદ વિશે બંધ કરો
Close cashier switcher,કેશિયર સ્વિચર બંધ કરો
Close closing shift dialog,ક્લોઝિંગ શિફ્ટ ડાયલોગ બંધ કરો
Close column selector,કૉલમ સિલેક્ટર બંધ કરો
Close Dialog,સંવાદ બંધ કરો
Close drafts dialog,ડ્રાફ્ટ સંવાદ બંધ કરો
Close invoice details dialog,ઇન્વૉઇસ વિગતો સંવાદ બંધ કરો
Close invoice management,ઇન્વૉઇસ મેનેજમેન્ટ બંધ કરો
Close offline invoices dialog,ઑફલાઇન ઇન્વૉઇસેસ સંવાદ બંધ કરો
Close packing list dialog,પેકિંગ સૂચિ સંવાદ બંધ કરો
Close returns dialog,વળતર સંવાદ બંધ કરો
Close sales orders dialog,વેચાણ ઓર્ડર સંવાદ બંધ કરો
Close Scanner,સ્કેનર બંધ કરો
Close scanner dialog,સ્કેનર સંવાદ બંધ કરો
Close Settings,સેટિંગ્સ બંધ કરો
Closing Amount,બંધ રકમ
Closing POS Shift,POS શિફ્ટ બંધ કરી રહ્યું છે
Closing Snapshot Available,બંધ સ્નેપશોટ ઉપલબ્ધ છે
Code,કોડ
Code scanned successfully,કોડ સફળતાપૂર્વક સ્કેન કર્યો
COGS,COGS
Collapse item details,આઇટમની વિગતો સંકુચિત કરો
Collected,એકત્ર કરેલ
Cols,કોલસ
Columns,કૉલમ
commits,પ્રતિબદ્ધ કરે છે
Completed and active sales in this range,આ શ્રેણીમાં પૂર્ણ અને સક્રિય વેચાણ
Completed returns will appear here.,પૂર્ણ થયેલ વળતર અહીં દેખાશે.
Confirm,પુષ્ટિ કરો
Confirm Close,બંધ કરવાની પુષ્ટિ કરો
Confirm Mobile Number,મોબાઈલ નંબર કન્ફર્મ કરો
Confirm PIN,PIN ની પુષ્ટિ કરો
Connect,કનેક્ટ કરો
Connect printer and manage certificate,પ્રિન્ટરને કનેક્ટ કરો અને પ્રમાણપત્રનું સંચાલન કરો
Connecting to QZ Tray...,QZ ટ્રે સાથે કનેક્ટ થઈ રહ્યું છે...
Connection problem while submitting invoice,ઇન્વૉઇસ સબમિટ કરતી વખતે કનેક્શન સમસ્યા
Connections:,જોડાણો:
Connectivity and cached prerequisite status were rechecked.,કનેક્ટિવિટી અને કેશ્ડ પૂર્વજરૂરીયાતોની સ્થિતિ ફરીથી તપાસવામાં આવી હતી.
Continue Editing,સંપાદન ચાલુ રાખો
Could not fetch latest balance from server,સર્વરમાંથી નવીનતમ બેલેન્સ મેળવી શકાયું નથી
Count,ગણતરી
Country,દેશ
Coupon,કૂપન
Coupons,કૂપન્સ
Cover,આવરણ
CPU Cores:,CPU કોરો:
Create,બનાવો
Create and load a new prepaid card,નવું પ્રીપેડ કાર્ડ બનાવો અને લોડ કરો
Create and preload a new gift card,નવું ભેટ કાર્ડ બનાવો અને પ્રીલોડ કરો
Create Bill,બિલ બનાવો
Create Customer,ગ્રાહક બનાવો
Create New Item,નવી આઇટમ બનાવો
Create or change your PIN,તમારો PIN બનાવો અથવા બદલો
Create PIN,PIN બનાવો
Create POS Opening Shift,POS ઓપનિંગ શિફ્ટ બનાવો
Create Purchase Order,ખરીદ ઓર્ડર બનાવો
Create Return,રીટર્ન બનાવો
Create return from invoice,ઇન્વૉઇસમાંથી રિટર્ન બનાવો
Create Supplier,સપ્લાયર બનાવો
Credit and Output,ક્રેડિટ અને આઉટપુટ
Credit Note,ક્રેડિટ નોંધ
Credit Outstanding,ક્રેડિટ બાકી
Credit sales remaining to be collected,ક્રેડિટ વેચાણ એકત્રિત કરવાનું બાકી છે
Critical,ક્રિટિકલ
Currency,ચલણ
Current,વર્તમાન
Current Event Loop Lag:,વર્તમાન ઇવેન્ટ લૂપ લેગ:
Current Month,વર્તમાન મહિનો
Current PIN,વર્તમાન PIN
Current Profile,વર્તમાન પ્રોફાઇલ
Current redeemable value on the gift card,ભેટ કાર્ડ પર વર્તમાન રિડીમેબલ મૂલ્ય
Current User,વર્તમાન વપરાશકર્તા
Custom,કસ્ટમ
Custom Due Days,કસ્ટમ નિયત દિવસો
Custom items per page,પૃષ્ઠ દીઠ કસ્ટમ વસ્તુઓ
Customer,ગ્રાહક
Customer already selected,ગ્રાહક પહેલેથી જ પસંદ કરેલ છે
Customer Balance,ગ્રાહક બેલેન્સ
Customer balance unavailable offline,ગ્રાહક બેલેન્સ ઑફલાઇન અનુપલબ્ધ છે
Customer created successfully.,ગ્રાહક સફળતાપૂર્વક બનાવ્યો.
Customer creation failed.,ગ્રાહક બનાવટ નિષ્ફળ.
Customer Details,ગ્રાહક વિગતો
Customer display channel is missing,ગ્રાહક પ્રદર્શન ચેનલ ખૂટે છે
Customer display was blocked. Please allow pop-ups for this site.,ગ્રાહક પ્રદર્શન અવરોધિત કરવામાં આવ્યું હતું. કૃપા કરીને આ સાઇટ માટે પૉપ-અપ્સને મંજૂરી આપો.
Customer group is required,ગ્રાહક જૂથ જરૂરી છે
Customer is required to add payment,ગ્રાહકે ચુકવણી ઉમેરવાની જરૂર છે
Customer Name is required,ગ્રાહકનું નામ જરૂરી છે
Customer not selected,ગ્રાહક પસંદ કરેલ નથી
Customer Report,ગ્રાહક અહેવાલ
Customer saved offline,ગ્રાહક ઓફલાઇન સાચવવામાં
Customer Screen,ગ્રાહક સ્ક્રીન
Customer territory is required,ગ્રાહક પ્રદેશ જરૂરી છે
Customer updated successfully.,ગ્રાહક સફળતાપૂર્વક અપડેટ થયો.
Customer-facing tools and printer setup.,ગ્રાહક-સામનો સાધનો અને પ્રિન્ટર સેટઅપ.
Customers,ગ્રાહકો
Customers not found,ગ્રાહકો મળ્યા નથી
Daily cashier actions without scrolling.,સ્ક્રોલ કર્યા વિના કેશિયરની દૈનિક ક્રિયાઓ.
Daily Sales,દૈનિક વેચાણ
Daily Sales Summary,દૈનિક વેચાણ સારાંશ
Data loaded in form. Review and submit.,ફોર્મમાં ડેટા લોડ થયો. સમીક્ષા કરો અને સબમિટ કરો.
Database Health,ડેટાબેઝ આરોગ્ય
Database health affects overall system speed and reliability.,ડેટાબેઝ આરોગ્ય સમગ્ર સિસ્ટમની ગતિ અને વિશ્વસનીયતાને અસર કરે છે.
Database Info,ડેટાબેઝ માહિતી
Date,તારીખ
Day ?,દિવસ?
days,દિવસો
Day-wise (MTD),દિવસ મુજબ (MTD)
Day-wise Movement,દિવસ મુજબની ચળવળ
Dead Stock,ડેડ સ્ટોક
Dead Stock Items,ડેડ સ્ટોક વસ્તુઓ
Decrease quantity,જથ્થો ઘટાડો
Default,ડિફૉલ્ટ
Default:,ડિફૉલ્ટ:
Delete,કાઢી નાખો
Delete cancelled cash movement {0}?,રદ કરેલ રોકડ મુવમેન્ટ {0} કાઢી નાખીએ?
Delete Draft,ડ્રાફ્ટ કાઢી નાખો
Delete draft invoice,ડ્રાફ્ટ ઇન્વૉઇસ કાઢી નાખો
Delete draft invoice {0}?,ડ્રાફ્ટ ઇન્વૉઇસ {0} કાઢી નાખીએ?
Delete Invoice,ઇન્વૉઇસ કાઢી નાખો
Delete offline invoice,ઑફલાઇન ઇન્વૉઇસ કાઢી નાખો
Delivered,વિતરિત
Delivery Charges,ડિલિવરી ચાર્જીસ
Delivery Information,ડિલિવરી માહિતી
Delivery Note {0} created,ડિલિવરી નોંધ {0} બનાવી
Delivery note created,ડિલિવરી નોંધ બનાવી
Deployed Bundle:,તૈનાત બંડલ:
Deposit,જમા
Description,વર્ણન
