POS Awesome,पीओएस बहुत बढ़िया
Scan or enter a gift card code to check balance or redeem.,शेष राशि जांचने या रिडीम करने के लिए उपहार कार्ड कोड स्कैन करें या दर्ज करें।
Scan or paste the card code below.,नीचे दिए गए कार्ड कोड को स्कैन या पेस्ट करें।
Scan QR Code/Barcode,क्यूआर कोड/बारकोड स्कैन करें
Scan with camera,कैमरे से स्कैन करें
Scan-First Flow,स्कैन-प्रथम प्रवाह
Scanned Code:,स्कैन किया गया कोड:
Scanning for: {0},इसके लिए स्कैन किया जा रहा है: {0}
Scanning items,आइटम स्कैन करना
Scan-Ready,स्कैन-तैयार
Scope,दायरा
Scope: All Profiles,दायरा: सभी प्रोफ़ाइल
Scope: Current Profile,दायरा: वर्तमान प्रोफ़ाइल
Scope: Specific Profile,दायरा: विशिष्ट प्रोफ़ाइल
Search,खोजें
Search Account,खाता खोजें
Search an invoice and continue the return flow without extra steps.,एक चालान खोजें और बिना किसी अतिरिक्त कदम के रिटर्न प्रवाह जारी रखें।
Search customer,ग्राहक खोजें
Search invoices or customers,चालान या ग्राहक खोजें
Search item,आइटम खोजें
Search item / code,आइटम/कोड खोजें
Search items or barcode,आइटम या बारकोड खोजें
Search Mpesa Payments,एमपेसा पेमेंट्स खोजें
Search return invoices or customers,रिटर्न चालान या ग्राहक खोजें
Search supplier,आपूर्तिकर्ता खोजें
Search unpaid invoices or customers,अवैतनिक चालान या ग्राहक खोजें
Secure context (HTTPS or localhost) is required for camera access.,कैमरा एक्सेस के लिए सुरक्षित संदर्भ (HTTPS या लोकलहोस्ट) आवश्यक है।
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,कैमरा एक्सेस के लिए सुरक्षित संदर्भ (HTTPS) आवश्यक है। कृपया कैमरे तक पहुंचने के लिए HTTPS का उपयोग करें।
Select,चयन करें
Select a cashier first.,सबसे पहले एक कैशियर चुनें.
Select a customer,एक ग्राहक चुनें
Select a customer to use coupon,कूपन का उपयोग करने के लिए एक ग्राहक का चयन करें
Select a printer to use QZ silent printing.,QZ साइलेंट प्रिंटिंग का उपयोग करने के लिए एक प्रिंटर का चयन करें।
Select Batch,बैच का चयन करें
Select Columns to Display,प्रदर्शित करने के लिए कॉलम चुनें
Select items to sell,बेचने के लिए आइटम चुनें
Select Payment,भुगतान चुनें
Select Payment Account,भुगतान खाता चुनें
Select printer,प्रिंटर चुनें
Select Return Invoice,वापसी चालान का चयन करें
Select S.O,एस.ओ. का चयन करें
Select Sales Orders,विक्रय आदेश चुनें
Select the cashier who is taking over this terminal.,उस कैशियर का चयन करें जो इस टर्मिनल का कार्यभार संभाल रहा है।
Selected,चयनित
Selected movement type is not allowed by POS Profile.,पीओएस प्रोफ़ाइल द्वारा चयनित गतिविधि प्रकार की अनुमति नहीं है।
Selected Payments,चयनित भुगतान
Sensitive actions kept away from quick taps.,संवेदनशील क्रियाएं त्वरित टैप से दूर रहीं।
Serial,धारावाहिक
Serial Numbers,सीरियल नंबर
Server CPU Usage:,सर्वर सीपीयू उपयोग:
Server Health,सर्वर स्वास्थ्य
Server Memory Usage:,सर्वर मेमोरी उपयोग:
Server Metrics,सर्वर मेट्रिक्स
Server Uptime:,सर्वर अपटाइम:
Service Charges,सेवा शुल्क
Session,सत्र
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,उपयोगकर्ता प्रपत्र में प्रत्येक कैशियर पिन सेट करें और टर्मिनल सदस्यों को पीओएस प्रोफ़ाइल उपयोगकर्ता में निर्दिष्ट रखें।
Settings,सेटिंग्स
Settings in this section update the POS workspace without changing the current route.,इस अनुभाग में सेटिंग्स वर्तमान मार्ग को बदले बिना पीओएस कार्यक्षेत्र को अद्यतन करती हैं।
Setup complete!,सेटअप पूर्ण!
Share,साझा करें
Shared terminal,साझा टर्मिनल
Shift Closed Snapshot,बंद स्नैपशॉट शिफ्ट करें
Shift Overview,शिफ्ट अवलोकन
Show,दिखाओ
Show cart on customer-facing screen,ग्राहक-सामना वाली स्क्रीन पर कार्ट दिखाएं
Show last invoice rate,अंतिम चालान दर दिखाएँ
Show rate info,दर की जानकारी दिखाएँ
Show Repair Candidates,मरम्मत करने वाले अभ्यर्थी दिखाएँ
Show search tools,खोज उपकरण दिखाएँ
Show the active cart on a customer-facing screen,ग्राहक-सामना वाली स्क्रीन पर सक्रिय कार्ट दिखाएं
Showing {0}-{1} of {2},{2} में से {0}-{1} दिखाया जा रहा है
Showing 0 of 0,0 में से 0 दिखा रहा है
Shows the distribution of invoices per currency,प्रति मुद्रा चालान का वितरण दिखाता है
Sign out of the current POS session,वर्तमान पीओएस सत्र से साइन आउट करें
Size:,आकार:
Skipped Payments,भुगतान छोड़ दिया गया
Skipping items without barcodes,बारकोड के बिना आइटम छोड़ना
Slow Moving,धीमी गति से चलना
Slow Moving Items,धीमी गति से चलने वाली वस्तुएँ
Slow Queries:,धीमी क्वेरीज़:
Sold,बेच दिया
Source,स्रोत
Source Cash Account (Optional Override),स्रोत नकद खाता (वैकल्पिक ओवरराइड)
Source Ex. Rate:,स्रोत पूर्व. दर:
Source Rate:,स्रोत दर:
Specific Profile,विशिष्ट प्रोफ़ाइल
Split Invoices,चालान विभाजित करें
Staff / Cashier Performance Report,स्टाफ/कैशियर प्रदर्शन रिपोर्ट
Status,स्थिति
Stock,भण्डार
Stock Information,स्टॉक सूचना
Stock is lower than requested,स्टॉक अनुरोध से कम है
Stock is lower than requested:\n{0},स्टॉक अनुरोध से कम है:\n{0}
Stock Movement Report,स्टॉक मूवमेंट रिपोर्ट
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,स्टॉक अपडेट: {0} के पास {1} उपलब्ध है। {2} जोड़ने से स्टॉक शून्य से नीचे आ जाएगा।
Submit,जमा करना
Submit & Print,सबमिट करें और प्रिंट करें
Submit Deposit,जमा जमा करें
Submit Expense,व्यय जमा करें
Submitted,प्रस्तुत किया गया
Submitted Cash Movements,नकद संचलन प्रस्तुत किया
Submitted entries,प्रविष्टियाँ प्रस्तुत की गईं
Successfully scanned:,सफलतापूर्वक स्कैन किया गया:
Suggested,सुझाव दिया
Suggested Qty,सुझाई गई मात्रा
Supervisor Access,पर्यवेक्षक पहुंच
Supervisor permissions unlock issuance and reloads,पर्यवेक्षक अनुमतियाँ जारी करने और पुनः लोड करने को अनलॉक करती हैं
Supervisor Tools,पर्यवेक्षक उपकरण
Supplier,आपूर्तिकर्ता
Supplier and dates are required.,आपूर्तिकर्ता और तारीखें आवश्यक हैं.
Supplier Invoices,आपूर्तिकर्ता चालान
Supplier is required.,आपूर्तिकर्ता की आवश्यकता है.
Supplier name is required,आपूर्तिकर्ता का नाम आवश्यक है
Supplier Payments,आपूर्तिकर्ता भुगतान
Supplier Purchase Summary,आपूर्तिकर्ता खरीद सारांश
Suppliers,आपूर्तिकर्ता
Suppliers not found,आपूर्तिकर्ता नहीं मिले
Switch Camera,कैमरा स्विच करें
Switch Cashier,कैशियर स्विच करें
Switch the POS appearance theme,पीओएस उपस्थिति थीम स्विच करें
Switched to:,पर स्विच किया गया:
Sync All Invoices,सभी चालान सिंक करें
Sync Offline Cash Movements ({0}),ऑफ़लाइन नकदी संचलन समन्वयित करें ({0})
Sync Offline Sales,ऑफ़लाइन बिक्री सिंक करें
Synced {0} offline cash movement(s).,समन्वयित {0} ऑफ़लाइन नकदी संचलन।
Syncing items in background,पृष्ठभूमि में आइटम समन्वयित करना
System / Diagnostics,सिस्टम / डायग्नोस्टिक्स
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","सिस्टम क्रियाएँ कम-आवृत्ति रखरखाव नियंत्रण हैं जैसे ऐप जानकारी, समर्थन डायग्नोस्टिक्स और सत्र नियंत्रण।"
System Information,सिस्टम सूचना
System Status,सिस्टम स्थिति
Tables:,टेबल्स:
Tap the button below to redeem a gift card during checkout.,चेकआउट के दौरान उपहार कार्ड भुनाने के लिए नीचे दिए गए बटन पर टैप करें।
Target,लक्ष्य
Target Ex. Rate:,लक्ष्य पूर्व. दर:
Target Rate:,लक्ष्य दर:
Tax,कर
Tax / Charges Report,कर/प्रभार रिपोर्ट
Tax Heads,कर प्रमुख
Taxable Amount,करयोग्य राशि
Tendered,टेंडर किया गया
Terminal,टर्मिनल
Terminal & Devices,टर्मिनल और उपकरण
Terminal locked,टर्मिनल लॉक कर दिया गया
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","टर्मिनल उपकरण इस चेकआउट स्टेशन, ग्राहक-सामना वाले डिस्प्ले और भविष्य के प्रिंटर/डिवाइस नियंत्रण को प्रभावित करते हैं।"
Territory not found,क्षेत्र नहीं मिला
The amount paid is not complete,भुगतान की गई राशि पूरी नहीं है
The app stores data locally for offline use. This is called cache.,ऐप ऑफ़लाइन उपयोग के लिए स्थानीय रूप से डेटा संग्रहीत करता है। इसे कैश कहा जाता है.
The invoice stayed in draft. Please review and submit it manually.,चालान ड्राफ्ट में ही रह गया. कृपया इसकी समीक्षा करें और इसे मैन्युअल रूप से सबमिट करें।
The maximum discount allowed is,अनुमत अधिकतम छूट है
The quantity for {0} has been adjusted to the maximum available stock.,{0} की मात्रा को अधिकतम उपलब्ध स्टॉक में समायोजित किया गया है।
The system could not retrieve the item details. Please try again.,सिस्टम आइटम विवरण पुनर्प्राप्त नहीं कर सका. कृपया पुन: प्रयास करें।
These invoices will be synced when connection is restored,कनेक्शन बहाल होने पर ये चालान सिंक हो जाएंगे
This action now opens inside the settings workspace.,यह क्रिया अब सेटिंग कार्यक्षेत्र के अंदर खुलती है।
This coupon already used !,यह कूपन पहले ही उपयोग किया जा चुका है!
This invoice does not need change-allocation repair,इस इनवॉइस को परिवर्तन-आवंटन मरम्मत की आवश्यकता नहीं है
This invoice is already repaired,इस चालान की मरम्मत पहले ही की जा चुकी है
This is an item template. Please choose a variant.,यह एक आइटम टेम्पलेट है. कृपया एक प्रकार चुनें.
this item,यह वस्तु
This POS page could not be opened offline because its code was not cached on this terminal yet.,यह पीओएस पेज ऑफ़लाइन नहीं खोला जा सका क्योंकि इसका कोड अभी तक इस टर्मिनल पर कैश नहीं किया गया था।
This Serial Number {0} has already been added!,यह सीरियल नंबर {0} पहले ही जोड़ा जा चुका है!
Threshold,देहली
Time,समय
Tip: Clear cache regularly to free up space and keep the app fast.,युक्ति: स्थान खाली करने और ऐप को तेज़ रखने के लिए नियमित रूप से कैश साफ़ करें।
Tip: Close unused tabs or apps to reduce lag.,युक्ति: अंतराल कम करने के लिए अप्रयुक्त टैब या ऐप्स बंद करें।
Tip: Monitor slow queries and table size for optimal performance.,युक्ति: इष्टतम प्रदर्शन के लिए धीमी क्वेरी और तालिका आकार की निगरानी करें।
To Be Paid,भुगतान किया जाना है
To Date,आज तक
Today,आज
Today Profit,आज लाभ
Today Sales,आज की बिक्री
Toggle navigation drawer,नेविगेशन ड्रॉअर टॉगल करें
Toggle Theme,थीम टॉगल करें
Tools,उपकरण
Tools for customer-facing screens and terminal-specific actions.,ग्राहक-सामना वाली स्क्रीन और टर्मिनल-विशिष्ट क्रियाओं के लिए उपकरण।
Top Brand,शीर्ष ब्रांड
Top Category,शीर्ष श्रेणी
Top Charge Head,शीर्ष प्रभारी प्रमुख
Top Customers,शीर्ष ग्राहक
Top Discount,शीर्ष छूट
Top Items by Location,स्थान के अनुसार शीर्ष आइटम
Top Margin,शीर्ष मार्जिन
Top Pending,शीर्ष लंबित
Top Profit Item,शीर्ष लाभ वाली वस्तु
Top Return Items,शीर्ष वापसी आइटम
Top Sales by Cashier,कैशियर द्वारा शीर्ष बिक्री
Top Supplier,शीर्ष आपूर्तिकर्ता
Top Suppliers by Spend,व्यय के अनुसार शीर्ष आपूर्तिकर्ता
Top Tables,शीर्ष तालिकाएँ
Top Tax Head,शीर्ष कर प्रमुख
Top Up Amount,टॉप अप राशि
Top Up Card,टॉप अप कार्ड
Top Up Mode,टॉप अप मोड
Top Variant,शीर्ष संस्करण
Total,कुल
Total Amount,कुल राशि
Total Change,संपूर्ण परिवर्तन
Total Charges,कुल शुल्क
Total In,कुल में
Total Invoices,कुल चालान
Total Items,कुल आइटम
Total Mpesa,कुल मपेसा
Total Out,टोटल आउट
Total Payments,कुल भुगतान
Total Purchase,कुल खरीद
Total Selected :,कुल चयनित :
Total Size,कुल आकार
Total Stock Qty,कुल स्टॉक मात्रा
Total:,कुल:
Totals by Invoice Currency,चालान मुद्रा द्वारा कुल
Track how much cash was handed back to customers,ट्रैक करें कि ग्राहकों को कितनी नकदी वापस सौंपी गई
"Track recent sales, collect unpaid balances, and reopen saved work","हाल की बिक्री को ट्रैक करें, अवैतनिक शेष राशि एकत्र करें और सहेजे गए कार्य को फिर से खोलें"
Transaction ID,लेन-देन आईडी
Transfer,स्थानांतरण
Try a different search term or clear the cart search.,कोई भिन्न खोज शब्द आज़माएँ या कार्ट खोज साफ़ करें।
Try adjusting your search or filters,अपनी खोज या फ़िल्टर समायोजित करने का प्रयास करें
Try another source or refresh the list.,कोई अन्य स्रोत आज़माएँ या सूची ताज़ा करें।
Try changing the date range or status filter.,दिनांक सीमा या स्थिति फ़िल्टर बदलने का प्रयास करें.
Type,प्रकार
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,बुनियादी सेटिंग्स के साथ भी कैमरे तक पहुंचने में असमर्थ। कृपया अपनी कैमरा अनुमतियाँ और डिवाइस अनुकूलता जाँचें।
Unable to add offer item {0}. Please refresh and try again.,ऑफ़र आइटम {0} जोड़ने में असमर्थ. कृपया ताज़ा करें और पुनः प्रयास करें।
Unable to add offer item. Please refresh and try again.,ऑफ़र आइटम जोड़ने में असमर्थ. कृपया ताज़ा करें और पुनः प्रयास करें।
Unable to add scanned item.,स्कैन किया गया आइटम जोड़ने में असमर्थ.
Unable to create purchase order,क्रय आदेश बनाने में असमर्थ
Unable to delete draft invoice,ड्राफ्ट चालान हटाने में असमर्थ
Unable to fetch documents,दस्तावेज़ लाने में असमर्थ
Unable to fetch draft orders,ड्राफ्ट ऑर्डर लाने में असमर्थ
Unable to fetch invoice history,चालान इतिहास लाने में असमर्थ
Unable to fetch M-Pesa payments,एम-पेसा भुगतान प्राप्त करने में असमर्थ
Unable to fetch sales orders,विक्रय आदेश लाने में असमर्थ
Unable to fetch unpaid invoices,भुगतान न किए गए चालान लाने में असमर्थ
Unable to generate scale barcode,स्केल बारकोड जनरेट करने में असमर्थ
Unable to issue gift card.,उपहार कार्ड जारी करने में असमर्थ.
Unable to load cashier PIN status.,कैशियर पिन स्थिति लोड करने में असमर्थ.
Unable to load document,दस्तावेज़ लोड करने में असमर्थ
Unable to load draft invoice,ड्राफ्ट चालान लोड करने में असमर्थ
Unable to load gift card balance.,उपहार कार्ड शेष लोड करने में असमर्थ.
Unable to load invoice details,चालान विवरण लोड करने में असमर्थ
Unable to load parked order,पार्क किया गया ऑर्डर लोड करने में असमर्थ
Unable to load the selected sales order,चयनित विक्रय आदेश लोड करने में असमर्थ
Unable to prepare document,दस्तावेज़ तैयार करने में असमर्थ
Unable to prepare return invoice,वापसी चालान तैयार करने में असमर्थ
Unable to print draft invoice,ड्राफ्ट चालान मुद्रित करने में असमर्थ
Unable to print submitted invoice,प्रस्तुत चालान मुद्रित करने में असमर्थ
Unable to process document action,दस्तावेज़ कार्रवाई संसाधित करने में असमर्थ
Unable to repair change allocation,परिवर्तन आवंटन की मरम्मत करने में असमर्थ
Unable to save cashier PIN.,कैशियर पिन सहेजने में असमर्थ.
Unable to save the rate to the backend price list,दर को बैकएंड मूल्य सूची में सहेजने में असमर्थ
Unable to submit invoice,चालान जमा करने में असमर्थ
Unable to submit the selected payment,चयनित भुगतान सबमिट करने में असमर्थ
Unable to top up gift card.,उपहार कार्ड टॉप अप करने में असमर्थ.
Unable to verify cashier PIN.,कैशियर पिन सत्यापित करने में असमर्थ.
Unallocated,आवंटित नहीं
Unallocated:,असंबद्ध:
Unavailable,अनुपलब्ध
Unknown,अज्ञात
Unknown Item,अज्ञात वस्तु
Unknown Warehouse,अज्ञात गोदाम
Unlock POS,पीओएस अनलॉक करें
Unpaid,अवैतनिक
"Unselected payments stay unallocated first, then auto reconcile after submit.","अचयनित भुगतान पहले असंबद्ध रहते हैं, फिर सबमिट के बाद स्वतः समाधान हो जाता है।"
UOM,यूओएम
UOM not found,यूओएम नहीं मिला
Update available,अपडेट उपलब्ध है
Update Customer,ग्राहक को अपडेट करें
Update PIN,पिन अपडेट करें
Update Price List Rate,अद्यतन मूल्य सूची दर
Updated,अद्यतन किया गया
Updates and app info that stay out of the cashier flow.,अपडेट और ऐप जानकारी जो कैशियर प्रवाह से बाहर रहती है।
Updates automatically,स्वचालित रूप से अद्यतन होता है
Usage,उपयोग
Usage Stats,उपयोग आँकड़े
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,कैशियर स्विचिंग और टर्मिनल अनलॉक के लिए 4 से 8 अंकों के पिन का उपयोग करें।
Use Cashier,खजांची का प्रयोग करें
Use date range to search for older invoices,पुराने चालान खोजने के लिए दिनांक सीमा का उपयोग करें
"Use one field for manual code entry, barcode scans, or QR scans.","मैन्युअल कोड प्रविष्टि, बारकोड स्कैन या क्यूआर स्कैन के लिए एक फ़ील्ड का उपयोग करें।"
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","पीओएस छोड़े बिना शेष राशि की जांच, नए जारी करने और टॉप अप के लिए एक वर्कफ़्लो का उपयोग करें।"
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","इस अनुभाग का उपयोग तब करें जब कैश्ड पूर्वापेक्षित डेटा को ताज़ा करने, पुनर्निर्माण या निदान समीक्षा की आवश्यकता हो।"
Use Western numerals,पश्चिमी अंकों का प्रयोग करें
Used:,प्रयुक्त:
Using basic camera settings due to device limitations,डिवाइस की सीमाओं के कारण बुनियादी कैमरा सेटिंग्स का उपयोग करना
Using cached customer balance,कैश्ड ग्राहक शेष का उपयोग करना
Valid until,तक वैध है
Variance %,भिन्नता %
Variants,वेरिएंट
Variant-wise,भिन्न-भिन्न प्रकार के अनुसार
Verify closing amounts for each payment method,प्रत्येक भुगतान विधि के लिए समापन राशि सत्यापित करें
View all,सभी देखें
View app information and current build details,ऐप की जानकारी और वर्तमान निर्माण विवरण देखें
View Data Diagnostics,डेटा डायग्नोस्टिक्स देखें
View Details,विवरण देखें
View invoice details,चालान विवरण देखें
View notifications,सूचनाएं देखें
View offline invoices,ऑफ़लाइन चालान देखें
View restricted POS insights,प्रतिबंधित पीओएस अंतर्दृष्टि देखें
Void Amount,शून्य राशि
Void Count,शून्य गिनती
Voids,ख़ालीपन
Waiting for cart items,कार्ट आइटम की प्रतीक्षा की जा रही है
Waiting for payment...,भुगतान की प्रतीक्षा की जा रही है...
Walk-in Customer,वॉक-इन ग्राहक
Warehouse,गोदाम
Warning: High cache usage may affect performance.,चेतावनी: उच्च कैश उपयोग प्रदर्शन को प्रभावित कर सकता है।
Warning: High lag may indicate heavy processing or browser slowness.,चेतावनी: उच्च अंतराल भारी प्रसंस्करण या ब्राउज़र धीमेपन का संकेत दे सकता है।
Week ?,सप्ताह ?
Week-wise,सप्ताहवार
Weight (g),वजन (जी)
Weight (grams),वजन (ग्राम)
We'll let you know if an invoice fails to submit,यदि कोई चालान जमा करने में विफल रहता है तो हम आपको बताएंगे
Workflow,कार्यप्रवाह
Write off amount cannot exceed the POS profile maximum of {0},राइट-ऑफ़ राशि पीओएस प्रोफ़ाइल की अधिकतम सीमा {0} से अधिक नहीं हो सकती
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,बट्टे खाते में डाली गई राशि अनुमत सीमा ({0}) से अधिक है। कृपया शेष राशि का भुगतान जोड़ें.
Yes,हाँ
"Yes, Cancel sale","हाँ, बिक्री रद्द करें"
"Yes, Close","हाँ, बंद करें"
You are not allowed to print draft invoices,आपको ड्राफ्ट चालान प्रिंट करने की अनुमति नहीं है
You are offline. Add Payment will work again when the connection is restored.,आप ऑफ़लाइन हैं. कनेक्शन बहाल होने पर ऐड पेमेंट फिर से काम करेगा।
You have no notifications right now,अभी आपके पास कोई सूचना नहीं है
Your Cart,आपकी गाड़ी
