POS Awesome,POS Félelmetes
Fetch Items Directly from Server,Tételek letöltése közvetlenül a szerverről
Menu,Menü
Actions,Akciók
Close Shift,A Shift bezárása
End current session,Az aktuális munkamenet befejezése
Print Last Invoice,Nyomtassa ki az utolsó számlát
Reprint previous transaction,Nyomtassa ki újra az előző tranzakciót
Sync Offline Invoices,Offline számlák szinkronizálása
Upload pending transactions,Függőben lévő tranzakciók feltöltése
Go Online,Online
Go Offline,Lépjen offline módba
Disable offline mode,Az offline mód letiltása
Work without server connection,Dolgozzon szerverkapcsolat nélkül
Clear Cache,Törölje a gyorsítótárat
Remove local data and refresh,"Távolítsa el a helyi adatokat, és frissítse"
About,Körülbelül
App information,Alkalmazásinformációk
Language,Nyelv
Change interface language,Az interfész nyelvének módosítása
Light Mode,Fény mód
Dark Mode,Sötét mód
Switch theme appearance,Téma megjelenésének váltása
Logout,Kijelentkezés
Sign out of session,Jelentkezzen ki a munkamenetből
Select Language,Válassza a Nyelv lehetőséget
Choose your preferred language for the POS interface,Válassza ki a POS felület kívánt nyelvét
Language will be changed to,A nyelv erre módosul
Cancel,Mégsem
Change Language,Nyelv módosítása
Close,Bezárás
Cannot change language - same language selected,A nyelv nem módosítható – ugyanaz a nyelv van kiválasztva
Language changed successfully! Reloading...,Sikeresen megváltoztatta a nyelvet! Újratöltés...
Failed to change language,Nem sikerült megváltoztatni a nyelvet
Unknown error,Ismeretlen hiba
- Total Unallocated,- Összesen fel nem osztott
* Required,* Kötelező
{0} (Qty: {1}),{0} (mennyiség: {1})
{0} actions,{0} művelet
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,A(z) {0} terméknél csak {1} van raktáron. Ön ezt kérte: {2}. Állítsa be a mennyiséget vagy töltse fel a készletet.
{0} offline invoice{1} pending,{0} offline számla{1} függőben
{0} offline invoice{1} saved as draft,{0} offline számla{1} vázlatként mentve
{0} offline invoice{1} synced,{0} offline számla{1} szinkronizálva
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0} napja
{0}h ago,{0} órája
{0}m ago,{0} perce
A POS supervisor is required for this action.,Ehhez a művelethez POS-felügyelő szükséges.
Access,Hozzáférés
Account,fiók
Account is overdrawn,A számla túlterhelt
Acknowledge the error to resume scanning,A vizsgálat folytatásához nyugtázza a hibát
Acknowledge the error to resume scanning.,A vizsgálat folytatásához nyugtázza a hibát.
Across,Keresztül
Action,Akció
Active sale,Aktív értékesítés
add,add hozzá
Add items from the selector to start building this sale.,"Adjon hozzá elemeket a választóból, hogy elkezdhesse ezt az akciót."
Add more value to an existing gift card,Adjon hozzá több értéket egy meglévő ajándékutalványhoz
Add New Address,Új cím hozzáadása
Add new customer,Új ügyfél hozzáadása
Add on New Line,Új sor hozzáadása
Add Payment,Fizetés hozzáadása
Add payment to invoice,Fizetés hozzáadása a számlához
Add/Edit Coupon Conditions,Kuponfeltételek hozzáadása/szerkesztése
Additional Discount,További kedvezmény
Additional Discount %,További kedvezmény %
Address Line 1,Cím 1. sora
Address not found,A cím nem található
Adjust the quantity or enable negative stock to continue.,"Módosítsa a mennyiséget, vagy engedélyezze a negatív készlet folytatását."
Adjustment,Beállítás
After returns,Visszatérés után
Against,Ellen
Against Name,Név ellen
Age Bracket,Korhatár
All,Mind
All Caught Up!,Minden felkapott!
All invoices are synchronized,Minden számla szinkronizálva van
All pending invoices are up to date,Minden függőben lévő számla naprakész
All Profiles,Minden profil
All Synchronized,Minden szinkronizált
All visible invoices are fully settled.,Minden látható számla teljesen kiegyenlített.
All Warehouses,Minden raktár
Allowed UOM is {0},Az engedélyezett UOM: {0}
Always fetch items from server (ignore local cache),Mindig töltsön le elemeket a szerverről (a helyi gyorsítótár figyelmen kívül hagyása)
Amount,Összeg
Amount already received,Már beérkezett összeg
Amount exceeds profile cash movement max amount.,Az összeg meghaladja a profil készpénzmozgásának maximális összegét.
Amount must be greater than zero.,Az összegnek nagyobbnak kell lennie nullánál.
Amount received from customer,Az ügyféltől kapott összeg
Appearance and user-level preferences for the current session.,Megjelenés és felhasználói szintű beállítások az aktuális munkamenethez.
Applied,Alkalmazva
Apply,Alkalmazni
Apply Gift Card,Ajándékkártya alkalmazása
Apply Offer,Ajánlat alkalmazása
Apply On,Alkalmazás bekapcsolva
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Csak a beváltani kívánt összeget alkalmazza erre a számlára. A fennmaradó egyenleg a kártyán marad.
Apply Redemption,Alkalmazza a Megváltást
Applying,Jelentkezés
Apps,Alkalmazások elemre
Are you sure you want to close? All entered data will be lost.,Biztosan bezárja? Minden megadott adat elvész.
Attributes (Size/Color),Tulajdonságok (méret/szín)
Auto Allocate Payment Amount,Fizetési összeg automatikus kiosztása
Auto Reconcile,Automatikus egyeztetés
Auto reconciliation completed after payment submit.,Az automatikus egyeztetés a fizetés elküldése után befejeződött.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Az automatikus egyeztetés befejeződött. Kiosztva: {0}{1}. Fennmaradó: {0}{2}.
Available Actions,Rendelkezésre álló műveletek
Available QTY,Elérhető darabszám
Available:,Elérhető:
Average Basket,Átlagos kosár
Average Bill,Átlagos Bill
Average Ticket,Átlagos jegy
Avg Bill,Átl. Bill
Avg Invoice,Átl. számla
Avg Invoice Profit,Átl. számla nyereség
Avg Invoice Value,Átl. számlaérték
Avg Purchase Frequency,Átl. vásárlási gyakoriság
Awesome,Félelmetes
Awesome Dashboard,Félelmetes irányítópult
Awesome Dashboard is disabled for the selected POS Profile.,Az Awesome Dashboard le van tiltva a kiválasztott POS-profilnál.
Awesome Dashboard is unavailable for the selected scope.,Az Awesome Dashboard nem érhető el a kiválasztott hatókörhöz.
Awesome Dashboard is visible only to POS supervisors.,Az Awesome Dashboard csak a POS-felügyelők számára látható.
Back,Vissza
Back Office Cash Account,Back Office készpénzszámla
Back Office Cash Account (Optional Override),Back Office készpénzszámla (opcionális felülírás)
Back office cash account is required.,Back office készpénzszámla szükséges.
Back to {0},Vissza ide: {0}
Background processing did not finish in time.,A háttérfeldolgozás nem fejeződött be időben.
Background processing failed for Invoice {0}: {1},A(z) {0} számla háttérfeldolgozása meghiúsult: {1}
Background Submission Failed,A háttérbeküldés sikertelen
Background sync interval (seconds),Szinkronizálási időköz a háttérben (másodperc)
Balance,Egyenleg
Balance will be updated when connection is restored,Az egyenleg a kapcsolat helyreállásakor frissül
Balances still pending,Az egyenlegek még függőben vannak
Barcode,Vonalkód
Barcode / QR Ready,Vonalkód / QR kész
Barcode Label Printing,Vonalkód címke nyomtatás
Base Paid:,Fizetett alap:
Base Recv:,Alap fogadás:
Base:,Alap:
Basic Information,Alapvető információk
Batch,Batch
Batch Information,Batch Information
Before any return workflow,Bármilyen visszatérési munkafolyamat előtt
Before returns,Visszatérés előtt
Best Day,Legjobb nap
Best Seller,Legjobb eladó
Book expense or deposit from active shift.,Könyvköltség vagy letét az aktív műszakból.
Branch / Location-wise Report,Elágazás / Helyszín szerinti jelentés
Brand-wise,Márka szerint
Breakdown,Lebontás
Browse,Tallózás
Build Time:,Építési idő:
Built with Frappe,Frappéval épült
Bundle,Csomag
Buying Price,Vásárlási ár
Cache cleared successfully,A gyorsítótár sikeresen törölve
Cache Usage,Gyorsítótár használata
cache used,gyorsítótár használt
Calculating...,Számítás...
Camera Access Required,Kamera hozzáférés szükséges
Camera access was aborted. Please try again.,"A kamera hozzáférése megszakadt. Kérjük, próbálja újra."
Camera constraints not supported by your device. Trying fallback settings...,Az eszköz nem támogatja a kamera korlátozásait. Tartalék beállítások kipróbálása...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,"A kamera foglalt, vagy egy másik alkalmazás/lap blokkolja. Zárja be a többi kameraalkalmazást, és próbálja újra."
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,"Kameraengedély megtagadva. Kérjük, engedélyezze a kamera hozzáférését a böngésző beállításaiban, és frissítse az oldalt."
Camera scanner is locked until the current error is acknowledged,A kamera lapolvasója az aktuális hiba nyugtázásáig zárolva van
Camera started but the video stream did not load in time. Please try again.,"A kamera elindult, de a videofolyam nem töltődött be időben. Kérjük, próbálja újra."
Cancel cash movement {0}?,Törli a készpénzmozgást {0}?
Cancel Payment,Fizetés törlése
Cancel Sale,Eladás törlése
Cancel Sale ?,Mégse az értékesítést?
Cancelled,Törölve
Cannot add an item with zero or negative quantity.,Nem lehet nulla vagy negatív mennyiséget tartalmazó tételt hozzáadni.
Cannot clear cache while offline,Offline állapotban nem lehet törölni a gyorsítótárat
Cannot redeem customer credit more than invoice total,"Nem váltható be több ügyfél jóváírása, mint a számla végösszege"
Cannot redeem gift cards more than invoice total,A számla végösszegénél több ajándékutalványt nem lehet beváltani
Cannot Save Offline Invoice:,Az offline számla nem menthető:
Cannot Save Offline Payment:,Nem lehet menteni az offline fizetést:
Card,kártya
Card / Online,Kártya / Online
Card health after the last live lookup,A kártya állapota az utolsó élő keresés után
Cards,Kártyák
Cart,Kosár
Cash,Készpénz
Cash back to customers,Pénzvisszafizetés az ügyfeleknek
Cash Collections,Készpénzes beszedések
Cash Deposit is disabled for this POS Profile.,A készpénzes befizetés le van tiltva ennél a POS-profilnál.
Cash Drawer Snapshot,Pénztáros pillanatkép
Cash In Hand,Készpénz a Kézben
Cash Movement,Pénzmozgás
Cash movement cancelled,Pénzmozgás törölve
Cash movement deduction applied,Pénzmozgási levonás alkalmazott
Cash movement deleted,Pénzmozgás törölve
Cash movement is disabled for this POS Profile.,A készpénzmozgás le van tiltva ennél a POS-profilnál.
Cash Movement is disabled in current POS Profile.,A készpénzmozgás le van tiltva a jelenlegi POS-profilban.
Cash movement saved offline,A készpénzmozgás offline módban mentve
Cash movement submitted,Pénzmozgás benyújtva
Cash Movements,Készpénzmozgások
Cash payment cannot be less than invoice total when partial payment is not allowed,"A készpénzes fizetés nem lehet kevesebb a számla végösszegénél, ha a részleges fizetés nem megengedett"
Cash returned after payment,Fizetés után készpénz visszakerült
Cashier,Pénztáros
Cashier Access,Pénztáros hozzáférés
Cashier identity and appearance preferences.,A pénztáros személyazonossága és megjelenési preferenciái.
Cashier PIN,Pénztári PIN-kód
Cashier PIN saved successfully.,A pénztáros PIN-kód sikeresen elmentve.
Cashiers,Pénztárosok
Cashier-wise,Pénztári szempontból
Categories,Kategóriák
Category,Kategória
Category / Brand / Variant Report,Kategória / Márka / Változat jelentés
Category-wise,Kategória szerint
Category-wise Margin,Kategória szerinti árrés
Certificate,Tanúsítvány
Certificate is missing or not trusted. QZ may show confirmation dialogs.,A tanúsítvány hiányzik vagy nem megbízható. A QZ megerősítő párbeszédpaneleket jeleníthet meg.
Certificate is trusted. Silent QZ printing is active.,A tanúsítvány megbízható. A csendes QZ nyomtatás aktív.
Change,Változás
Change allocation repaired,Változáskiosztás javítva
Change Price,Ár módosítása
Change Return,Visszatérés módosítása
Change Returned,Változás visszatért
Change terminal cashier,Cserélje ki a terminál pénztárát
Charge Heads,Töltőfejek
Charges,Díjak
Charges not found,Díjak nem találhatók
Check Balance,Ellenőrizze az egyenleget
Check balance for any card. Supervisors can issue and top up cards here.,Ellenőrizze bármely kártya egyenlegét. A felügyelők itt adhatnak ki és tölthetnek fel kártyákat.
Check balance only,Csak egyenleget ellenőrizze
Check for new commits,Ellenőrizze az új commitokat
Check for Updates,Ellenőrizze a frissítéseket
Check live balance before applying redemption,A beváltás alkalmazása előtt ellenőrizze az élő egyenleget
Check live balance before redemption,A beváltás előtt ellenőrizze az élő egyenleget
Checking...,Ellenőrzés...
Cheque/Reference Date,Csekk/Referencia dátuma
Cheque/Reference No,Csekk/hivatkozási szám
Choose the cashier currently operating this terminal.,Válassza ki a terminált jelenleg üzemeltető pénztárost.
City,Város
Clear,Világos
Clear All,Összes törlése
Clear all barcode items,Törölje az összes vonalkód elemet
Clear all purchase order items,Törölje az összes beszerzési rendelési tételt
Clear Search,Keresés törlése
Clearing local cache...,Helyi gyorsítótár törlése...
Click to refresh,Kattintson a frissítéshez
Client CPU Lag:,Kliens CPU késés:
Client Memory Usage:,Kliens memóriahasználat:
Client Metrics,Ügyfélmutatók
Close about dialog,A párbeszédpanel bezárása
Close cashier switcher,Zárja be a pénztáros váltót
Close closing shift dialog,A shift párbeszédpanel bezárása
Close column selector,Oszlopválasztó bezárása
Close Dialog,Párbeszéd bezárása
Close drafts dialog,A piszkozatok párbeszédpanel bezárása
Close invoice details dialog,A számla részletei párbeszédpanel bezárása
Close invoice management,Számlakezelés bezárása
Close offline invoices dialog,Az offline számlák párbeszédpanelének bezárása
Close packing list dialog,Csomagolási lista párbeszédpanel bezárása
Close returns dialog,A visszatérési párbeszédpanel bezárása
Close sales orders dialog,Az értékesítési rendelések párbeszédpanel bezárása
Close Scanner,Zárja be a szkennert
Close scanner dialog,Szkenner párbeszédpanel bezárása
Close Settings,Zárja be a Beállításokat
Closing Amount,Záró összeg
Closing POS Shift,A POS Shift bezárása
Closing Snapshot Available,Elérhető a záró pillanatfelvétel
Code,kód
Code scanned successfully,A kód beolvasása sikeresen megtörtént
COGS,COGS
Collapse item details,Az elem részleteinek összecsukása
Collected,Összegyűjtött
Cols,Cols
Columns,Oszlopok
commits,vállalja
Completed and active sales in this range,Befejezett és aktív értékesítések ebben a tartományban
Completed returns will appear here.,Itt jelennek meg a befejezett visszaküldések.
Confirm,Erősítse meg
Confirm Close,Erősítse meg a Bezárást
Confirm Mobile Number,Erősítse meg a mobilszámot
Confirm PIN,Erősítse meg a PIN kódot
Connect,Csatlakozás
Connect printer and manage certificate,Csatlakoztassa a nyomtatót és kezelje a tanúsítványt
Connecting to QZ Tray...,Csatlakozás a QZ tálcához...
Connection problem while submitting invoice,Kapcsolódási probléma a számla benyújtása közben
Connections:,Csatlakozások:
Connectivity and cached prerequisite status were rechecked.,A kapcsolat és a gyorsítótárazott előfeltétel állapota újraellenőrzésre került.
Continue Editing,Szerkesztés folytatása
Could not fetch latest balance from server,Nem sikerült lekérni a legújabb egyenleget a szerverről
Count,Gróf
Country,Ország
Coupon,Kupon
Coupons,Kuponok
Cover,Borító
CPU Cores:,CPU magok:
Create,Létrehozása
Create and load a new prepaid card,Hozzon létre és töltsön be egy új feltöltőkártyát
Create and preload a new gift card,Hozzon létre és töltsön be előre egy új ajándékutalványt
Create Bill,Bill létrehozása
Create Customer,Ügyfél létrehozása
Create New Item,Új elem létrehozása
Create or change your PIN,PIN-kód létrehozása vagy módosítása
Create PIN,PIN-kód létrehozása
Create POS Opening Shift,POS nyitó eltolás létrehozása
Create Purchase Order,Megrendelés létrehozása
Create Return,Return létrehozása
Create return from invoice,Hozzon létre visszatérítést a számláról
Create Supplier,Szállító létrehozása
Credit and Output,Hitel és kimenet
Credit Note,Hiteljegy
Credit Outstanding,Kiemelkedő hitel
Credit sales remaining to be collected,A hiteleladások beszedése hátravan
Critical,Kritikus
Currency,Pénznem
Current,Aktuális
Current Event Loop Lag:,Aktuális eseményhurok késés:
Current Month,Aktuális hónap
Current PIN,Jelenlegi PIN-kód
Current Profile,Jelenlegi profil
Current redeemable value on the gift card,Az ajándékutalványon szereplő aktuális beváltható érték
Current User,Jelenlegi felhasználó
Custom,Egyedi
Custom Due Days,Egyedi esedékességi napok
Custom items per page,Egyedi tételek oldalanként
Customer,Ügyfél
Customer already selected,Az ügyfél már kiválasztott
Customer Balance,Ügyfélegyenleg
Customer balance unavailable offline,Az ügyfélegyenleg nem érhető el offline módban
Customer created successfully.,Az ügyfél sikeresen létrehozta.
Customer creation failed.,Az ügyfél létrehozása nem sikerült.
Customer Details,Ügyfél adatai
Customer display channel is missing,Az ügyfél megjelenítési csatornája hiányzik
Customer display was blocked. Please allow pop-ups for this site.,"Az ügyfél megjelenítése blokkolva volt. Kérjük, engedélyezze az előugró ablakokat ezen a webhelyen."
Customer group is required,Ügyfélcsoport szükséges
Customer is required to add payment,Az ügyfél köteles hozzáadni a fizetést
Customer Name is required,Az Ügyfél neve kötelező
Customer not selected,Az ügyfél nincs kiválasztva
Customer Report,Ügyféljelentés
Customer saved offline,Az ügyfél offline állapotban mentve
Customer Screen,Ügyfél képernyő
Customer territory is required,Az ügyfél területe kötelező
Customer updated successfully.,Az ügyfél sikeresen frissítette.
Customer-facing tools and printer setup.,Ügyfélközpontú eszközök és nyomtatóbeállítás.
Customers,Ügyfelek
Customers not found,Az ügyfelek nem találhatók
Daily cashier actions without scrolling.,Napi pénztáros műveletek görgetés nélkül.
Daily Sales,Napi értékesítés
Daily Sales Summary,Napi értékesítési összefoglaló
Data loaded in form. Review and submit.,Adatok betöltve űrlapba. Tekintse át és küldje be.
Database Health,Adatbázis állapota
Database health affects overall system speed and reliability.,Az adatbázis állapota befolyásolja a rendszer általános sebességét és megbízhatóságát.
Database Info,Adatbázis Info
Date,Dátum
Day ?,nap ?
days,napokon
Day-wise (MTD),Nappali (MTD)
Day-wise Movement,Napi bölcs mozgalom
Dead Stock,Dead Stock
Dead Stock Items,Halott készletek
Decrease quantity,Csökkentse a mennyiséget
Default,Alapértelmezett
Default:,Alapértelmezett:
Delete,Törölje
Delete cancelled cash movement {0}?,Törli a törölt készpénzmozgást ({0})?
Delete Draft,Piszkozat törlése
Delete draft invoice,Számlavázlat törlése
Delete draft invoice {0}?,Törli a(z) {0} számlavázlatot?
Delete Invoice,Számla törlése
Delete offline invoice,Offline számla törlése
Delivered,Szállítva
Delivery Charges,Szállítási díjak
Delivery Information,Szállítási információk
Delivery Note {0} created,Szállítólevél {0} létrehozva
Delivery note created,Szállítólevél létrehozva
Deployed Bundle:,Telepített csomag:
Deposit,letét
Description,Leírás
Detailed Supplier Breakdown,Részletes beszállítói bontás
Detecting formats:,Formátumok észlelése:
Device Memory:,Készülékmemória:
Difference,Különbség
Difference (In Company Currency),Különbség (a vállalat pénznemében)
Disable offline mode first to recheck live connectivity.,"Először kapcsolja ki az offline módot, hogy újra ellenőrizze az élő kapcsolatot."
Disconnect,Leválasztás
discount,kedvezmény
Discount %,Kedvezmény %
Discount / Void / Return Report,Kedvezmény / Érvénytelen / Visszaküldési jelentés
Discount Amount,Kedvezmény összege
Discount limited by POS Profile,A kedvezményt a POS profil korlátozza
Discounted Invoices,Kedvezményes számlák
Discounts,Kedvezmények
Dismiss,Elvetés
Download Certificate,Tanúsítvány letöltése
Draft,Piszkozat
Draft invoice deleted,Számlavázlat törölve
Draft source,Piszkozat forrás
Drafts,Piszkozatok
Due {0},esedékesség: {0}
Due Date,Esedékesség
Duplicate,Megkettőzés
Edit customer,Ügyfél szerkesztése
Edit discount amount,Szerkessze a kedvezmény összegét
Edit discount percentage,Szerkessze a kedvezmény százalékát
Edit Gift Application,Ajándékkérelem szerkesztése
Edit item name,Szerkessze az elem nevét
Edit quantity,Mennyiség szerkesztése
Edit rate,Arány szerkesztése
Edit unit of measure,Mértékegység szerkesztése
Edited,Szerkesztette
Employee,Alkalmazott
Enable background sync,Háttér szinkronizálás engedélyezése
Enable Customer Display in POS Profile first.,Először engedélyezze az Ügyfél megjelenítését a POS-profilban.
Enter a PIN.,Adjon meg egy PIN-kódot.
Enter a valid grams value,Adjon meg egy érvényes gramm értéket
Enter new price list rate,Adja meg az új árlista árat
Enter Quantity,Adja meg a Mennyiséget
Enter the cashier PIN to continue.,A folytatáshoz írja be a pénztáros PIN kódját.
Enter the current PIN first.,Először írja be az aktuális PIN-kódot.
"Enter the current PIN, then choose a new one.","Írja be a jelenlegi PIN-kódot, majd válasszon egy újat."
Enter valid grams for scale barcode,Adjon meg érvényes grammokat a mérleg vonalkódjához
Entries,Bejegyzések
Error accessing camera:,Hiba a kamera elérésekor:
Error calculating prices,Hiba az árak kiszámításakor
Error fetching customer balance,Hiba történt az ügyfélegyenleg lekérésekor
Error in change calculations!,Hiba a változás számításánál!
Error Loading Data,Hiba az adatok betöltésekor
Error loading invoice details,Hiba a számla részleteinek betöltésekor
Error processing invoice,Hiba a számla feldolgozása során
Error processing payment,Hiba a fizetés feldolgozása során
Error searching invoices,Hiba a számlák keresése során
Error submitting invoice:,Hiba a számla benyújtásakor:
Error submitting invoice: {0},Hiba a számla elküldésekor: {0}
Error submitting invoice: No response from server,Hiba a számla elküldésekor: Nincs válasz a szervertől
Error updating currency,Hiba történt a pénznem frissítésekor
Error updating item details,Hiba történt az elem részleteinek frissítésekor
Est. Purchase,Becs. Vásárlás
Est. Value,Becs. Érték
Event-loop lag measures how busy your browser is. Lower is better.,"Az eseményhurok késleltetése azt méri, hogy mennyire elfoglalt a böngészője. Az alacsonyabb jobb."
Every,Minden
Exchange Rate,Árfolyam
Expand item details,A tétel részleteinek kibontása
Expected Amount (In Company Currency),Várható összeg (a vállalat pénznemében)
Expected Cash,Várható készpénz
Expected cash on hand grouped by currency,Várható készpénz devizanemenként csoportosítva
Expected vs Actual,Várható vs
Expense,Költség
Expense Account (Optional Override),Költségszámla (opcionális felülírás)
Expense account is required.,Költségszámla szükséges.
Expenses and deposits posted during this shift,A műszak alatt könyvelt költségek és betétek
Expired,Lejárt
Failed to auto reconcile payments.,Nem sikerült a kifizetések automatikus egyeztetése.
Failed to cancel cash movement,Nem sikerült törölni a készpénzmozgást
Failed to clear cache,Nem sikerült törölni a gyorsítótárat
Failed to create item,Nem sikerült létrehozni az elemet
Failed to create supplier,Nem sikerült létrehozni a szállítót
Failed to delete cash movement,Nem sikerült törölni a készpénzmozgást
Failed to generate scale barcode. Using item barcode only.,Nem sikerült létrehozni a méretarányos vonalkódot. Csak tétel vonalkód használata.
Failed to load cash movement context.,Nem sikerült betölteni a készpénzmozgási kontextust.
Failed to load dashboard data.,Nem sikerült betölteni az irányítópult adatait.
Failed to reload invoice from server,Nem sikerült újratölteni a számlát a szerverről
Failed to submit cash movement,Nem sikerült benyújtani a készpénzmozgást
Failed to sync offline cash movements,Nem sikerült szinkronizálni az offline készpénzmozgásokat
Fast cashier actions for active shifts.,Gyors pénztáros műveletek aktív műszakokhoz.
Fast Moving Items,Gyorsan mozgó elemek
Fees,Díjak
Fetch the latest offline prerequisite updates,Töltse le a legújabb offline előfeltétel-frissítéseket
Find a sales order quickly and load it into the current sale.,"Keressen gyorsan egy értékesítési rendelést, és töltse be az aktuális akcióba."
Fixing payment amounts for return invoice...,Visszaküldési számla fizetési összegének rögzítése...
Flash Off,Vaku kikapcsolva
Flash On,Vaku bekapcsolva
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","A „Termékcsomag” tételeknél a „Csomagolási lista” táblázatban a Raktár, a sorozatszám és a kötegszám kerül figyelembevételre. Ha a Raktár és a Tételszám megegyezik bármely „Termékcsomag” tételnél az összes csomagolási cikknél, akkor ezek az értékek beírhatók a fő Cikktáblázatba; Az értékek a „Csomagolási lista” táblába másolódnak."
Free,Ingyenes
Free Qty,Ingyenes mennyiség
Frequency,Frekvencia
from,től
From Date,Dátumtól
Fulfillment Details,Teljesítés részletei
Full Name,Teljes név
Gain,Nyereség
Generate a fresh prepaid card and start it with an opening balance.,"Hozzon létre egy új feltöltőkártyát, és indítsa el nyitóegyenleggel."
