POS Awesome,POSnya Luar Biasa
Processing Payment,Memproses Pembayaran
Processing payment entries for Invoice {0},Memproses entri pembayaran untuk Faktur {0}
Profile,Profil
Profiles,Profil
Profit,Keuntungan
Profit: Invoice Item Estimate,Keuntungan: Estimasi Item Faktur
Profit: Stock Ledger (COGS),Keuntungan: Buku Besar Saham (COGS)
Profitability Report,Laporan Profitabilitas
Prorated return discount,Diskon pengembalian yang diprorata
Purchase Amount,Jumlah Pembelian
Purchase Invoices,Faktur Pembelian
Purchase Order created,Pesanan Pembelian dibuat
Qty,Jumlah
Qualified,Berkualitas
Quantity,Kuantitas
Quantity exceeds available stock,Kuantitas melebihi stok yang tersedia
Quick Actions,Tindakan Cepat
Quotation {0} is Submitted,Kutipan {0} Dikirim
Quotation submitted,Kutipan dikirimkan
QZ Tray connected.,Baki QZ terhubung.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ Tray terputus secara manual. Tekan Hubungkan untuk mengaktifkannya lagi.
QZ Tray is not connected.,Baki QZ tidak terhubung.
QZ Tray Setup,Pengaturan Baki QZ
Rate,Nilai
Rate adjusted to maximum allowed discount,Tarif disesuaikan dengan diskon maksimum yang diperbolehkan
Ready,Siap
Ready to resume,Siap untuk melanjutkan
Ready!,Siap!
Real-time POS insights for retail operations.,Wawasan POS waktu nyata untuk operasi ritel.
Rebuild Offline Data,Membangun Kembali Data Offline
Receive,Terima
Receive now,Terima sekarang
Received,Diterima
Received:,Diterima:
Recent Movement Entries,Entri Pergerakan Terkini
Recent updates about your invoices,Pembaruan terkini tentang faktur Anda
Recently Active Customers,Pelanggan Aktif Baru-baru ini
Rechecking connection,Memeriksa ulang koneksi
Reconcile payment methods and close shift,Rekonsiliasi metode pembayaran dan tutup shift
Reconciling Payments,Rekonsiliasi Pembayaran
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Hubungkan kembali dan buka halaman ini satu kali saat online, maka penyegaran offline akan dapat memulihkannya."
Reconnect online to refresh cached offline data from the server.,Sambungkan kembali secara online untuk menyegarkan data offline yang di-cache dari server.
Recreate local offline prerequisites from scratch,Buat ulang prasyarat offline lokal dari awal
Recv:,Penerimaan:
Redeem,Tebus
Redeem / Scan,Tebus / Pindai
Redeem Amount,Jumlah Penukaran
Redeem Mode,Mode Penukaran
Redeemed Amount,Jumlah yang Ditebus
Redeemed credit cannot be greater than its total.,Kredit yang ditebus tidak boleh lebih besar dari totalnya.
Redemption and Totals,Penebusan dan Total
Reference,Referensi
Refresh,Segarkan
Refresh Exchange Rate,Segarkan Nilai Tukar
Refresh Offline Data,Segarkan Data Offline
Refresh Printers,Segarkan Printer
Refund,Pengembalian dana
Release Notes,Catatan Rilis
Reload,Muat ulang
Reload customers,Muat ulang pelanggan
Reload Items,Muat Ulang Item
Reload Now,Muat Ulang Sekarang
Reload to apply the latest changes. Your current session will be refreshed.,Muat ulang untuk menerapkan perubahan terbaru. Sesi Anda saat ini akan disegarkan.
Reload Workflow,Muat Ulang Alur Kerja
Remarks,Keterangan
Remarks are required.,Catatan diperlukan.
Remove,Hapus
Remove barcode item,Hapus item kode batang
Remove cached data and reload the POS app,Hapus data cache dan muat ulang aplikasi POS
Remove item,Hapus barang
Remove Offer,Hapus Penawaran
Reorder / Purchase Suggestions,Saran Pemesanan Ulang / Pembelian
Repair Candidate,Kandidat Perbaikan
Repair Change Allocation,Perbaiki Alokasi Perubahan
Repair requires an online connection,Perbaikan memerlukan koneksi online
Repaired,Diperbaiki
Repairing change allocation,Memperbaiki alokasi perubahan
Repeat Customers,Pelanggan Berulang
Repeat Rate,Tingkat Pengulangan
Request,Permintaan
Request ID: {0},Nomor Permintaan: {0}
Request Payment,Minta Pembayaran
Requested route: {0},Rute yang diminta: {0}
Required columns cannot be hidden,Kolom yang wajib diisi tidak dapat disembunyikan
Reset,Setel ulang
Reset item name,Setel ulang nama item
Reset to Default,Atur Ulang ke Default
Resource Health,Kesehatan Sumber Daya
Restricted,Terbatas
Restricted operational controls for supervisors only.,Kontrol operasional terbatas hanya untuk supervisor.
Retry,Coba lagi
Retry route,Coba lagi rute
Return,Kembali
Return Amount,Jumlah Pengembalian
Return Count,Jumlah Pengembalian
Return items must have negative quantities,Barang yang dikembalikan harus memiliki jumlah negatif
Return total must be negative,Total pengembalian harus negatif
Return Valid Until,Pengembalian Berlaku Sampai
Return window passed,Jendela kembali berlalu
Return without Invoice,Kembali tanpa Faktur
Returns,Kembali
Returns / Voids / Discounts,Pengembalian / Batal / Diskon
Returns by Currency,Pengembalian berdasarkan Mata Uang
Revenue,Pendapatan
Review shift totals before submitting the closing entry,Tinjau total shift sebelum mengirimkan entri penutup
Round Off,Pembulatan
Rows,Baris
Rows:,Baris:
Rule,Aturan
Sale,Penjualan
Sales,Penjualan
Sales Order {0} is Submitted,Pesanan Penjualan {0} Telah Dikirim
Sales Person and Print,Staf Penjualan dan Cetak
Sales Person not found,Staf Penjualan tidak ditemukan
Sales processed,Penjualan diproses
Sales Return,Retur Penjualan
Sales Trend Report,Laporan Tren Penjualan
Save,Simpan
Save & Clear,Simpan & Hapus
Save as POS Profile Default,Simpan sebagai Default Profil POS
Save Settings,Simpan Pengaturan
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Simpan printer yang dipilih sebagai default Profil POS sehingga ditampilkan secara otomatis pada pengaturan ini.
Saved as draft because: {0},Disimpan sebagai draf karena: {0}
Saving...,Menyimpan...
Scale barcode detected. Quantity here is the number of labels to print.,Kode batang skala terdeteksi. Quantity disini adalah jumlah label yang akan dicetak.
Scale barcode settings are not configured. Using item barcode only.,Pengaturan kode batang skala tidak dikonfigurasi. Hanya menggunakan barcode item.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Kode batang templat skala tidak ada untuk item/UOM ini. Hanya menggunakan barcode item.
Scan an existing card and top it up without leaving the payment flow.,Pindai kartu yang ada dan isi ulang tanpa meninggalkan alur pembayaran.
Scan Error,Kesalahan Pemindaian
Scan or enter a gift card code to check balance or redeem.,Pindai atau masukkan kode kartu hadiah untuk memeriksa saldo atau menukarkannya.
Scan or paste the card code below.,Pindai atau tempel kode kartu di bawah ini.
Scan QR Code/Barcode,Pindai Kode QR/Kode Batang
Scan with camera,Pindai dengan kamera
Scan-First Flow,Aliran Pindai-Pertama
Scanned Code:,Kode yang Dipindai:
Scanning for: {0},Memindai: {0}
Scanning items,Memindai item
Scan-Ready,Siap Pindai
Scope,Ruang lingkup
Scope: All Profiles,Cakupan: Semua Profil
Scope: Current Profile,Cakupan: Profil Saat Ini
Scope: Specific Profile,Cakupan: Profil Tertentu
Search,Cari
Search Account,Cari Akun
Search an invoice and continue the return flow without extra steps.,Cari faktur dan lanjutkan alur pengembalian tanpa langkah tambahan.
Search customer,Cari pelanggan
Search invoices or customers,Cari faktur atau pelanggan
Search item,Barang pencarian
Search item / code,Cari item/kode
Search items or barcode,Cari item atau kode batang
Search Mpesa Payments,Cari Pembayaran Mpesa
Search return invoices or customers,Cari faktur pengembalian atau pelanggan
Search supplier,Cari pemasok
Search unpaid invoices or customers,Cari faktur atau pelanggan yang belum dibayar
Secure context (HTTPS or localhost) is required for camera access.,Konteks aman (HTTPS atau localhost) diperlukan untuk akses kamera.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Konteks aman (HTTPS) diperlukan untuk akses kamera. Silakan gunakan HTTPS untuk mengakses kamera.
Select,Pilih
Select a cashier first.,Pilih kasir terlebih dahulu.
Select a customer,Pilih pelanggan
Select a customer to use coupon,Pilih pelanggan untuk menggunakan kupon
Select a printer to use QZ silent printing.,Pilih printer untuk menggunakan pencetakan senyap QZ.
Select Batch,Pilih Kelompok
Select Columns to Display,Pilih Kolom untuk Ditampilkan
Select items to sell,Pilih item untuk dijual
Select Payment,Pilih Pembayaran
Select Payment Account,Pilih Akun Pembayaran
Select printer,Pilih pencetak
Select Return Invoice,Pilih Pengembalian Faktur
Select S.O,Pilih S.O
Select Sales Orders,Pilih Pesanan Penjualan
Select the cashier who is taking over this terminal.,Pilih kasir yang mengambil alih terminal ini.
Selected,Dipilih
Selected movement type is not allowed by POS Profile.,Jenis pergerakan yang dipilih tidak diperbolehkan oleh Profil POS.
Selected Payments,Pembayaran yang Dipilih
Sensitive actions kept away from quick taps.,Tindakan sensitif dijauhkan dari ketukan cepat.
Serial,Serial
Serial Numbers,Nomor Seri
Server CPU Usage:,Penggunaan CPU Server:
Server Health,Kesehatan Server
Server Memory Usage:,Penggunaan Memori Server:
Server Metrics,Metrik Server
Server Uptime:,Waktu Aktif Server:
Service Charges,Biaya Layanan
Session,Sesi
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Tetapkan setiap PIN kasir di formulir Pengguna dan pertahankan anggota terminal ditetapkan di Pengguna Profil POS.
Settings,Pengaturan
Settings in this section update the POS workspace without changing the current route.,Pengaturan pada bagian ini memperbarui ruang kerja POS tanpa mengubah rute saat ini.
Setup complete!,Penyiapan selesai!
Share,Bagikan
Shared terminal,Terminal bersama
Shift Closed Snapshot,Geser Cuplikan Tertutup
Shift Overview,Ikhtisar Pergeseran
Show,Tunjukkan
Show cart on customer-facing screen,Tampilkan keranjang di layar yang menghadap pelanggan
Show last invoice rate,Tampilkan tarif faktur terakhir
Show rate info,Tampilkan info tarif
Show Repair Candidates,Tunjukkan Kandidat Perbaikan
Show search tools,Tampilkan alat pencarian
Show the active cart on a customer-facing screen,Tampilkan keranjang aktif di layar yang menghadap pelanggan
Showing {0}-{1} of {2},Menampilkan {0}-{1} dari {2}
Showing 0 of 0,Menampilkan 0 dari 0
Shows the distribution of invoices per currency,Menunjukkan distribusi faktur per mata uang
Sign out of the current POS session,Keluar dari sesi POS saat ini
Size:,Ukuran:
Skipped Payments,Pembayaran yang Dilewatkan
Skipping items without barcodes,Melewatkan item tanpa barcode
Slow Moving,Bergerak Lambat
Slow Moving Items,Barang Bergerak Lambat
Slow Queries:,Pertanyaan Lambat:
Sold,Terjual
Source,Sumber
Source Cash Account (Optional Override),Rekening Kas Sumber (Pengabaian Opsional)
Source Ex. Rate:,Sumber Mantan. Nilai:
Source Rate:,Tingkat Sumber:
Specific Profile,Profil Khusus
Split Invoices,Pisahkan Faktur
Staff / Cashier Performance Report,Laporan Kinerja Staf/Kasir
Status,Status
Stock,Stok
Stock Information,Informasi Stok
Stock is lower than requested,Stok lebih rendah dari yang diminta
Stock is lower than requested:\n{0},Stok lebih rendah dari yang diminta:\n{0}
Stock Movement Report,Laporan Pergerakan Saham
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Pembaruan stok: {0} memiliki {1} tersedia. Menambahkan {2} akan membuat stok di bawah nol.
Submit,Kirim
Submit & Print,Kirim & Cetak
Submit Deposit,Kirim Setoran
Submit Expense,Kirim Biaya
Submitted,Dikirim
Submitted Cash Movements,Pergerakan Tunai yang Diserahkan
Submitted entries,Entri yang dikirimkan
Successfully scanned:,Berhasil dipindai:
Suggested,Disarankan
Suggested Qty,Jumlah yang disarankan
Supervisor Access,Akses Pengawas
Supervisor permissions unlock issuance and reloads,Izin supervisor membuka kunci penerbitan dan memuat ulang
Supervisor Tools,Alat Pengawas
Supplier,Pemasok
Supplier and dates are required.,Pemasok dan tanggal wajib diisi.
Supplier Invoices,Faktur Pemasok
Supplier is required.,Pemasok diperlukan.
Supplier name is required,Nama pemasok wajib diisi
Supplier Payments,Pembayaran Pemasok
Supplier Purchase Summary,Ringkasan Pembelian Pemasok
Suppliers,Pemasok
Suppliers not found,Pemasok tidak ditemukan
Switch Camera,Ganti Kamera
Switch Cashier,Ganti Kasir
Switch the POS appearance theme,Ganti tema tampilan POS
Switched to:,Beralih ke:
Sync All Invoices,Sinkronkan Semua Faktur
Sync Offline Cash Movements ({0}),Sinkronkan Pergerakan Tunai Offline ({0})
Sync Offline Sales,Sinkronkan Penjualan Offline
Synced {0} offline cash movement(s).,{0} pergerakan uang tunai offline telah disinkronkan.
Syncing items in background,Menyinkronkan item di latar belakang
System / Diagnostics,Sistem / Diagnostik
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Tindakan sistem adalah kontrol pemeliharaan frekuensi rendah seperti info aplikasi, diagnostik dukungan, dan kontrol sesi."
System Information,Sistem Informasi
System Status,Status Sistem
Tables:,Tabel:
Tap the button below to redeem a gift card during checkout.,Ketuk tombol di bawah untuk menukarkan kartu hadiah saat checkout.
Target,Sasaran
Target Ex. Rate:,Sasaran Mantan. Nilai:
Target Rate:,Tingkat Target:
Tax,Pajak
Tax / Charges Report,Laporan Pajak/Biaya
Tax Heads,Kepala Pajak
Taxable Amount,Jumlah Kena Pajak
Tendered,Ditender
Terminal,Terminal
Terminal & Devices,Terminal & Perangkat
Terminal locked,Terminal terkunci
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Alat terminal memengaruhi stasiun pembayaran ini, tampilan yang menghadap pelanggan, dan kontrol printer/perangkat di masa mendatang."
Territory not found,Wilayah tidak ditemukan
The amount paid is not complete,Jumlah yang dibayarkan tidak lengkap
The app stores data locally for offline use. This is called cache.,Aplikasi ini menyimpan data secara lokal untuk penggunaan offline. Ini disebut tembolok.
The invoice stayed in draft. Please review and submit it manually.,Faktur tetap dalam bentuk draft. Harap tinjau dan kirimkan secara manual.
The maximum discount allowed is,Diskon maksimum yang diperbolehkan adalah
The quantity for {0} has been adjusted to the maximum available stock.,Kuantitas untuk {0} telah disesuaikan dengan stok maksimum yang tersedia.
The system could not retrieve the item details. Please try again.,Sistem tidak dapat mengambil detail item. Silakan coba lagi.
These invoices will be synced when connection is restored,Faktur ini akan disinkronkan ketika koneksi dipulihkan
This action now opens inside the settings workspace.,Tindakan ini sekarang terbuka di dalam ruang kerja pengaturan.
This coupon already used !,Kupon ini sudah digunakan!
This invoice does not need change-allocation repair,Faktur ini tidak memerlukan perbaikan perubahan alokasi
This invoice is already repaired,Faktur ini sudah diperbaiki
This is an item template. Please choose a variant.,Ini adalah templat item. Silakan pilih varian.
this item,barang ini
This POS page could not be opened offline because its code was not cached on this terminal yet.,Halaman POS ini tidak dapat dibuka secara offline karena kodenya belum di-cache di terminal ini.
This Serial Number {0} has already been added!,Nomor Seri {0} ini telah ditambahkan!
Threshold,Ambang batas
Time,Waktu
Tip: Clear cache regularly to free up space and keep the app fast.,Tip: Hapus cache secara rutin untuk mengosongkan ruang dan menjaga aplikasi tetap cepat.
Tip: Close unused tabs or apps to reduce lag.,Tip: Tutup tab atau aplikasi yang tidak digunakan untuk mengurangi kelambatan.
Tip: Monitor slow queries and table size for optimal performance.,Tip: Pantau kueri yang lambat dan ukuran tabel untuk performa optimal.
To Be Paid,Harus Dibayar
To Date,Sampai saat ini
Today,Hari ini
Today Profit,Hari ini Untung
Today Sales,Penjualan Hari Ini
Toggle navigation drawer,Alihkan panel samping navigasi
Toggle Theme,Alihkan Tema
Tools,Alat
Tools for customer-facing screens and terminal-specific actions.,Alat untuk layar yang menghadap pelanggan dan tindakan khusus terminal.
Top Brand,Merek Teratas
Top Category,Kategori Teratas
Top Charge Head,Kepala Pengisi Daya Atas
Top Customers,Pelanggan Teratas
Top Discount,Diskon Teratas
Top Items by Location,Item Teratas berdasarkan Lokasi
Top Margin,Margin Atas
Top Pending,Teratas Tertunda
Top Profit Item,Item Keuntungan Teratas
Top Return Items,Item Pengembalian Teratas
Top Sales by Cashier,Penjualan Teratas berdasarkan Kasir
Top Supplier,Pemasok Teratas
Top Suppliers by Spend,Pemasok Teratas berdasarkan Pembelanjaan
Top Tables,Tabel Teratas
Top Tax Head,Kepala Pajak Tertinggi
Top Up Amount,Jumlah Isi Ulang
Top Up Card,Kartu Isi Ulang
Top Up Mode,Mode Isi Ulang
Top Variant,Varian Teratas
Total,Jumlah
Total Amount,Jumlah Total
Total Change,Perubahan Total
Total Charges,Jumlah Biaya
Total In,Jumlah Masuk
Total Invoices,Jumlah Faktur
Total Items,Jumlah Barang
Total Mpesa,Jumlah Mpesa
Total Out,Keluar Total
Total Payments,Jumlah Pembayaran
Total Purchase,Jumlah Pembelian
Total Selected :,Jumlah yang Dipilih :
Total Size,Ukuran Jumlah
Total Stock Qty,Total Jumlah Stok
Total:,Jumlah:
Totals by Invoice Currency,Total berdasarkan Mata Uang Faktur
Track how much cash was handed back to customers,Lacak berapa banyak uang tunai yang dikembalikan ke pelanggan
"Track recent sales, collect unpaid balances, and reopen saved work","Lacak penjualan terkini, kumpulkan saldo yang belum dibayar, dan buka kembali pekerjaan yang disimpan"
Transaction ID,ID Transaksi
Transfer,Pemindahan
Try a different search term or clear the cart search.,Coba istilah pencarian lain atau hapus pencarian keranjang.
Try adjusting your search or filters,Coba sesuaikan penelusuran atau filter Anda
Try another source or refresh the list.,Coba sumber lain atau segarkan daftarnya.
Try changing the date range or status filter.,Coba ubah rentang tanggal atau filter status.
Type,Ketik
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Tidak dapat mengakses kamera bahkan dengan pengaturan dasar. Silakan periksa izin kamera dan kompatibilitas perangkat Anda.
Unable to add offer item {0}. Please refresh and try again.,Tidak dapat menambahkan item penawaran {0}. Silakan segarkan dan coba lagi.
Unable to add offer item. Please refresh and try again.,Tidak dapat menambahkan item penawaran. Silakan segarkan dan coba lagi.
Unable to add scanned item.,Tidak dapat menambahkan item yang dipindai.
Unable to create purchase order,Tidak dapat membuat pesanan pembelian
Unable to delete draft invoice,Tidak dapat menghapus draf faktur
Unable to fetch documents,Tidak dapat mengambil dokumen
Unable to fetch draft orders,Tidak dapat mengambil pesanan draf
Unable to fetch invoice history,Tidak dapat mengambil riwayat faktur
Unable to fetch M-Pesa payments,Tidak dapat mengambil pembayaran M-Pesa
Unable to fetch sales orders,Tidak dapat mengambil pesanan penjualan
Unable to fetch unpaid invoices,Tidak dapat mengambil faktur yang belum dibayar
Unable to generate scale barcode,Tidak dapat membuat kode batang skala
Unable to issue gift card.,Tidak dapat menerbitkan kartu hadiah.
Unable to load cashier PIN status.,Tidak dapat memuat status PIN kasir.
Unable to load document,Tidak dapat memuat dokumen
Unable to load draft invoice,Tidak dapat memuat draf faktur
Unable to load gift card balance.,Tidak dapat memuat saldo kartu hadiah.
Unable to load invoice details,Tidak dapat memuat detail faktur
Unable to load parked order,Tidak dapat memuat pesanan yang diparkir
Unable to load the selected sales order,Tidak dapat memuat pesanan penjualan yang dipilih
Unable to prepare document,Tidak dapat menyiapkan dokumen
Unable to prepare return invoice,Tidak dapat menyiapkan faktur pengembalian
Unable to print draft invoice,Tidak dapat mencetak draf faktur
Unable to print submitted invoice,Tidak dapat mencetak faktur yang dikirimkan
Unable to process document action,Tidak dapat memproses tindakan dokumen
Unable to repair change allocation,Tidak dapat memperbaiki alokasi perubahan
Unable to save cashier PIN.,Tidak dapat menyimpan PIN kasir.
Unable to save the rate to the backend price list,Tidak dapat menyimpan tarif ke daftar harga backend
Unable to submit invoice,Tidak dapat mengirimkan faktur
Unable to submit the selected payment,Tidak dapat mengirimkan pembayaran yang dipilih
Unable to top up gift card.,Tidak dapat mengisi ulang kartu hadiah.
Unable to verify cashier PIN.,Tidak dapat memverifikasi PIN kasir.
Unallocated,Tidak terisi
Unallocated:,Tidak terisi:
Unavailable,Tidak tersedia
Unknown,Tidak diketahui
Unknown Item,Barang Tidak Diketahui
Unknown Warehouse,Gudang Tidak Dikenal
Unlock POS,Buka kunci POS
Unpaid,Tidak dibayar
"Unselected payments stay unallocated first, then auto reconcile after submit.","Pembayaran yang tidak dipilih tetap tidak teralokasikan terlebih dahulu, kemudian direkonsiliasi secara otomatis setelah dikirimkan."
UOM,UOM
UOM not found,UOM tidak ditemukan
Update available,Pembaruan tersedia
Update Customer,Perbarui Pelanggan
Update PIN,Perbarui PIN
Update Price List Rate,Perbarui Tarif Daftar Harga
Updated,Diperbarui
Updates and app info that stay out of the cashier flow.,Pembaruan dan info aplikasi yang tidak mengikuti arus kasir.
Updates automatically,Pembaruan secara otomatis
Usage,Penggunaan
Usage Stats,Statistik Penggunaan
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Gunakan PIN 4 hingga 8 digit untuk peralihan kasir dan pembukaan kunci terminal.
Use Cashier,Gunakan Kasir
Use date range to search for older invoices,Gunakan rentang tanggal untuk mencari faktur lama
"Use one field for manual code entry, barcode scans, or QR scans.","Gunakan satu bidang untuk entri kode manual, pemindaian kode batang, atau pemindaian QR."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Gunakan satu alur kerja untuk pemeriksaan saldo, penerbitan baru, dan isi ulang tanpa meninggalkan POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Gunakan bagian ini ketika data prasyarat yang di-cache memerlukan penyegaran, pembangunan kembali, atau peninjauan diagnostik."
Use Western numerals,Gunakan angka Barat
Used:,Digunakan:
Using basic camera settings due to device limitations,Menggunakan pengaturan kamera dasar karena keterbatasan perangkat
Using cached customer balance,Menggunakan saldo pelanggan yang di-cache
Valid until,Berlaku sampai
Variance %,Varians%
Variants,Varian
Variant-wise,Dari segi varian
Verify closing amounts for each payment method,Verifikasi jumlah penutupan untuk setiap metode pembayaran
View all,Lihat semuanya
View app information and current build details,Lihat informasi aplikasi dan detail build saat ini
View Data Diagnostics,Lihat Diagnostik Data
View Details,Lihat Detail
View invoice details,Lihat detail faktur
View notifications,Lihat notifikasi
View offline invoices,Lihat faktur offline
View restricted POS insights,Lihat wawasan POS yang dibatasi
Void Amount,Jumlah Batal
Void Count,Jumlah Batal
Voids,kosong
Waiting for cart items,Menunggu item keranjang
Waiting for payment...,Menunggu pembayaran...
Walk-in Customer,Pelanggan Langsung
Warehouse,Gudang
Warning: High cache usage may affect performance.,Peringatan: Penggunaan cache yang tinggi dapat mempengaruhi kinerja.
Warning: High lag may indicate heavy processing or browser slowness.,Peringatan: Kelambatan yang tinggi mungkin mengindikasikan pemrosesan yang berat atau kelambatan browser.
Week ?,Pekan ?
Week-wise,Dari segi minggu
Weight (g),Berat (g)
Weight (grams),Berat (gram)
We'll let you know if an invoice fails to submit,Kami akan memberi tahu Anda jika faktur gagal dikirimkan
Workflow,Alur kerja
Write off amount cannot exceed the POS profile maximum of {0},Jumlah penghapusan tidak boleh melebihi maksimum profil POS sebesar {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Jumlah penghapusan melebihi batas yang diperbolehkan ({0}). Silakan tambahkan pembayaran untuk jumlah yang tersisa.
Yes,Ya
"Yes, Cancel sale","Ya, Batalkan penjualan"
"Yes, Close","Ya, Tutup"
You are not allowed to print draft invoices,Anda tidak diperbolehkan mencetak draft invoice
You are offline. Add Payment will work again when the connection is restored.,Anda sedang luring. Tambah Pembayaran akan berfungsi kembali ketika koneksi pulih.
You have no notifications right now,Anda tidak memiliki notifikasi saat ini
Your Cart,Keranjang Anda
