POS Awesome,POS អស្ចារ្យ
Fetch Items Directly from Server,យកធាតុដោយផ្ទាល់ពីម៉ាស៊ីនមេ
Menu,ម៉ឺនុយ
Actions,សកម្មភាព
Close Shift,បិទ Shift
End current session,បញ្ចប់វគ្គបច្ចុប្បន្ន
Print Last Invoice,បោះពុម្ពវិក្កយបត្រចុងក្រោយ
Reprint previous transaction,បោះពុម្ពឡើងវិញនូវប្រតិបត្តិការពីមុន
Sync Offline Invoices,ធ្វើសមកាលកម្មវិក្កយបត្រក្រៅបណ្តាញ
Upload pending transactions,អាប់ឡូតប្រតិបត្តិការដែលមិនទាន់សម្រេច
Go Online,ទៅអ៊ីនធឺណិត
Go Offline,ទៅក្រៅបណ្តាញ
Disable offline mode,បិទមុខងារក្រៅបណ្តាញ
Work without server connection,ធ្វើការដោយគ្មានការតភ្ជាប់ម៉ាស៊ីនមេ
Clear Cache,ជម្រះឃ្លាំងសម្ងាត់
Remove local data and refresh,លុបទិន្នន័យមូលដ្ឋាន និងធ្វើឱ្យស្រស់
About,អំពី
App information,ព័ត៌មានកម្មវិធី
Language,ភាសា
Change interface language,ផ្លាស់ប្តូរភាសាចំណុចប្រទាក់
Light Mode,របៀបពន្លឺ
Dark Mode,របៀបងងឹត
Switch theme appearance,ផ្លាស់ប្តូររូបរាងប្រធានបទ
Logout,ចេញ
Sign out of session,ចេញពីវគ្គ
Select Language,ជ្រើសរើសភាសា
Choose your preferred language for the POS interface,ជ្រើសរើសភាសាដែលអ្នកពេញចិត្តសម្រាប់ចំណុចប្រទាក់ POS
Language will be changed to,ភាសានឹងត្រូវបានប្តូរទៅជា
Cancel,បោះបង់
Change Language,ផ្លាស់ប្តូរភាសា
Close,បិទ
Cannot change language - same language selected,មិនអាចប្តូរភាសា - ភាសាដូចគ្នាត្រូវបានជ្រើសរើស
Language changed successfully! Reloading...,ភាសាបានផ្លាស់ប្តូរដោយជោគជ័យ! កំពុងផ្ទុកឡើងវិញ...
Failed to change language,បរាជ័យក្នុងការផ្លាស់ប្តូរភាសា
Unknown error,កំហុសមិនស្គាល់
- Total Unallocated,- សរុបមិនបានបែងចែក
* Required,* ទាមទារ
{0} (Qty: {1}),{0} (ចំនួន៖ {1})
{0} actions,សកម្មភាព {0}
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} មាន​តែ {1} ក្នុង​ស្តុក។ អ្នកបានស្នើសុំ {2}។ កែតម្រូវបរិមាណ ឬស្តុកទុកឡើងវិញ។
{0} offline invoice{1} pending,{0} វិក័យប័ត្រក្រៅបណ្តាញ{1} កំពុងរង់ចាំ
{0} offline invoice{1} saved as draft,{0} វិក្កយបត្រក្រៅបណ្តាញ{1} បានរក្សាទុកជាសេចក្តីព្រាង
{0} offline invoice{1} synced,{0} វិក្កយបត្រក្រៅបណ្តាញ{1} បានធ្វើសមកាលកម្ម
{0}: {1} {2},{0}៖ {1} {2}
{0}d ago,{0}ថ្ងៃមុន។
{0}h ago,{0}ម៉ោងមុន។
{0}m ago,{0}នាទីមុន។
A POS supervisor is required for this action.,អ្នកត្រួតពិនិត្យម៉ាស៊ីនឆូតកាតត្រូវបានទាមទារសម្រាប់សកម្មភាពនេះ។
Access,ការចូលប្រើ
Account,គណនី
Account is overdrawn,គណនីត្រូវបានដកចេញ
Acknowledge the error to resume scanning,ទទួលស្គាល់កំហុសដើម្បីបន្តការស្កេនឡើងវិញ
Acknowledge the error to resume scanning.,ទទួលស្គាល់កំហុសដើម្បីបន្តការស្កេនឡើងវិញ។
Across,ឆ្លង
Action,សកម្មភាព
Active sale,ការលក់សកម្ម
add,បន្ថែម
Add items from the selector to start building this sale.,បន្ថែមធាតុពីឧបករណ៍ជ្រើសរើសដើម្បីចាប់ផ្តើមបង្កើតការលក់នេះ។
Add more value to an existing gift card,បន្ថែមតម្លៃបន្ថែមទៅកាតអំណោយដែលមានស្រាប់
Add New Address,បន្ថែមអាសយដ្ឋានថ្មី។
Add new customer,បន្ថែមអតិថិជនថ្មី។
Add on New Line,បន្ថែមលើបន្ទាត់ថ្មី។
Add Payment,បន្ថែមការទូទាត់
Add payment to invoice,បន្ថែមការទូទាត់ទៅវិក្កយបត្រ
Add/Edit Coupon Conditions,បន្ថែម/កែសម្រួលលក្ខខណ្ឌប័ណ្ណ
Additional Discount,ការបញ្ចុះតម្លៃបន្ថែម
Additional Discount %,ការបញ្ចុះតម្លៃបន្ថែម %
Address Line 1,ខ្សែអាស័យដ្ឋាន 1
Address not found,រកមិនឃើញអាសយដ្ឋាន
Adjust the quantity or enable negative stock to continue.,កែតម្រូវបរិមាណ ឬបើកភាគហ៊ុនអវិជ្ជមានដើម្បីបន្ត។
Adjustment,ការកែតម្រូវ
After returns,បន្ទាប់ពីត្រឡប់មកវិញ
Against,ប្រឆាំង
Against Name,ប្រឆាំងនឹងឈ្មោះ
Age Bracket,តង្កៀបអាយុ
All,ទាំងអស់។
All Caught Up!,ចាប់បានទាំងអស់!
All invoices are synchronized,វិក្កយបត្រទាំងអស់ត្រូវបានធ្វើសមកាលកម្ម
All pending invoices are up to date,វិក្កយបត្រដែលមិនទាន់សម្រេចទាំងអស់គឺទាន់សម័យ
All Profiles,ប្រវត្តិរូបទាំងអស់។
All Synchronized,ធ្វើសមកាលកម្មទាំងអស់។
All visible invoices are fully settled.,វិក្កយបត្រដែលមើលឃើញទាំងអស់ត្រូវបានទូទាត់យ៉ាងពេញលេញ។
All Warehouses,ឃ្លាំងទាំងអស់។
Allowed UOM is {0},បានអនុញ្ញាត UOM គឺ {0}
Always fetch items from server (ignore local cache),តែងតែទៅយកធាតុពីម៉ាស៊ីនមេ (មិនអើពើឃ្លាំងសម្ងាត់មូលដ្ឋាន)
Amount,ចំនួនទឹកប្រាក់
Amount already received,ចំនួនទឹកប្រាក់ដែលបានទទួលរួចហើយ
Amount exceeds profile cash movement max amount.,ចំនួនទឹកប្រាក់លើសពីចំនួនអតិបរមានៃចលនាសាច់ប្រាក់កម្រងព័ត៌មាន។
Amount must be greater than zero.,ចំនួនទឹកប្រាក់ត្រូវតែធំជាងសូន្យ។
Amount received from customer,ចំនួនទឹកប្រាក់ដែលទទួលបានពីអតិថិជន
Appearance and user-level preferences for the current session.,រូបរាង និងចំណូលចិត្តកម្រិតអ្នកប្រើប្រាស់សម្រាប់វគ្គបច្ចុប្បន្ន។
Applied,បានអនុវត្ត
Apply,អនុវត្ត
Apply Gift Card,អនុវត្តកាតអំណោយ
Apply Offer,អនុវត្តការផ្តល់ជូន
Apply On,អនុវត្តលើ
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,អនុវត្តតែចំនួនទឹកប្រាក់ដែលអ្នកចង់ប្ដូរនៅលើវិក្កយបត្រនេះប៉ុណ្ណោះ។ សមតុល្យដែលនៅសល់គឺស្ថិតនៅក្នុងកាត។
Apply Redemption,អនុវត្តការប្រោសលោះ
Applying,កំពុងដាក់ពាក្យ
Apps,កម្មវិធី
Are you sure you want to close? All entered data will be lost.,តើអ្នកប្រាកដថាចង់បិទទេ? ទិន្នន័យដែលបានបញ្ចូលទាំងអស់នឹងត្រូវបាត់បង់។
Attributes (Size/Color),គុណលក្ខណៈ (ទំហំ/ពណ៌)
Auto Allocate Payment Amount,បែងចែកចំនួនទឹកប្រាក់ទូទាត់ដោយស្វ័យប្រវត្តិ
Auto Reconcile,ការផ្សះផ្សាដោយស្វ័យប្រវត្តិ
Auto reconciliation completed after payment submit.,ការផ្សះផ្សាដោយស្វ័យប្រវត្តិបានបញ្ចប់បន្ទាប់ពីការបញ្ជូនការទូទាត់។
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,ការផ្សះផ្សាដោយស្វ័យប្រវត្តិបានបញ្ចប់។ បានបែងចែក៖ {0}{1}។ នៅសល់៖ {0}{2}។
Available Actions,សកម្មភាពដែលមាន
Available QTY,មាន QTY
Available:,មាន៖
Average Basket,កញ្ចប់មធ្យម
Average Bill,វិក័យប័ត្រមធ្យម
Average Ticket,សំបុត្រជាមធ្យម
Avg Bill,វិក័យប័ត្រជាមធ្យម
Avg Invoice,វិក្កយបត្រជាមធ្យម
Avg Invoice Profit,ប្រាក់ចំណេញវិក័យប័ត្រជាមធ្យម
Avg Invoice Value,តម្លៃវិក្កយបត្រជាមធ្យម
Avg Purchase Frequency,ភាពញឹកញាប់នៃការទិញជាមធ្យម
Awesome,អស្ចារ្យ
Awesome Dashboard,ផ្ទាំងគ្រប់គ្រងដ៏អស្ចារ្យ
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard ត្រូវបានបិទសម្រាប់ POS Profile ដែលបានជ្រើសរើស។
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard គឺមិនមានសម្រាប់វិសាលភាពដែលបានជ្រើសរើសទេ។
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard អាចមើលឃើញតែចំពោះអ្នកត្រួតពិនិត្យម៉ាស៊ីនឆូតកាតប៉ុណ្ណោះ។
Back,ត្រឡប់មកវិញ
Back Office Cash Account,គណនីសាច់ប្រាក់ Back Office
Back Office Cash Account (Optional Override),គណនីសាច់ប្រាក់ Back Office (បដិសេធជាជម្រើស)
Back office cash account is required.,គណនីសាច់ប្រាក់ការិយាល័យខាងក្រោយត្រូវបានទាមទារ។
Back to {0},ត្រឡប់ទៅ {0}
Background processing did not finish in time.,ដំណើរការផ្ទៃខាងក្រោយមិនបានបញ្ចប់ទាន់ពេលទេ។
Background processing failed for Invoice {0}: {1},ដំណើរការផ្ទៃខាងក្រោយបានបរាជ័យសម្រាប់វិក្កយបត្រ {0}៖ {1}
Background Submission Failed,ការបញ្ជូនផ្ទៃខាងក្រោយបានបរាជ័យ
Background sync interval (seconds),ចន្លោះពេលធ្វើសមកាលកម្មផ្ទៃខាងក្រោយ (វិនាទី)
Balance,តុល្យភាព
Balance will be updated when connection is restored,សមតុល្យនឹងត្រូវបានអាប់ដេតនៅពេលដែលការតភ្ជាប់ត្រូវបានស្ដារឡើងវិញ
Balances still pending,សមតុល្យនៅតែរង់ចាំ
Barcode,បាកូដ
Barcode / QR Ready,បាកូដ / QR រួចរាល់
Barcode Label Printing,ការបោះពុម្ពស្លាកបាកូដ
Base Paid:,មូលដ្ឋានបង់ប្រាក់៖
Base Recv:,របាយការណ៍មូលដ្ឋាន៖
Base:,មូលដ្ឋាន៖
Basic Information,ព័ត៌មានមូលដ្ឋាន
Batch,បាច់
Batch Information,ព័ត៌មានបាច់
Before any return workflow,មុនពេលលំហូរការងារត្រឡប់មកវិញ
Before returns,មុនពេលត្រឡប់មកវិញ
Best Day,ថ្ងៃល្អបំផុត
Best Seller,អ្នកលក់ល្អបំផុត
Book expense or deposit from active shift.,ការចំណាយលើការកក់ ឬដាក់ប្រាក់ពីការផ្លាស់ប្តូរសកម្ម។
Branch / Location-wise Report,សាខា / របាយការណ៍ដោយប្រាជ្ញាទីតាំង
Brand-wise,ឈ្លាសវៃ
Breakdown,ការបំបែក
Browse,រុករក
Build Time:,ពេលវេលាសាងសង់៖
Built with Frappe,បង្កើតឡើងដោយ Frappe
Bundle,បាច់
Buying Price,តម្លៃទិញ
Cache cleared successfully,ឃ្លាំងសម្ងាត់ត្រូវបានសម្អាតដោយជោគជ័យ
Cache Usage,ការប្រើប្រាស់ឃ្លាំងសម្ងាត់
cache used,ឃ្លាំងសម្ងាត់បានប្រើ
Calculating...,ការគណនា...
Camera Access Required,តម្រូវឱ្យចូលប្រើកាមេរ៉ា
Camera access was aborted. Please try again.,ការចូលប្រើកាមេរ៉ាត្រូវបានបោះបង់។ សូមព្យាយាមម្តងទៀត។
Camera constraints not supported by your device. Trying fallback settings...,ឧបសគ្គកាមេរ៉ាមិនគាំទ្រដោយឧបករណ៍របស់អ្នកទេ។ កំពុង​ព្យាយាម​ការ​កំណត់​ត្រឡប់...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,កាមេរ៉ាជាប់រវល់ ឬត្រូវបានរារាំងដោយកម្មវិធី/ផ្ទាំងផ្សេងទៀត។ បិទកម្មវិធីកាមេរ៉ាផ្សេងទៀត ហើយព្យាយាមម្តងទៀត។
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,ការអនុញ្ញាតកាមេរ៉ាត្រូវបានបដិសេធ។ សូមអនុញ្ញាតឱ្យចូលប្រើកាមេរ៉ានៅក្នុងការកំណត់កម្មវិធីរុករករបស់អ្នក ហើយធ្វើឱ្យទំព័រឡើងវិញ។
Camera scanner is locked until the current error is acknowledged,ម៉ាស៊ីនស្កេនកាមេរ៉ាត្រូវបានចាក់សោរហូតដល់កំហុសបច្ចុប្បន្នត្រូវបានទទួលស្គាល់
Camera started but the video stream did not load in time. Please try again.,កាមេរ៉ាបានចាប់ផ្តើម ប៉ុន្តែការផ្សាយវីដេអូមិនដំណើរការទាន់ពេលទេ។ សូមព្យាយាមម្តងទៀត។
Cancel cash movement {0}?,បោះបង់ចលនាសាច់ប្រាក់ {0}?
Cancel Payment,បោះបង់ការទូទាត់
Cancel Sale,បោះបង់ការលក់
Cancel Sale ?,បោះបង់ការលក់?
Cancelled,បានលុបចោល
Cannot add an item with zero or negative quantity.,មិនអាចបន្ថែមធាតុដែលមានបរិមាណសូន្យ ឬអវិជ្ជមានបានទេ។
Cannot clear cache while offline,មិនអាចសម្អាតឃ្លាំងសម្ងាត់ពេលគ្មានអ៊ីនធឺណិត
Cannot redeem customer credit more than invoice total,មិនអាចប្តូរយកឥណទានអតិថិជនលើសពីចំនួនសរុបវិក្កយបត្របានទេ។
Cannot redeem gift cards more than invoice total,មិនអាចផ្តោះប្តូរយកកាតអំណោយលើសពីចំនួនវិក្កយបត្របានទេ។
Cannot Save Offline Invoice:,មិនអាចរក្សាទុកវិក្កយបត្រក្រៅបណ្តាញបានទេ៖
Cannot Save Offline Payment:,មិនអាចរក្សាទុកការទូទាត់ក្រៅបណ្តាញ៖
Card,កាត
Card / Online,កាត / អនឡាញ
Card health after the last live lookup,សុខភាពកាតបន្ទាប់ពីការរកមើលផ្ទាល់ចុងក្រោយ
Cards,កាត
Cart,រទេះ
Cash,សាច់ប្រាក់
Cash back to customers,ប្រគល់ប្រាក់ជូនអតិថិជនវិញ។
Cash Collections,ការប្រមូលសាច់ប្រាក់
Cash Deposit is disabled for this POS Profile.,ការដាក់ប្រាក់ត្រូវបានបិទសម្រាប់ប្រវត្តិរូប POS នេះ។
Cash Drawer Snapshot,រូបថត​ថត​រូប​ប័ណ្ណ​ប្រាក់
Cash In Hand,សាច់ប្រាក់ក្នុងដៃ
Cash Movement,ចលនាសាច់ប្រាក់
Cash movement cancelled,ចលនាសាច់ប្រាក់ត្រូវបានលុបចោល
Cash movement deduction applied,ការកាត់សាច់ប្រាក់ត្រូវបានអនុវត្ត
Cash movement deleted,ចលនាសាច់ប្រាក់ត្រូវបានលុប
Cash movement is disabled for this POS Profile.,ចលនាសាច់ប្រាក់ត្រូវបានបិទសម្រាប់ប្រវត្តិរូប POS នេះ។
Cash Movement is disabled in current POS Profile.,ចលនាសាច់ប្រាក់ត្រូវបានបិទនៅក្នុងប្រវត្តិរូប POS បច្ចុប្បន្ន។
Cash movement saved offline,ចលនាសាច់ប្រាក់ត្រូវបានរក្សាទុកក្រៅបណ្តាញ
Cash movement submitted,បានដាក់ស្នើចលនាសាច់ប្រាក់
Cash Movements,ចលនាសាច់ប្រាក់
Cash payment cannot be less than invoice total when partial payment is not allowed,ការទូទាត់សាច់ប្រាក់មិនអាចតិចជាងចំនួនសរុបវិក្កយបត្រទេ នៅពេលដែលការទូទាត់មួយផ្នែកមិនត្រូវបានអនុញ្ញាត
Cash returned after payment,សាច់ប្រាក់ត្រឡប់មកវិញបន្ទាប់ពីការទូទាត់
Cashier,អ្នកគិតលុយ
Cashier Access,ការចូលប្រើអ្នកគិតលុយ
Cashier identity and appearance preferences.,អត្តសញ្ញាណអ្នកគិតលុយ និងចំណូលចិត្តរូបរាង។
Cashier PIN,លេខសម្ងាត់អ្នកគិតលុយ
Cashier PIN saved successfully.,លេខសម្ងាត់អ្នកគិតលុយត្រូវបានរក្សាទុកដោយជោគជ័យ។
Cashiers,អ្នកគិតលុយ
Cashier-wise,អ្នកគិតលុយ
Categories,ប្រភេទ
Category,ប្រភេទ
Category / Brand / Variant Report,ប្រភេទ / ម៉ាក / របាយការណ៍វ៉ារ្យ៉ង់
Category-wise,ប្រភេទ - ឆ្លាតវៃ
Category-wise Margin,រឹមតាមប្រភេទ
Certificate,វិញ្ញាបនបត្រ
Certificate is missing or not trusted. QZ may show confirmation dialogs.,វិញ្ញាបនបត្របាត់ ឬមិនទុកចិត្ត។ QZ អាចបង្ហាញប្រអប់បញ្ជាក់។
Certificate is trusted. Silent QZ printing is active.,វិញ្ញាបនបត្រត្រូវបានជឿទុកចិត្ត។ ការបោះពុម្ព QZ ស្ងាត់គឺសកម្ម។
Change,ផ្លាស់ប្តូរ
Change allocation repaired,ផ្លាស់ប្តូរការបែងចែកត្រូវបានជួសជុល
Change Price,ផ្លាស់ប្តូរតម្លៃ
Change Return,ផ្លាស់ប្តូរការត្រឡប់មកវិញ
Change Returned,ការផ្លាស់ប្តូរបានត្រឡប់មកវិញ
Change terminal cashier,ផ្លាស់ប្តូរអ្នកគិតលុយតាមស្ថានីយ
Charge Heads,ក្បាលសាក
Charges,ការចោទប្រកាន់
Charges not found,រកមិនឃើញការចោទប្រកាន់ទេ។
Check Balance,ពិនិត្យសមតុល្យ
Check balance for any card. Supervisors can issue and top up cards here.,ពិនិត្យសមតុល្យសម្រាប់កាតណាមួយ។ អ្នកគ្រប់គ្រងអាចចេញ និងបញ្ចូលកាតនៅទីនេះ។
Check balance only,ពិនិត្យសមតុល្យតែប៉ុណ្ណោះ
Check for new commits,ពិនិត្យមើលការប្តេជ្ញាចិត្តថ្មី។
Check for Updates,ពិនិត្យរកមើលបច្ចុប្បន្នភាព
Check live balance before applying redemption,ពិនិត្យសមតុល្យបន្តផ្ទាល់ មុនពេលអនុវត្តការរំលោះ
Check live balance before redemption,ពិនិត្យសមតុល្យបន្តផ្ទាល់ មុនពេលការរំលោះ
Checking...,កំពុងពិនិត្យ...
Cheque/Reference Date,កាលបរិច្ឆេទពិនិត្យ/យោង
Cheque/Reference No,សែក/យោងលេខ
Choose the cashier currently operating this terminal.,ជ្រើសរើសអ្នកគិតលុយដែលកំពុងដំណើរការស្ថានីយនេះ។
City,ទីក្រុង
Clear,ច្បាស់
Clear All,ជម្រះទាំងអស់។
Clear all barcode items,ជម្រះធាតុរបារកូដទាំងអស់។
Clear all purchase order items,សម្អាតរាល់ទំនិញបញ្ជាទិញ
Clear Search,ជម្រះការស្វែងរក
Clearing local cache...,កំពុងសម្អាតឃ្លាំងសម្ងាត់មូលដ្ឋាន...
Click to refresh,ចុចដើម្បីផ្ទុកឡើងវិញ
Client CPU Lag:,ភាពយឺតយ៉ាវ CPU របស់អតិថិជន៖
Client Memory Usage:,ការប្រើប្រាស់អង្គចងចាំរបស់អតិថិជន៖
Client Metrics,មាត្រដ្ឋានអតិថិជន
Close about dialog,បិទអំពីប្រអប់
Close cashier switcher,បិទឧបករណ៍ប្តូរអ្នកគិតលុយ
Close closing shift dialog,បិទប្រអប់ប្តូរវេន
Close column selector,បិទ​ឧបករណ៍​ជ្រើស​ជួរ​ឈរ
Close Dialog,បិទប្រអប់
Close drafts dialog,បិទប្រអប់ពង្រាង
Close invoice details dialog,បិទប្រអប់ព័ត៌មានលម្អិតវិក្កយបត្រ
Close invoice management,បិទការគ្រប់គ្រងវិក្កយបត្រ
Close offline invoices dialog,បិទប្រអប់វិក្កយបត្រក្រៅបណ្តាញ
Close packing list dialog,បិទប្រអប់បញ្ជីវេចខ្ចប់
Close returns dialog,បិទប្រអប់ត្រឡប់
Close sales orders dialog,បិទប្រអប់បញ្ជាទិញ
Close Scanner,បិទម៉ាស៊ីនស្កេន
Close scanner dialog,បិទប្រអប់ម៉ាស៊ីនស្កេន
Close Settings,បិទការកំណត់
Closing Amount,ចំនួនទឹកប្រាក់បិទ
Closing POS Shift,ការបិទការផ្លាស់ប្តូរ POS
Closing Snapshot Available,ការបិទរូបថតមាន
Code,កូដ
Code scanned successfully,កូដត្រូវបានស្កេនដោយជោគជ័យ
COGS,COGS
Collapse item details,បង្រួមព័ត៌មានលម្អិតនៃធាតុ
Collected,ប្រមូល
Cols,លោក Cols
Columns,ជួរឈរ
commits,ប្តេជ្ញា
Completed and active sales in this range,ការលក់ដែលបានបញ្ចប់ និងសកម្មនៅក្នុងជួរនេះ។
Completed returns will appear here.,ការត្រឡប់មកវិញដែលបានបញ្ចប់នឹងបង្ហាញនៅទីនេះ។
Confirm,បញ្ជាក់
Confirm Close,បញ្ជាក់បិទ
Confirm Mobile Number,បញ្ជាក់លេខទូរស័ព្ទ
Confirm PIN,បញ្ជាក់កូដ PIN
Connect,ភ្ជាប់
Connect printer and manage certificate,ភ្ជាប់ម៉ាស៊ីនបោះពុម្ព និងគ្រប់គ្រងវិញ្ញាបនបត្រ
Connecting to QZ Tray...,កំពុងភ្ជាប់ទៅ QZ Tray...
Connection problem while submitting invoice,បញ្ហា​ក្នុង​ការ​តភ្ជាប់​ពេល​បញ្ជូន​វិក្កយបត្រ
Connections:,ការតភ្ជាប់៖
Connectivity and cached prerequisite status were rechecked.,ការតភ្ជាប់ និងស្ថានភាពតម្រូវការជាមុនក្នុងឃ្លាំងសម្ងាត់ត្រូវបានពិនិត្យឡើងវិញ។
Continue Editing,បន្តការកែសម្រួល
